"Variable","Shock","Impact_Q0","Peak_Response","Peak_Horizon","Peak_68_Significant"
"GDP-D (log)","Monetary Policy Shock",-0.00190356498073466,-0.00208350993713399,4,"*"
"Unemployment (pp)","Monetary Policy Shock",0.0489878621764863,0.0566317571519115,4,"*"
"CPIF (log)","Monetary Policy Shock",-0.000760857258808922,-0.00105498438258774,12,""
"Interest (pp)","Monetary Policy Shock",0.0573459988302286,0.0573459988302286,0,"*"
"Habituals (log)","Monetary Policy Shock",0.000214566508179226,0.000257509063007296,23,""
"DTA (pp)","Monetary Policy Shock",0.00468634987606635,0.0202690606325177,7,""
"DSR (pp)","Monetary Policy Shock",0.00935014443181418,0.00935014443181418,0,""
"LAI (pp)","Monetary Policy Shock",-0.0887089799555896,0.494702608223793,15,""
"Savings (pp)","Monetary Policy Shock",0.067172865553418,-0.0686727134956505,21,""
"REER (log)","Monetary Policy Shock",0.000669768369649499,-0.000721188743813821,16,""
"GDP-D (log)","Adverse Macro Shock",-0.00247997723228737,-0.00247997723228737,0,"*"
"Unemployment (pp)","Adverse Macro Shock",0.06773661196306,0.06773661196306,0,"*"
"CPIF (log)","Adverse Macro Shock",-0.000405433253276913,-0.000805939126916025,7,""
"Interest (pp)","Adverse Macro Shock",-0.0831647551617878,-0.0831647551617878,0,"*"
"Habituals (log)","Adverse Macro Shock",-0.000608193252776671,0.000969058624404603,21,""
"DTA (pp)","Adverse Macro Shock",0.0205561601481138,-0.0875184211016031,15,""
"DSR (pp)","Adverse Macro Shock",-0.0217604522232339,-0.0217604522232339,0,""
"LAI (pp)","Adverse Macro Shock",-0.527042387223607,0.701923074998104,11,""
"Savings (pp)","Adverse Macro Shock",0.0958760869027643,0.0958760869027643,0,""
"REER (log)","Adverse Macro Shock",0.00305271847329291,0.00305271847329291,0,""
