"Variable","Shock","Impact_Q0","Peak_Response","Peak_Horizon","Peak_68_Significant"
"GDP-D (log)","Monetary Policy Shock",-0.00202032643859167,-0.00202032643859167,0,"*"
"Unemployment (pp)","Monetary Policy Shock",0.0509103108308293,0.0818139441600894,6,"*"
"CPIF (log)","Monetary Policy Shock",-0.000572912256556232,-0.00232145808680494,11,"*"
"Interest (pp)","Monetary Policy Shock",0.0620607552595634,0.0620607552595634,0,"*"
"Habituals (log)","Monetary Policy Shock",-0.000386648246470369,-0.000386648246470369,0,""
"DTA (pp)","Monetary Policy Shock",0.023801110700684,0.0826044110996561,3,""
"DSR (pp)","Monetary Policy Shock",0.0138354984891387,0.015945011625017,2,""
"LAI (pp)","Monetary Policy Shock",-0.362390632863607,0.408832170459535,12,""
"Savings (pp)","Monetary Policy Shock",0.126377062403298,0.174590573541395,3,""
"REER (log)","Monetary Policy Shock",-0.000991977238698181,-0.000991977238698181,0,""
"GDP-D (log)","Adverse Macro Shock",-0.00243312325405027,-0.00243312325405027,0,"*"
"Unemployment (pp)","Adverse Macro Shock",0.049711401346883,0.103986559803164,4,"*"
"CPIF (log)","Adverse Macro Shock",-0.000478797544017102,-0.00101867738803054,5,""
"Interest (pp)","Adverse Macro Shock",-0.0615758928363534,-0.132854157253381,3,"*"
"Habituals (log)","Adverse Macro Shock",-0.000695578685416632,-0.000695578685416632,0,""
"DTA (pp)","Adverse Macro Shock",0.028103812832104,0.0707511693464747,30,""
"DSR (pp)","Adverse Macro Shock",-0.0122362514727595,-0.0454191038177519,4,"*"
"LAI (pp)","Adverse Macro Shock",-0.751668797806996,-0.751668797806996,0,""
"Savings (pp)","Adverse Macro Shock",0.0793051960896595,0.0793051960896595,0,""
"REER (log)","Adverse Macro Shock",0.00331245188698562,0.00374796659742627,2,""
