quarter,cpi_index,cpi_growth
1980K1,96.43333333333334,NA
1980K2,98.2,1.8154292046440368
1980K3,100.63333333333334,2.447733268426333
1980K4,104.73333333333333,3.9933889108727527
1981K1,108.76666666666667,3.778747777775493
1981K2,111.1,2.12257817144188
1981K3,113.46666666666667,2.107841138552491
1981K4,115.10000000000001,1.4292207696727566
1982K1,118.56666666666666,2.9674074558462493
1982K2,120.63333333333333,1.7280251615287234
1982K3,122.33333333333334,1.3993917484873997
1982K4,125.36666666666666,2.449321742172028
1983K1,129.06666666666666,2.9086289926131492
1983K2,131.06666666666666,1.537703287058978
1983K3,133.63333333333333,1.9393631375449694
1983K4,136.5,2.1224883644662462
1984K1,139.73333333333335,2.341122971370879
1984K2,142.33333333333334,1.8435880221791656
1984K3,143.83333333333334,1.0483497294858424
1984K4,146.9,2.109686132445887
1985K1,150.9,2.686528259397125
1985K2,153.7,1.8385284770746857
1985K3,154.03333333333333,0.21663786635608417
1985K4,156.36666666666667,1.503464745819194
1986K1,158.86666666666667,1.5861599330229126
1986K2,159.7,0.5231779224434518
1986K3,160.43333333333334,0.4581432419987763
1986K4,162.03333333333333,0.992358774234603
1987K1,164.5,1.5108494822126062
1987K2,165.06666666666666,0.34388624968499926
1987K3,168.03333333333333,1.7812939718199416
1987K4,170.5,1.4572924303095647
1988K1,172.73333333333332,1.3013682736327858
1988K2,175.76666666666668,1.740837840841536
1988K3,177.8,1.1501965211489384
1988K4,180.53333333333333,1.5256109850151134
1989K1,183.9,1.8476698680320425
1989K2,187.23333333333335,1.7963479260001414
1989K3,188.93333333333334,0.9038608278138405
1989K4,192.26666666666668,1.7489078154214077
1990K1,201.43333333333334,4.657517739677353
1990K2,205.93333333333334,2.2094017116968345
1990K3,209.93333333333334,1.9237528182443064
1990K4,213.8,1.8250978592130096
1991K1,223.23333333333335,4.317656365695033
1991K2,227.13333333333333,1.7319654310861132
1991K3,227.66666666666666,0.2345354343924022
1991K4,230.66666666666666,1.3091096046879969
1992K1,230.6,-0.02890591146016419
1992K2,231.8,0.5190323070692671
1992K3,232.36666666666667,0.24416529185922187
1992K4,234.66666666666666,0.9849483665689718
1993K1,241.76666666666665,2.9807006211323817
1993K2,243.03333333333333,0.5225534443018098
1993K3,242.9,-0.05487721361481235
1993K4,244.93333333333334,0.8336228664734158
1994K1,245.93333333333334,0.4074431821604385
1994K2,248.16666666666669,0.9040066961488513
1994K3,249.2,0.41552234573440927
1994K4,250.73333333333335,0.6134170454828336
1995K1,252.3,0.6228898278886064
1995K2,255.13333333333333,1.1167428676479574
1995K3,255.16666666666666,0.013064210613666916
1995K4,256.56666666666666,0.5471613442533219
1996K1,256.1333333333333,-0.16903976458699788
1996K2,257.06666666666666,0.363731240193399
1996K3,255.4,-0.6504511029786997
1996K4,255.36666666666667,-0.013052274377312045
1997K1,254.66666666666666,-0.2744920356255065
1997K2,257.1333333333333,0.9639256607607116
1997K3,258.1666666666667,0.4010614082796238
1997K4,259.3,0.4380321355804462
1998K1,256.8333333333333,-0.9558326452557608
1998K2,257.8,0.37567244130265465
1998K3,256.5,-0.5055425894263443
1998K4,256.73333333333335,0.09092681018749715
1999K1,256.6,-0.05194805311630191
1999K2,258.3,0.6603247920258681
1999K3,258.2,-0.03872216892526481
1999K4,259.43333333333334,0.47652868846910224
2000K1,258.7,-0.2830676105249452
2000K2,260.8333333333333,0.8212544554215384
2000K3,260.73333333333335,-0.03834600928946941
2000K4,262.6,0.7133788215391235
2001K1,262.9666666666667,0.13953195642386618
2001K2,267.96666666666664,1.883531323287091
2001K3,268.1333333333333,0.062177456458201164
2001K4,269.26666666666665,0.4217845230815698
2002K1,270,0.2719744537172275
2002K2,273.23333333333335,1.19041719925006
2002K3,273.06666666666666,-0.06101653737422552
2002K4,275.06666666666666,0.7297526911854035
2003K1,278.06666666666666,1.0847400565747733
2003K2,278.3333333333333,0.09585430880107992
2003K3,277.4,-0.33589283020152294
2003K4,278.6,0.4316553464974504
2004K1,278.23333333333335,-0.1316971157123703
2004K2,279.46666666666664,0.4422934710086146
2004K3,278.96666666666664,-0.17907245279493722
2004K4,279.93333333333334,0.3459179211264818
2005K1,278.96666666666664,-0.3459179211264818
2005K2,280.3,0.4768157800024042
2005K3,280.4,0.035669698969265085
2005K4,281.96666666666664,0.5571705481424161
2006K1,281.12666666666667,-0.298352181911099
2006K2,284.58666666666664,1.22324963562912
2006K3,284.87,0.0995100675077687
2006K4,286.31,0.5042204036756814
2007K1,286.59666666666664,0.10007448237914218
2007K2,289.74,1.09080843988405
2007K3,290.40000000000003,0.22753138371349735
2007K4,295.3066666666667,1.6755081455906762
2008K1,295.81666666666666,0.17255286596986608
2008K2,301.0366666666667,1.7492180431970539
2008K3,303.0566666666667,0.6687733227205506
2008K4,302.5366666666667,-0.17173244789097097
2009K1,298.21,-1.4404545937567903
2009K2,299.62666666666667,0.47393189388245105
2009K3,299.52333333333337,-0.034493310308914005
2009K4,301.27666666666664,0.5836678797840555
2010K1,301.23333333333335,-0.014384270271960986
2010K2,302.75,0.5022224193401037
2010K3,302.90000000000003,0.04953355999894882
2010K4,306.96,1.331472790550503
2011K1,308.0933333333333,0.3685321433499311
2011K2,311.58,1.1253359712086741
2011K3,311.92333333333335,0.11013040337717328
2011K4,314.12,0.701764738861943
2012K1,313.52333333333337,-0.19012927078803088
2012K2,315.0566666666667,0.4878731027716299
2012K3,313.86333333333334,-0.37948698258478686
2012K4,314.34,0.15175556475215402
2013K1,313.34666666666664,-0.31650637661151393
2013K2,314.18666666666667,0.2677150223199476
2013K3,314.14666666666665,-0.012732095507939079
2013K4,314.5466666666667,0.12724806603330308
2014K1,312.25666666666666,-0.7306949619087177
2014K2,314.2133333333333,0.6246661545540988
2014K3,313.62333333333333,-0.18794702667142005
2014K4,313.87666666666667,0.08074369628578992
2015K1,312.29,-0.5067884149868362
2015K2,313.57666666666665,0.4111637662925993
2015K3,313.43333333333334,-0.0457196331255183
2015K4,314.0833333333333,0.2071658864213788
2016K1,314.3233333333333,0.07638366185451773
2016K2,316.13,0.5731341295641457
2016K3,316.67333333333335,0.17172269431302567
2016K4,318.59333333333336,0.6044724040886074
2017K1,318.97,0.11815820979554914
2017K2,321.75,0.8677792000942652
2017K3,323.49666666666667,0.5413963444605763
2017K4,324.2166666666667,0.222320665487441
2018K1,324.38,0.050365148382702785
2018K2,327.86,1.0671019938766513
2018K3,330.3666666666667,0.7616460746243447
2018K4,330.99666666666667,0.1905156088347404
2019K1,330.45666666666665,-0.16327686104347094
2019K2,334.51,1.2191238265177873
2019K3,335.38,0.2597442831319796
2019K4,336.6933333333333,0.3908308632242452
2020K1,333.73333333333335,-0.8830255061696768
2020K2,334.8833333333333,0.34399415729433613
2020K3,337.30333333333334,0.720041195576826
2020K4,337.77,0.1382566064927815
2021K1,338.88,0.32808719298929034
2021K2,340.91,0.5972450416155795
2021K3,343.9866666666667,0.8984384103102094
2021K4,348.98,1.4411717037784655
2022K1,354.64,1.6088576466713356
2022K2,366.2633333333333,3.2249374237521167
2022K3,377.43333333333334,3.0041387977565392
2022K4,389.31,3.09819887653644
2023K1,395.1333333333333,1.4847319268379344
2023K2,402.2033333333333,1.773450436928492
2023K3,406.56333333333333,1.0781953355166074
2023K4,410.92,1.0658829937984393
2024K1,413.58666666666664,0.6468537060244195
2024K2,415.8466666666667,0.5449517163469864
2024K3,414.8566666666667,-0.238352352511928
2024K4,416.3233333333333,0.35291229069711605
2025K1,417.2833333333333,0.23032455540068497
2025K2,417.52666666666664,0.05829669990173869
2025K3,418.7133333333333,0.28381026097754614
2025K4,418.38,-0.07964066554544402
