"date","target_variable","shock_gdp_growth_mean","shock_consumption_growth_mean","shock_cpi_growth_mean","shock_saving_rate_mean","shock_policy_rate_mean","shock_interest_burden_mean","shock_debt_growth_mean","shock_real_house_price_growth_mean","shock_asset_liability_ratio_mean","total_decomposed_mean"
1,"gdp_growth",0.0273113878577049,0.0236571786065908,0.0282447987672667,0.00474336650773866,0.0178581497626137,0.0123980014870966,0.011726897165222,0.0117436697518849,0.0112370296302353,0.148920479536354
2,"gdp_growth",-0.14462319336635,-0.166929529079692,-0.173744485906227,-0.166803588144338,-0.172904958817263,-0.153890177668666,-0.162670939333322,-0.157356269408499,-0.121162136819454,-1.42008527854381
3,"gdp_growth",0.123256769590673,0.125649433043716,0.132054737166112,0.133966416192972,0.089802917010121,0.106604967017706,0.129763663761414,0.118886256596283,0.129021699895055,1.08900686027405
4,"gdp_growth",-0.118027671647741,-0.0933938757815341,-0.0959072474635473,-0.0876770787692847,-0.0551073696122436,-0.0874656833507656,-0.072795490494879,-0.106371951735487,-0.134587931966248,-0.851334300821729
5,"gdp_growth",0.0091024386187897,0.0150350654400153,0.0231054704125431,-0.0146857724925414,0.0397075455764458,0.0187882991738611,-0.032979865922881,-0.0150085134825549,0.00196434032173953,0.0450290076454171
6,"gdp_growth",-0.00677394683879266,0.0108092579538029,0.00899425137382116,-0.0155756404006069,-0.0309816271785127,-0.0235701258246079,-0.0234136481138139,-0.0229578841980242,0.00838839713181672,-0.0950809660949175
7,"gdp_growth",0.0949301242303252,0.0867532699321528,0.0609416266474063,0.0775844453442005,0.0773964154130915,0.0962368741438434,0.100653237467875,0.0806355133325307,0.0752330163141282,0.750364522825554
8,"gdp_growth",-0.0609935171259688,-0.0847564473133994,-0.0577762549479572,-0.0627175942063421,-0.0411225421278082,-0.0649696757669301,-0.0709674163590952,-0.0604117967969135,-0.0431528022045957,-0.54686804684901
9,"gdp_growth",-0.0452743645836356,-0.0307840791370575,-0.0347002037754429,-0.0112734791135407,-0.0581888187823578,-0.035747570897221,0.0128534175823637,-0.0221701512739215,-0.0288719147476932,-0.254157164728507
10,"gdp_growth",0.0668819401931388,0.0291584362113472,0.0395346688023111,0.0178333688794681,0.17287234435002,0.040851376768778,0.0350504057918097,0.0556815947540988,0.0465255998915368,0.504389735642508
11,"gdp_growth",0.0406835653712046,0.0757464135002704,0.086146761867447,0.0651515385237406,-0.0617934745208478,0.0822782076785055,0.0841343300308911,0.103678770288142,0.042082445786727,0.51810855852608
12,"gdp_growth",-0.0900759290108216,-0.109712559049618,-0.0851333533312771,-0.100991499870344,-0.0509915355409715,-0.0942377367753617,-0.116638527372355,-0.107109798494766,-0.121125609254531,-0.876016548700046
13,"gdp_growth",0.265415607195416,0.294702310531692,0.266297132469734,0.269216306325279,0.105781206105105,0.26164291443831,0.259291510287247,0.240149582448046,0.243475533169336,2.20597210297016
14,"gdp_growth",0.00807120286275124,-0.0312449293389878,0.00245560474560432,0.0288650145940406,0.0200930116165499,0.0274284756988478,0.00846564923801449,0.0125592529810893,0.0253222497452245,0.102015532143134
15,"gdp_growth",-0.0458620128393529,-0.0698576069044377,-0.069924464882216,-0.0924813765619054,-0.0663997019170633,-0.0935662264592345,-0.0870129932240651,-0.0756519734426017,-0.0451023179194517,-0.645858674150328
16,"gdp_growth",-0.110608474124179,-0.0872731949366279,-0.0881517205174791,-0.108107494993262,-0.117210123793224,-0.101232454325215,-0.091507108029776,-0.11719705138498,-0.0998352185719654,-0.921122840676708
17,"gdp_growth",-0.10740508840865,-0.1277296367238,-0.137793693387763,-0.0923826209379097,-0.237672469777789,-0.124211431656309,-0.119538800559822,-0.108057028955837,-0.0914418350624151,-1.1462326054703
18,"gdp_growth",0.00870817198188005,0.000432222596409528,0.0209856068906305,-0.00647200316286833,0.108892828930132,-0.0196178540189892,-0.00973228444310171,-0.037202056887976,0.00842002443715406,0.0744146563232709
19,"gdp_growth",-0.0311174558248857,-0.0412828080752213,-0.0673317545455003,-0.0421335047811965,-0.0590046387305623,-0.0169319522924338,-0.029557484487415,-0.0227701018415212,-0.0032816239594817,-0.313411324538218
20,"gdp_growth",0.015687078665308,-0.0173318029720822,0.00864072764685755,-0.00130670515239884,0.0307588302206712,0.00729329529704709,0.0162910030250591,0.00759525977349672,-0.0393847554345319,0.0282429310694267
21,"gdp_growth",0.0761159237963237,0.0768774674608673,0.0575227536132133,0.0662759344330285,-0.00229817127662693,0.0553375924170747,0.057785057189095,0.062405867764422,0.0429389621899142,0.492961387587312
22,"gdp_growth",-0.115771046612757,-0.08664273756816,-0.107737777094825,-0.0842633450479609,-0.15278646194315,-0.108148334818481,-0.0608417563775303,-0.125683732510734,-0.126708961033276,-0.968584153006875
23,"gdp_growth",-0.0631215011023187,-0.0622639664437757,-0.0660309623775538,-0.0763327735548748,-0.0562898780422266,-0.0568702139128756,-0.0714364876743843,-0.0555058138135504,-0.076581750100774,-0.584433347022334
24,"gdp_growth",0.0804171408947328,0.0475738224355871,0.0654067265905757,0.0579682943762609,0.0519299977725012,0.0582300758594382,0.0620379705714785,0.050798542922755,0.0941231628027245,0.568485734226054
25,"gdp_growth",-0.144696257805458,-0.116813765187982,-0.112242206386801,-0.100113331198248,-0.0201173001853761,-0.0969662616195273,-0.0674478434096882,-0.114493876152689,-0.103608317289862,-0.876499159235631
26,"gdp_growth",0.0124189634594861,-0.00671759691767519,0.00765858861896842,-0.00853117604579544,0.111569425768789,-0.000492588140958746,0.0153292742260457,0.0133613664949783,0.0295269865586556,0.174123244022494
27,"gdp_growth",-0.00432158871650223,-0.0171748378318489,-0.0268969888862835,-0.0282076315418698,-0.0488365435752256,-0.0100495348593021,-0.00696546260007881,0.0206967099732925,-0.03907664867456,-0.160832526712378
28,"gdp_growth",0.118457816879473,0.118442173048326,0.115386548864396,0.125269151082162,0.0882027237731021,0.10807022889346,0.118716372954207,0.10651805476477,0.101160720627245,1.00022379088714
29,"gdp_growth",0.015433057409205,0.0245768328684202,-0.00539228854522871,0.024857840682679,-0.0318891934463759,-0.0200709328999966,0.029699128036781,-0.00424616001959622,0.0140228157630547,0.0469910998489424
30,"gdp_growth",-0.00417379747066568,-0.0141651288029767,0.00284770532673456,-0.0161908270871843,0.109108744930293,0.0166513626640156,-0.0117363272546764,0.0196038564482011,0.00515759623127344,0.107103184985015
31,"gdp_growth",-0.0205689014304873,-0.0121280368260898,-0.0210475424228962,0.00156989106678824,-0.126998008857356,-0.0455306495683481,-0.00599419506280774,-0.00569716504073328,-0.00492475645672639,-0.241319364598657
32,"gdp_growth",-0.00570720049965019,-0.0482040158558553,-0.0286117109083827,-0.0484833617592499,0.0338460834095898,-0.0277970243508433,-0.0594531808673293,-0.0491813702816907,-0.0401524079101857,-0.273744189023597
33,"gdp_growth",0.0345770421871345,0.0637927296389065,0.0553203476202552,0.0731247103875452,-0.102808750234488,0.0286703367502029,0.0614541262979447,0.0251115745482747,0.0267710026358789,0.266013119831654
34,"gdp_growth",0.0782434822433497,0.0655143909248972,0.0778655980733997,0.0693787221851637,0.101928979090677,0.0910070514955183,0.0740567982673734,0.0787041349462238,0.0965570822549893,0.733256239481592
35,"gdp_growth",-0.0559623648037669,-0.0916496068381669,-0.0749380989868121,-0.0566070618612555,-0.0276193731534506,-0.0600938218437368,-0.0698738405562064,-0.0400647242099978,-0.0482340392845108,-0.525042931537904
36,"gdp_growth",0.140908753057224,0.124054561826165,0.134151938077861,0.134064592611117,0.115560546362962,0.158270419251898,0.153617748746779,0.12949796976582,0.157124975152213,1.24725150485204
