"Variable","Shock","Impact_Q0","Peak_Response","Peak_Horizon","Peak_95_Significant"
"FED Rate","Monetary Policy Shock",0.177689301706449,0.426455212475017,6,"*"
"KIX GDP","Monetary Policy Shock",-0.00200805423656008,-0.00200805423656008,0,"*"
"KIX CPI","Monetary Policy Shock",-0.000233839933162371,0.000879450588478443,15,""
"GDP-D","Monetary Policy Shock",-0.000679367217390692,0.00245266030763948,10,""
"Unemployment","Monetary Policy Shock",0.00620703943974767,-0.0686094372629194,15,""
"CPIF","Monetary Policy Shock",-0.000345091641844441,-0.00100865517392524,6,""
"Interest","Monetary Policy Shock",0.00589609016847797,0.110121465451365,14,"*"
"Durables","Monetary Policy Shock",-0.0039805710062948,-0.00474539100685692,2,""
"DTA","Monetary Policy Shock",0.00342078300749557,-0.129591929358982,9,""
"DSR","Monetary Policy Shock",-0.0133581416788681,-0.0246886070129078,4,""
"LAI","Monetary Policy Shock",-0.608440450819283,1.04063763747542,6,"*"
"Savings","Monetary Policy Shock",-0.0626692704295061,-0.122701389610105,6,""
"Exchange","Monetary Policy Shock",8.02810625557734e-05,0.00194576331456444,2,""
"FED Rate","Adverse Macro Shock",-0.147048805392753,-0.297625293954668,6,"*"
"KIX GDP","Adverse Macro Shock",-0.00314328913790525,-0.00643986982134017,12,"*"
"KIX CPI","Adverse Macro Shock",-7.17540543014085e-05,-0.00209136454315912,14,""
"GDP-D","Adverse Macro Shock",-0.00173376569532898,-0.00520915736693197,3,"*"
"Unemployment","Adverse Macro Shock",0.0125184126234573,0.122043524508944,4,"*"
"CPIF","Adverse Macro Shock",-0.000964939003551427,-0.0054457387383223,9,""
"Interest","Adverse Macro Shock",-0.0495605118425209,-0.262223089696681,6,"*"
"Durables","Adverse Macro Shock",-0.00648699253858053,-0.00648699253858053,0,"*"
"DTA","Adverse Macro Shock",0.0431852122439003,0.170032621239545,13,""
"DSR","Adverse Macro Shock",-0.00855546556027452,-0.0856298748276836,7,"*"
"LAI","Adverse Macro Shock",-0.607136459780451,-0.997764099405693,1,""
"Savings","Adverse Macro Shock",0.0637588081115179,-0.107180581312911,8,""
"Exchange","Adverse Macro Shock",0.0048697362262426,0.00720330526910275,2,"*"
