"Variable","Shock","Impact_Q0","Peak_Response","Peak_Horizon","Peak_68_Significant"
"GDP-D (log)","Monetary Policy Shock",-0.00194304736821135,-0.0020956796107897,4,"*"
"Unemployment (pp)","Monetary Policy Shock",0.0493071166284605,0.0566545769491775,4,"*"
"CPIF (log)","Monetary Policy Shock",-0.000753880563568094,-0.00100826938527163,12,""
"Interest (pp)","Monetary Policy Shock",0.057722658288741,0.057722658288741,0,"*"
"Durables (log)","Monetary Policy Shock",-0.00237276655914444,-0.00240073979803216,1,""
"DTA (pp)","Monetary Policy Shock",0.00445001931299327,0.0152644677171678,4,""
"DSR (pp)","Monetary Policy Shock",0.00902142608255682,0.00902142608255682,0,""
"LAI (pp)","Monetary Policy Shock",-0.0374474662789641,0.506632531791424,14,""
"Savings (pp)","Monetary Policy Shock",0.0554892833398477,-0.0614571891748563,19,""
"REER (log)","Monetary Policy Shock",0.000658329660460295,-0.000834601399194176,22,""
"GDP-D (log)","Adverse Macro Shock",-0.00252777090760826,-0.00252777090760826,0,"*"
"Unemployment (pp)","Adverse Macro Shock",0.0693356972472289,0.0693356972472289,0,"*"
"CPIF (log)","Adverse Macro Shock",-0.000418416995869852,-0.000785456592559685,8,""
"Interest (pp)","Adverse Macro Shock",-0.0827621620019333,-0.0827621620019333,0,"*"
"Durables (log)","Adverse Macro Shock",-0.00236498020274074,0.00501931931388998,13,""
"DTA (pp)","Adverse Macro Shock",0.0192016209115494,-0.085634080899969,17,""
"DSR (pp)","Adverse Macro Shock",-0.0211143601672423,-0.0211143601672423,0,""
"LAI (pp)","Adverse Macro Shock",-0.493454460399219,0.728120804749305,11,""
"Savings (pp)","Adverse Macro Shock",0.100538889145584,0.100538889145584,0,""
"REER (log)","Adverse Macro Shock",0.00305074086200283,0.00305074086200283,0,""
