"Variable","Shock","Impact_Q0","Peak_Response","Peak_Horizon","Peak_95_Significant"
"GDP-D","Monetary Policy Shock",-0.00201618617468722,-0.00202466484833996,5,""
"Unemployment","Monetary Policy Shock",0.052168903806859,0.0909718779677522,5,""
"CPIF","Monetary Policy Shock",-0.000563998172822806,-0.00277434798576762,11,"*"
"Interest","Monetary Policy Shock",0.0633487278661148,0.0633487278661148,0,"*"
"Durables","Monetary Policy Shock",-0.0035836769682944,-0.0035836769682944,0,""
"DTA","Monetary Policy Shock",0.0206913781156168,0.0866969591718104,3,""
"DSR","Monetary Policy Shock",0.0154267629590204,0.0182321870456833,1,""
"LAI","Monetary Policy Shock",-0.282417633511749,0.607432063022008,12,""
"Savings","Monetary Policy Shock",0.124192180640667,0.182121082263839,3,""
"REER","Monetary Policy Shock",-0.00138788415788398,-0.00138788415788398,0,""
"GDP-D","Adverse Macro Shock",-0.00251215275407621,-0.00251215275407621,0,"*"
"Unemployment","Adverse Macro Shock",0.0510655766805722,0.115275308008814,4,""
"CPIF","Adverse Macro Shock",-0.000529951569860901,-0.00125766860379171,5,""
"Interest","Adverse Macro Shock",-0.0601761137405809,-0.142357906017684,3,"*"
"Durables","Adverse Macro Shock",-0.00456752535389653,-0.00477989860553755,1,""
"DTA","Adverse Macro Shock",0.0133947067335549,0.0760251028319463,30,""
"DSR","Adverse Macro Shock",-0.0104483039686331,-0.0458101188339771,4,""
"LAI","Adverse Macro Shock",-0.650131414545527,0.759440479080922,7,""
"Savings","Adverse Macro Shock",0.0613300036481417,0.0697939533198273,19,""
"REER","Adverse Macro Shock",0.00300926306326645,0.00381560280314455,2,""
