"Variable","Shock","Impact_Q0","Peak_Response","Peak_Horizon","Peak_68_Significant"
"GDP-D (log)","Monetary Policy Shock",-0.00210933880173505,-0.00231020129400223,4,"*"
"Unemployment (pp)","Monetary Policy Shock",0.0542975871705621,0.0954049598137345,6,"*"
"CPIF (log)","Monetary Policy Shock",-0.000616610687744231,-0.00199069898006871,30,"*"
"Interest (pp)","Monetary Policy Shock",0.0619072223295242,0.0619072223295242,0,"*"
"Durables (log)","Monetary Policy Shock",-0.00391490602080786,-0.00473205963502463,2,""
"DTA (pp)","Monetary Policy Shock",0.021378167511423,0.0918120469267667,3,""
"DSR (pp)","Monetary Policy Shock",0.0103873314229982,0.0114272363124362,1,""
"LAI (pp)","Monetary Policy Shock",-0.275474542895657,-0.363307777327424,2,""
"Savings (pp)","Monetary Policy Shock",0.130391693612463,0.16068403158576,2,""
"REER (log)","Monetary Policy Shock",-0.00127105062052885,-0.00139417519797839,1,""
"GDP-D (log)","Adverse Macro Shock",-0.00258940542574283,-0.00286115036911532,2,"*"
"Unemployment (pp)","Adverse Macro Shock",0.0558563092164976,0.127411415760079,3,"*"
"CPIF (log)","Adverse Macro Shock",-0.000464710695586013,-0.00131896233218222,5,""
"Interest (pp)","Adverse Macro Shock",-0.0641336662094084,-0.16153210164538,4,"*"
"Durables (log)","Adverse Macro Shock",-0.0045494992802336,-0.00471465640552715,1,""
"DTA (pp)","Adverse Macro Shock",0.0239641582605704,0.0350296978580762,30,""
"DSR (pp)","Adverse Macro Shock",-0.0102067789976414,-0.0481262891366868,4,""
"LAI (pp)","Adverse Macro Shock",-0.461081301816023,0.665080225670031,7,""
"Savings (pp)","Adverse Macro Shock",0.0519763070704609,0.0519763070704609,0,""
"REER (log)","Adverse Macro Shock",0.00335555821502311,0.00432815976867331,2,""
