"Variable","Shock","Impact_Q0","Peak_Response","Peak_Horizon","Peak_95_Significant"
"FED Rate","Monetary Policy Shock",0,0,0,""
"KIX GDP","Monetary Policy Shock",0,0,0,""
"KIX CPI","Monetary Policy Shock",0,0,0,""
"GDP-D","Monetary Policy Shock",-0.00122146601576559,-0.00172080300014572,30,"*"
"Unemployment","Monetary Policy Shock",0.0483082445665028,0.0599336001303821,30,"*"
"CPIF","Monetary Policy Shock",-0.000331095401496966,-0.000331095401496966,0,"*"
"Interest","Monetary Policy Shock",0.0964446108347596,0.126689643971125,6,"*"
"Habituals","Monetary Policy Shock",0.00315044874743298,0.00315044874743298,0,""
"DTA","Monetary Policy Shock",-0.0682565153831889,0.152811987536428,25,""
"DSR","Monetary Policy Shock",-0.0493109923639709,-0.0545517030817443,30,"*"
"LAI","Monetary Policy Shock",-1.19079821247386,-1.19079821247386,0,""
"Savings","Monetary Policy Shock",0.475889840275047,0.475889840275047,0,""
"REER","Monetary Policy Shock",0.00254533347387659,0.00254533347387659,0,""
"FED Rate","Adverse Macro Shock",0,0,0,""
"KIX GDP","Adverse Macro Shock",0,0,0,""
"KIX CPI","Adverse Macro Shock",0,0,0,""
"GDP-D","Adverse Macro Shock",-0.00211686451358904,-0.00211686451358904,0,"*"
"Unemployment","Adverse Macro Shock",0.0736136608057905,0.0949675928532946,3,"*"
"CPIF","Adverse Macro Shock",0.000666227849485921,0.00110084767293408,30,"*"
"Interest","Adverse Macro Shock",-0.119154215781258,-0.146696671023669,5,"*"
"Habituals","Adverse Macro Shock",0.000214137661101322,0.00127827452437394,30,""
"DTA","Adverse Macro Shock",-0.0860710813923297,-0.158737315998119,5,"*"
"DSR","Adverse Macro Shock",-0.0206294930101627,-0.0516030240764802,30,""
"LAI","Adverse Macro Shock",-0.9501519752125,-0.9501519752125,0,""
"Savings","Adverse Macro Shock",0.291583688297924,0.291583688297924,0,""
"REER","Adverse Macro Shock",-0.00138109525137754,-0.00200372191414076,1,""
