"Variable","Shock","Impact_Q0","Peak_Response","Peak_Horizon","Peak_68_Significant"
"FED Rate","Monetary Policy Shock",0,0,0,""
"KIX GDP","Monetary Policy Shock",0,0,0,""
"KIX CPI","Monetary Policy Shock",0,0,0,""
"GDP-D","Monetary Policy Shock",-0.00146260109487913,-0.00146260109487913,0,"*"
"Unemployment","Monetary Policy Shock",0.0403284883119941,0.103977221054353,30,""
"CPIF","Monetary Policy Shock",-0.000330603522096999,-0.000577545213852716,4,"*"
"Interest","Monetary Policy Shock",0.03724756446562,0.0544752283280709,1,"*"
"Habituals","Monetary Policy Shock",-0.000944768388203153,-0.00157178857625226,30,""
"DTA","Monetary Policy Shock",-0.0165095439842227,0.0501621401599461,3,""
"DSR","Monetary Policy Shock",-0.00733485877070868,0.00773880419331188,1,""
"LAI","Monetary Policy Shock",-1.46177728949911,-1.61685698853487,9,""
"Savings","Monetary Policy Shock",0.155587510633722,0.155587510633722,0,""
"REER","Monetary Policy Shock",-0.00520193945857464,-0.00704745580371865,1,""
"FED Rate","Adverse Macro Shock",0,0,0,""
"KIX GDP","Adverse Macro Shock",0,0,0,""
"KIX CPI","Adverse Macro Shock",0,0,0,""
"GDP-D","Adverse Macro Shock",-0.00157903233773023,-0.00197814786978096,1,"*"
"Unemployment","Adverse Macro Shock",0.0225121434426281,0.0660356450587768,5,"*"
"CPIF","Adverse Macro Shock",0.00105759387351318,0.00158817933437016,2,""
"Interest","Adverse Macro Shock",-0.0368284426117594,-0.126250930232375,30,""
"Habituals","Adverse Macro Shock",-0.0012864519712695,-0.00178274755735783,2,""
"DTA","Adverse Macro Shock",0.0244294116843841,0.0805263909780939,30,""
"DSR","Adverse Macro Shock",-0.00574686024639236,-0.0161578221522002,1,""
"LAI","Adverse Macro Shock",-1.5469864233203,-1.5469864233203,0,""
"Savings","Adverse Macro Shock",-0.319071684718987,-0.32845472794899,2,""
"REER","Adverse Macro Shock",0.000309951046984412,0.00871736174966969,25,""
