quarter,cpi_index,cpi_log,cpi_growth_qoq,cpi_growth_yoy
1980Q1,96.43333333333334,4.5688519233139795,NA,NA
1980Q2,98.2,4.58700621536042,1.8154292046440368,NA
1980Q3,100.63333333333334,4.611483548044683,2.447733268426333,NA
1980Q4,104.73333333333333,4.651417437153411,3.9933889108727527,NA
1981Q1,108.76666666666667,4.689204914931166,3.778747777775493,12.035299161718616
1981Q2,111.1,4.7104306966455844,2.12257817144188,12.342448128516459
1981Q3,113.46666666666667,4.731509108031109,2.107841138552491,12.002555998642617
1981Q4,115.10000000000001,4.745801315727837,1.4292207696727566,9.43838785744262
1982Q1,118.56666666666666,4.775475390286299,2.9674074558462493,8.627047535513377
1982Q2,120.63333333333333,4.792755641901587,1.7280251615287234,8.23249452560022
1982Q3,122.33333333333334,4.806749559386461,1.3993917484873997,7.524045135535129
1982Q4,125.36666666666666,4.831242776808181,2.449321742172028,8.5441461080344
1983Q1,129.06666666666666,4.860329066734312,2.9086289926131492,8.4853676448013
1983Q2,131.06666666666666,4.875706099604902,1.537703287058978,8.295045770331555
1983Q3,133.63333333333333,4.895099730980352,1.9393631375449694,8.835017159389125
1983Q4,136.5,4.916324614625014,2.1224883644662462,8.508183781683343
1984Q1,139.73333333333335,4.939735844338723,2.341122971370879,7.940677760441073
1984Q2,142.33333333333334,4.958171724560515,1.8435880221791656,8.24656249556126
1984Q3,143.83333333333334,4.968655221855373,1.0483497294858424,7.355549087502133
1984Q4,146.9,4.989752083179832,2.109686132445887,7.342746855481774
1985Q1,150.9,5.016617365773803,2.686528259397125,7.68815214350802
1985Q2,153.7,5.03500265054455,1.8385284770746857,7.68309259840354
1985Q3,154.03333333333333,5.037169029208111,0.21663786635608417,6.851380735273782
1985Q4,156.36666666666667,5.052203676666303,1.503464745819194,6.245159348647089
1986Q1,158.86666666666667,5.068065275996532,1.5861599330229126,5.1447910222728765
1986Q2,159.7,5.073297055220967,0.5231779224434518,3.8294404676416427
1986Q3,160.43333333333334,5.077878487640954,0.4581432419987763,4.070945843284335
1986Q4,162.03333333333333,5.0878020753833,0.992358774234603,3.5598398716997437
1987Q1,164.5,5.1029105702054265,1.5108494822126062,3.4845294208894373
1987Q2,165.06666666666666,5.1063494327022765,0.34388624968499926,3.3052377481309847
1987Q3,168.03333333333333,5.124162372420476,1.7812939718199416,4.62838847795215
1987Q4,170.5,5.1387352967235715,1.4572924303095647,5.093322134027112
1988Q1,172.73333333333332,5.151748979459899,1.3013682736327858,4.883840925447291
1988Q2,175.76666666666668,5.169157357868315,1.740837840841536,6.280792516603828
1988Q3,177.8,5.180659323079804,1.1501965211489384,5.649695065932825
1988Q4,180.53333333333333,5.195915432929955,1.5256109850151134,5.718013620638374
1989Q1,183.9,5.214392131610276,1.8476698680320425,6.26431521503763
1989Q2,187.23333333333335,5.232355610870277,1.7963479260001414,6.319825300196236
1989Q3,188.93333333333334,5.2413942191484155,0.9038608278138405,6.073489606861138
1989Q4,192.26666666666668,5.25888329730263,1.7489078154214077,6.296786437267432
1990Q1,201.43333333333334,5.305458474699403,4.657517739677353,9.106634308912742
1990Q2,205.93333333333334,5.3275524918163715,2.2094017116968345,9.519688094609435
1990Q3,209.93333333333334,5.3467900199988145,1.9237528182443064,10.539580085039901
1990Q4,213.8,5.365040998590945,1.8250978592130096,10.615770128831503
1991Q1,223.23333333333335,5.408217562247895,4.317656365695033,10.275908754849183
1991Q2,227.13333333333333,5.425537216558756,1.7319654310861132,9.798472474238462
1991Q3,227.66666666666666,5.42788257090268,0.2345354343924022,8.109255090386558
1991Q4,230.66666666666666,5.44097366694956,1.3091096046879969,7.593266835861545
1992Q1,230.6,5.440684607834958,-0.02890591146016419,3.246704558706348
1992Q2,231.8,5.445874930905651,0.5190323070692671,2.033771434689502
1992Q3,232.36666666666667,5.448316583824243,0.24416529185922187,2.0434012921563216
1992Q4,234.66666666666666,5.458166067489933,0.9849483665689718,1.7192400540372965
1993Q1,241.76666666666665,5.487973073701257,2.9807006211323817,4.728846586629842
