quarter,gdp_se_qoq_pct,gdp_se_log_diff,gdp_se_log
1981Q1,NA,NA,4.605170185988092
1981Q2,1.3,0.01291622526654623,4.618086411254638
1981Q3,0.8,0.007968169649176881,4.626054580903815
1981Q4,-0.2,-0.0020020026706730793,4.624052578233142
1982Q1,0.4,0.003992021269537457,4.6280445995026795
1982Q2,0.7,0.006975613736425138,4.6350202132391045
1982Q3,-1.1,-0.011060947359424948,4.623959265879679
1982Q4,1.2,0.011928570865273812,4.635887836744954
1983Q1,-0.4,-0.004008021397538822,4.631879815347414
1983Q2,0.9,0.008959741371471801,4.640839556718887
1983Q3,1.3,0.01291622526654623,4.653755781985432
1983Q4,1.8,0.017839918128331016,4.671595700113763
1984Q1,2.5,0.024692612590371414,4.696288312704135
1984Q2,-0.7,-0.007024614936964466,4.689263697767171
1984Q3,-0.1,-0.0010005003335835344,4.688263197433587
1984Q4,1.3,0.01291622526654623,4.701179422700133
1985Q1,-0.8,-0.008032171697264267,4.693147251002869
1985Q2,2.1,0.02078253918252841,4.713929790185397
1985Q3,1.4,0.013902905168991434,4.7278326953543885
1985Q4,0.5,0.004987541511038968,4.732820236865428
1986Q1,1.1,0.010939940038334263,4.743760176903762
1986Q2,0.1,9.995003330834232e-4,4.744759677236845
1986Q3,0.6,0.005982071677547469,4.750741748914393
1986Q4,0.4,0.003992021269537457,4.754733770183931
1987Q1,1,0.009950330853168092,4.764684101037099
1987Q2,1.3,0.01291622526654623,4.777600326303645
1987Q3,1.3,0.01291622526654623,4.790516551570191
1987Q4,0.5,0.004987541511038968,4.79550409308123
1988Q1,1,0.009950330853168092,4.805454423934398
1988Q2,-0.1,-0.0010005003335835344,4.804453923600814
1988Q3,-0.2,-0.0020020026706730793,4.8024519209301415
1988Q4,1,0.009950330853168092,4.812402251783309
1989Q1,1.1,0.010939940038334263,4.823342191821643
1989Q2,0.8,0.007968169649176881,4.831310361470821
1989Q3,0.3,0.002995508979798371,4.834305870450619
1989Q4,0.5,0.004987541511038968,4.839293411961658
1990Q1,-0.6,-0.006018072325563021,4.833275339636095
1990Q2,1.3,0.01291622526654623,4.846191564902641
1990Q3,-1.3,-0.01308523954865548,4.833106325353985
1990Q4,0.8,0.007968169649176881,4.841074495003163
1991Q1,-1.2,-0.012072581234269249,4.829001913768893
1991Q2,-0.3,-0.0030045090202987243,4.825997404748595
1991Q3,-0.4,-0.004008021397538822,4.821989383351056
1991Q4,1.1,0.010939940038334263,4.83292932338939
1992Q1,0.1,9.995003330834232e-4,4.833928823722474
1992Q2,-1.4,-0.014098924379501648,4.819829899342972
1992Q3,-0.1,-0.0010005003335835344,4.818829399009388
1992Q4,-2.7,-0.027371196796132015,4.791458202213256
1993Q1,NA,NA,4.791458202213256
1993Q2,0.8,0.007968169649176881,4.799426371862433
1993Q3,0.5,0.004987541511038968,4.804413913373472
1993Q4,0.3,0.002995508979798371,4.80740942235327
1994Q1,1.4,0.013902905168991434,4.821312327522262
1994Q2,1.2,0.011928570865273812,4.833240898387536
1994Q3,0.3,0.002995508979798371,4.836236407367334
1994Q4,2.4,0.023716526617316065,4.85995293398465
1995Q1,1.4,0.013902905168991434,4.8738558391536415
1995Q2,0.4,0.003992021269537457,4.877847860423179
1995Q3,-0.2,-0.0020020026706730793,4.8758458577525055
1995Q4,1.7,0.016857117066422806,4.892702974818929
1996Q1,0.8,0.007968169649176881,4.900671144468106
1996Q2,-1.2,-0.012072581234269249,4.8885985632338365
1996Q3,0.4,0.003992021269537457,4.892590584503374
1996Q4,1.5,0.014888612493750559,4.907479196997125
1997Q1,0.2,0.001998002662673058,4.909477199659797
1997Q2,1.7,0.016857117066422806,4.92633431672622
1997Q3,0.5,0.004987541511038968,4.9313218582372595
1997Q4,1.9,0.018821754240587667,4.950143612477847
1998Q1,0.3,0.002995508979798371,4.953139121457645
1998Q2,1,0.009950330853168092,4.963089452310813
1998Q3,1.1,0.010939940038334263,4.974029392349148
1998Q4,1.5,0.014888612493750559,4.9889180048428985
1999Q1,0.4,0.003992021269537457,4.992910026112436
1999Q2,0.6,0.005982071677547469,4.998892097789983
1999Q3,1.5,0.014888612493750559,5.013780710283734
1999Q4,1.3,0.01291622526654623,5.02669693555028
2000Q1,0.1,9.995003330834232e-4,5.027696435883363
2000Q2,3,0.02955880224154443,5.057255238124908
2000Q3,1,0.009950330853168092,5.067205568978076
2000Q4,0.1,9.995003330834232e-4,5.068205069311159
2001Q1,-0.1,-0.0010005003335835344,5.0672045689775755
2001Q2,-0.4,-0.004008021397538822,5.063196547580037
2001Q3,0.9,0.008959741371471801,5.072156288951509
2001Q4,0.4,0.003992021269537457,5.076148310221046
2002Q1,0.8,0.007968169649176881,5.084116479870223
2002Q2,1.2,0.011928570865273812,5.096045050735497
2002Q3,-0.2,-0.0020020026706730793,5.094043048064823
2002Q4,0.1,9.995003330834232e-4,5.095042548397907
2003Q1,1.3,0.01291622526654623,5.107958773664453
2003Q2,-0.2,-0.0020020026706730793,5.10595677099378
2003Q3,0.9,0.008959741371471801,5.1149165123652525
2003Q4,0.6,0.005982071677547469,5.120898584042799
2004Q1,1.7,0.016857117066422806,5.1377557011092225
