quarter,real_house_price_growth
1986K1,NA
1986K2,1.262583817557239
1986K3,2.1620939974035913
1986K4,1.5609714262819097
1987K1,2.6049577671381385
1987K2,2.0466658356704137
1987K3,1.3197297024360566
1987K4,2.288463823180553
1988K1,3.717606178752675
1988K2,2.369329727713687
1988K3,4.714676187001832
1988K4,0.9745192355265608
1989K1,4.142144290074867
1989K2,2.749889481675627
1989K3,2.911315768623801
1989K4,-1.2155732178851686
1990K1,1.0287684497769511
1990K2,-0.21928627996734562
1990K3,0.027528604113857824
1990K4,-3.2849778013282815
1991K1,2.3198505287922444
1991K2,-2.1917363559490255
1991K3,0.22523549047051006
1991K4,-2.23077511518035
1992K1,-4.711317977998242
1992K2,-2.479879445906885
1992K3,-3.259469108928048
1992K4,-7.847799005478517
1993K1,-7.450718512923071
1993K2,-0.5225534443018098
1993K3,-0.5181902572837238
1993K4,0.30924671588881125
1994K1,1.2827378980999171
1994K2,1.8509884806742427
1994K3,0.6655692646871714
1994K4,-2.239469132660865
1995K1,-0.6228898278886064
1995K2,0.5093092195300741
1995K3,-1.0941558210352476
1995K4,-2.191033978569301
1996K1,0.7200053456839051
1996K2,0.7291758130256731
1996K3,2.2677370275387965
1996K4,0.013052274377312045
1997K1,1.8660375662154394
1997K2,2.654039996989521
1997K3,1.6090565238291
1997K4,-0.4380321355804462
1998K1,3.8972211658850675
1998K2,2.9500497343455834
1998K3,3.2706957224774236
1998K4,1.2634957005881908
1999K1,1.3882708343330386
1999K2,3.244726695161404
1999K3,2.973943370178045
1999K4,-0.47652868846910224
2000K1,3.1345846413270095
2000K2,3.8854966303770944
2000K3,3.4285011768576013
2000K4,-0.3436926334065227
2001K1,2.7697641377425697
2001K2,-0.46001974109985966
2001K3,1.689180792812639
2001K4,-1.8204087205555552
2002K1,1.4732705414053804
2002K2,1.876262640047166
2002K3,3.6857955766083528
2002K4,-0.40665063304077265
2003K1,-0.4416510235457416
2003K2,2.122937188735108
2003K3,2.506520688387859
2003K4,0.48438159336896547
2004K1,2.2370380354955977
2004K2,3.6399059810168666
2004K3,2.4390556445190725
2004K4,0.7652046213806329
2005K1,0.896883502223389
2005K2,3.0323162011246296
2005K3,3.865995535275868
2005K4,1.4631001836095336
2006K1,3.496656767216244
2006K2,1.87592569520465
2006K3,2.906496613072296
2006K4,0.17682649657695393
2007K1,0.8008325118574966
2007K2,4.150565828519959
2007K3,4.143611925328106
2007K4,-1.4720492758119263
2008K1,-1.399562125151288
2008K2,-0.31916302897743165
2008K3,0.7411191152296048
2008K4,-3.494665989268153
2009K1,-0.022476407839100432
2009K2,3.448139421445706
2009K3,2.632041950634978
2009K4,1.1759083092538702
2010K1,1.9338289958866994
2010K2,1.75351232306733
2010K3,0.5065383084707165
2010K4,-0.9624686818050954
2011K1,-0.18453945114922377
2011K2,-0.575380414604787
2011K3,-0.2931130710847718
2011K4,-4.243607459216214
2012K1,-0.19009932418585507
2012K2,0.6485027622598949
2012K3,1.874841949290662
2012K4,-0.15175556475215402
2013K1,0.31650637661151393
2013K2,1.2056081289784082
2013K3,1.4646632279532668
2013K4,0.7696189322427216
2014K1,2.3250600016223366
2014K2,1.8060090678620355
2014K3,3.2287218451429567
2014K4,1.0772510468101792
2015K1,2.6224084117179913
2015K2,3.225600650794913
2015K3,3.5548516142524633
2015K4,2.3096212842713015
2016K1,0.21558734847895167
2016K2,1.5898918013063756
2016K3,3.056627840799564
2016K4,-0.19096388930828212
2017K1,1.9241183535905648
2017K2,2.3155134572268032
2017K3,1.5258607360114418
2017K4,-0.222320665487441
2018K1,-0.9495362675790986
2018K2,-2.2351879551522735
2018K3,-0.24081156391053682
2018K4,-0.32047014304321664
2019K1,0.4230172668119536
2019K2,0.06955380111790532
2019K3,1.7682086119209295
2019K4,-0.14020416561830729
2020K1,2.0031367816517154
2020K2,1.738138624064245
2020K3,1.911689636160574
2020K4,3.797436521919728
2021K1,3.239738272889525
2021K2,5.149016444217036
2021K3,4.24123175540716
2021K4,-1.2449007869935969
2022K1,-0.7303746910980458
2022K2,-0.824438097026281
2022K3,-3.861695267996179
2022K4,-9.316284480981007
2023K1,-6.175534538442307
2023K2,-3.2788552104855206
2023K3,-0.4302449044179646
2023K4,-2.1481446396135695
2024K1,-1.6310059905035423
2024K2,0.6565919580941326
2024K3,2.492876184617554
2024K4,-0.9918921005742654
2025K1,0.08967571766644866
2025K2,0.6844122844597678
2025K3,0.3484363129711454
2025K4,-1.0825488550531226
2026K1,NA
2026K2,NA
