quarter,kix_nominal_index,kix_nominal_log,cpi_log,kix_cpi_log,kix_real_log
1995Q1,120.8392559375,4.794461199080613,5.530618855647012,NA,NA
1995Q2,124.49403491525423,4.8242578024296545,5.541786284323492,NA,NA
1995Q3,120.68354384615385,4.793171779505653,5.541916926429629,NA,NA
1995Q4,112.0517665079365,4.71896096547685,5.547388539872162,NA,NA
1996Q1,110.8601746875,4.708269719739109,5.545698142226292,4.614712602576036,3.777284180088853
1996Q2,107.85092881355932,4.680749984884862,5.549335454628226,4.624593815109575,3.7560083453662116
1996Q3,107.29805227272728,4.675610497307196,5.542830943598439,4.628606351141701,3.7613859048504583
1996Q4,106.95927048387097,4.672448112312977,5.542700420854666,4.634765482249579,3.764513173707889
1997Q1,111.720484,4.7160000733268115,5.539955500498411,4.6424161709033624,3.8184607437317633
1997Q2,114.02522393442624,4.736419686502226,5.549594757106018,4.6491378774615795,3.835962806857788
1997Q3,112.01312106060607,4.718616016760136,5.553605371188814,4.654574874106632,3.819585519677954
1997Q4,110.57815596774194,4.705722564769131,5.5579856925446185,4.659623925925952,3.807360798150463
1998Q1,112.15874112903225,4.719915199338058,5.548427366092061,4.664973986855461,3.8364618201014578
1998Q2,109.73136627118645,4.698035254134401,5.552184090505087,4.671419364138039,3.8172705277673513
1998Q3,112.67759803030303,4.7245306260459925,5.547128664610824,4.673411014832756,3.8508129762679246
1998Q4,116.33530079365079,4.756476545657645,5.548037932712699,4.677209942700535,3.8856485556454814
1999Q1,112.60407,4.723877860700664,5.547518452181536,4.680548909156033,3.8569083176751624
1999Q2,113.89259366666667,4.735255843463306,5.554121700101795,4.688817551247039,3.8699516946085497
1999Q3,111.8704443939394,4.717341455264817,5.553734478412542,4.69218518012858,3.855792156980856
1999Q4,111.82558328125,4.716940365323641,5.558499765297233,4.698921701755965,3.8573623017823717
2000Q1,111.6028340625,4.714946444450036,5.5556690891919835,4.706363804485871,3.865641159743923
2000Q2,110.07917627118644,4.701199891155459,5.563881633746199,4.714216204258374,3.851534461667633
2000Q3,112.66117615384616,4.724384873265136,5.563498173653304,4.720128667791616,3.8810153674034478
2000Q4,116.42530507936507,4.757249909258953,5.5706319618686955,4.727167160737425,3.9137851081276835
2001Q1,118.364590625,4.773769612053621,5.572027281432934,4.733465741550819,3.9352080721715055
2001Q2,121.35336508474576,4.798706662193946,5.590862594665805,4.746488921534265,3.954332989062407
2001Q3,124.15090846153846,4.8214978293783775,5.591484369230387,4.748344756160637,3.978358216308627
2001Q4,124.87626193548387,4.827323342507117,5.595702214461203,4.751143398323927,3.9827645263698406
2002Q1,121.44885290322581,4.799493210391027,5.598421958998375,4.754208764169714,3.9552800155623666
2002Q2,120.27953233333334,4.7898184699628965,5.610326130990876,4.758471371583872,3.937963710555893
2002Q3,118.89360727272727,4.778229036672907,5.609715965617133,4.759683958120883,3.9281970291766557
2002Q4,116.3967706451613,4.757004791314206,5.617013492528987,4.76343772770765,3.9034290264928684
2003Q1,114.8050114516129,4.743235136692363,5.627860893094735,4.768865295436732,3.8842395390343603
2003Q2,112.25855881355932,4.720804771497915,5.628819436182746,4.770490057336159,3.8624753926513273
2003Q3,112.7707990909091,4.725357432242936,5.625460507880731,4.770663184223407,3.870560108585612
2003Q4,109.67934564516129,4.697561069200169,5.629777061345705,4.773183685357508,3.8409676932119714
2004Q1,110.47271301587301,4.704768549430026,5.6284600901885815,4.776446109841692,3.852754569083136
2004Q2,111.28819133333333,4.712123155018725,5.632883024898668,4.781053862865847,3.8602939929859055
2004Q3,111.0107559090909,4.709627096699725,5.631092300370718,4.782112520661468,3.860647316990476
2004Q4,108.05755046875,4.682663959907557,5.634551479581983,4.785410960442269,3.833523440767843
2005Q1,108.79818950819673,4.6894946937337245,5.631092300370718,4.787523119362458,3.845925512725464
2005Q2,111.6967164516129,4.7157873095071166,5.635860458170742,4.792179177755922,3.872106029092296
2005Q3,114.78534363636363,4.743063807062336,5.636217155160435,4.794675566962223,3.901522218864124
2005Q4,116.78755609375,4.76035652442507,5.641788860641859,4.797455349447775,3.916023013230986
2006Q1,114.99801328125,4.744914852398804,5.638805338822748,4.799838518306244,3.9059480318823008
2006Q2,113.08736610169491,4.728160671327239,5.651037835179039,4.805444288403667,3.8825671245518656
2006Q3,111.64819984615384,4.715352854969029,5.652032935854117,4.80752267265443,3.8708425917693416
2006Q4,110.39724206349206,4.704085152222008,5.657075139890874,4.808762750083268,3.8557727624144027
2007Q1,110.63932609375,4.706275596355939,5.658075884714665,4.811496961055901,3.859696672697173
2007Q2,111.11430050847457,4.71055940581022,5.668983969113506,4.817060959971043,3.858636396667758
2007Q3,111.16414646153846,4.711007905919691,5.671259282950641,4.818575537236942,3.8583241602059912
2007Q4,110.30183177419354,4.703220533321863,5.6880143644065475,4.82410562621938,3.8393117951346953
2008Q1,110.56542870967742,4.705607460746582,5.689739893066246,4.830508343305734,3.846375910986069
2008Q2,108.6406341935484,4.688045501362828,5.707232073498217,4.837867154855187,3.8186805827197983
2008Q3,110.96362954545455,4.7092024858668315,5.713919806725422,4.8423555633006155,3.837638242442025
2008Q4,120.50264838709677,4.791671731005346,5.7122024822465125,4.8398130324133355,3.919282281172169
2009Q1,126.99509645161291,4.844148475095961,5.697797936308945,4.83987896803542,3.9862295068224363
2009Q2,124.9839665,4.8281854610752575,5.702537255247769,4.843717105174494,3.969365311001983
2009Q3,120.42345121212121,4.791014291417357,5.70219232214468,4.845741189849688,3.934563159122365
2009Q4,119.10195968253969,4.77997993031942,5.7080290009425205,4.84805374811585,3.9200046774927486
2010Q1,117.05309580645161,4.762627642168551,5.707885158239801,4.853011904118526,3.9077543880472767
2010Q2,116.36867344262295,4.756763370575961,5.712907382433202,4.855971253790684,3.899827241933443
2010Q3,113.3386706060606,4.730380421416117,5.713402718033191,4.856740324724695,3.8737180281076204
2010Q4,110.1544628125,4.701883588201555,5.7267174459386965,4.861006976851853,3.8361731191147115
2011Q1,106.25668142857143,4.665857689861022,5.730402767372196,4.867365222784115,3.802820145272941
2011Q2,106.80394483333333,4.670994862485651,5.7416561270842825,4.8727901700646585,3.802128905466028
2011Q3,108.81056318181818,4.689608417777283,5.742757431118054,4.874215224779913,3.821066211439142
2011Q4,108.52493750000001,4.686979985281322,5.749775078506674,4.876941659837645,3.814146566612293
2012Q1,107.25021078125,4.675164523132535,5.747873785798793,4.882025346618529,3.80931608395227
2012Q2,108.37647338983051,4.685611030300844,5.75275251682651,4.885029321877607,3.817887835351941
2012Q3,103.83416338461538,4.642795043600788,5.748957647000662,4.885661049635129,3.779498446235255
2012Q4,105.10896580645161,4.654997581632179,5.750475202648183,4.888659638620101,3.7931820176040967
2013Q1,102.2817906451613,4.6277316575552385,5.747310138882068,4.892986354821092,3.7734078734942633
2013Q2,102.8250575,4.63302907331886,5.749987289105268,4.895419073766551,3.778460857980142
2013Q3,102.83688803030303,4.633144121635509,5.749859968150188,4.897510880876695,3.7807950343620167
2013Q4,104.0187570967742,4.64457123957881,5.751132448810521,4.89960941480434,3.79304820557263
2014Q1,103.13051919354838,4.63599536267532,5.743825499191434,4.9027624265426635,3.7949322900265496
2014Q2,105.77157169491525,4.661281784782507,5.750072160736975,4.906333006668372,3.8175426307139038
2014Q3,108.68174348484848,4.688423826800177,5.748192690470261,4.90774468317275,3.8479758195026657
2014Q4,109.4185264516129,4.695180221643272,5.749000127433119,4.90790799095584,3.8540880851659924
2015Q1,112.9602541935484,4.727036024039394,5.7439322432832505,4.908665635102739,3.8917694158588816
2015Q2,113.49374766666666,4.731747748766835,5.7480438809461765,4.91256001979625,3.8962638876169082
2015Q3,112.74931863636364,4.725166935228064,5.747586684614921,4.91410113827437,3.8916813888875126
2015Q4,111.10711190476191,4.710494708141017,5.749658343479135,4.914913438974313,3.875749803636195
2016Q1,109.64441770491803,4.697242563444067,5.75042218009768,4.917102667442663,3.86392305078905
2016Q2,109.25297048387097,4.69366602338978,5.756153521393322,4.920554699482379,3.8580672014788364
2016Q3,112.14094212121212,4.719756491955154,5.757870748336452,4.922143382127488,3.884029125746191
2016Q4,115.58316296875,4.749990296571167,5.763915472377338,4.92455833297082,3.91063315716465
2017Q1,113.2165109375,4.72930201147142,5.7650970544752935,4.928488357708659,3.8926933147047853
2017Q2,114.3829472881356,4.739552005668182,5.773774846476236,4.9310743543214,3.8968515135133472
2017Q3,110.7865063076923,4.707604982670278,5.779188809920842,4.9330324156796985,3.861448588429135
2017Q4,113.14933984126984,4.728708537694606,5.781412016575716,4.936137934683841,3.88343445580273
2018Q1,114.38575222222222,4.739576527677467,5.781915668059543,4.939916223806069,3.897577083423993
2018Q2,118.91254433333333,4.77838830135566,5.79258668799831,4.943180387314201,3.928982000671552
2018Q3,118.93736276923077,4.77859699124997,5.800203148744553,4.947282143364863,3.9256759858702788
2018Q4,118.37371387096775,4.773846686576831,5.802108304832901,4.949575432081055,3.9213138138249857
2019Q1,120.08252920634921,4.788179249781183,5.800475536222466,4.95170019151668,3.9394039050753964
2019Q2,122.46856203389831,4.807854360590038,5.812666774487644,4.956097391051242,3.9512849771536356
2019Q3,122.80007984848484,4.810557665944792,5.815264217318964,4.958519397997474,3.9538128466233022
2019Q4,123.0475420967742,4.812570801804361,5.819172525951206,4.961922141471552,3.9553204173247067
2020Q1,122.61133873015874,4.809019504789686,5.810342270889509,4.965793868334953,3.9644711022351293
2020Q2,120.70372366666666,4.7933389782213744,5.813782212462453,4.963964242443415,3.943521008202337
2020Q3,115.9909656060606,4.753512305366975,5.820982624418221,4.967451008468612,3.899980689417365
2020Q4,114.75654396825396,4.7428128753604035,5.822365190483149,4.969093875814878,3.889541560692132
2021Q1,113.51721161290322,4.731954469591191,5.825646062413042,4.9750585230294995,3.8813669302076486
2021Q2,113.82781409836066,4.734686903940589,5.8316185128291975,4.98027826524251,3.8833466563539014
2021Q3,114.96079848484848,4.744591187509074,5.8406028969323,4.985793878532942,3.889782169109715
2021Q4,114.96329546875,4.744612907580761,5.855014613970084,4.994124182911565,3.883722476522241
2022Q1,119.13720951612903,4.780275850037114,5.871103190436798,5.006966185337272,3.9161388449375893
2022Q2,119.41598583333334,4.782613076698029,5.903352564674319,5.022363818598479,3.90162433062219
2022Q3,121.83293863636364,4.802650750869666,5.933393952651884,5.031715287511682,3.900972085729463
2022Q4,123.87187328125,4.8192477514133305,5.964375941417249,5.038504509117249,3.8933763191133313
2023Q1,125.58708203125,4.8329993986750015,5.979223260685628,5.04689239585055,3.900668533839924
2023Q2,127.45136677966102,4.847734854810609,5.996957765054913,5.0519633004945534,3.9027403902502504
2023Q3,130.03715323076923,4.8678202037070735,6.007739718410079,5.057528202224617,3.9176086875216107
2023Q4,127.01779476190477,4.844327192878699,6.018398548348063,5.06028624677561,3.8862148913062455
2024Q1,124.66263841269841,4.825611196026766,6.0248670854083075,5.065939568940204,3.866683679558661
2024Q2,126.94195416666666,4.843729928171889,6.030316602571777,5.070705864533404,3.884119190133517
2024Q3,125.55808818181818,4.832768505526341,6.027933079046658,5.074626810428979,3.8794622369086618
2024Q4,126.67773370967743,4.841646331627854,6.031462201953629,5.07686853001065,3.8870526596848736
2025Q1,124.00608322580645,4.820330622674351,6.033765447507636,5.079110249592321,3.8656754247590372
2025Q2,118.36148813559322,4.773743400413372,6.0343484145066535,5.081351969173992,3.8207469550807103
2025Q3,119.06654742424243,4.779682558857606,6.037186517116429,5.083593688755663,3.8260897304968386
2025Q4,117.34865161290323,4.76514943192768,6.0363901104609745,5.085835408337334,3.814594729804039
2026Q1,114.85308564516129,4.743653795514832,NA,NA,NA
2026Q2,117.45435366666666,4.7660497786739064,NA,NA,NA
2026Q3,119.6483537735849,4.78455705557678,NA,NA,NA
