quarter,kix_index,kix_nominal_log,kix_real_log,cpi_log,kix_cpi_log
1996Q1,110.83067,4.708003541063884,3.7770180014136274,5.545698142226292,4.614712602576036
1996Q2,107.86083461538462,4.680841827830048,3.7561001883113985,5.549335454628226,4.624593815109575
1996Q3,107.28437989130435,4.675483064867331,3.761258472410592,5.542830943598439,4.628606351141701
1996Q4,107.09672532608695,4.673732401132722,3.765797462527636,5.542700420854666,4.634765482249579
1997Q1,111.70217777777778,4.715836202552759,3.8182968729577107,5.539955500498411,4.6424161709033624
1997Q2,114.02323824175824,4.736402271847034,3.8359453922025963,5.549594757106018,4.6491378774615795
1997Q3,111.99831380434784,4.718483815863439,3.8194533187812567,5.553605371188814,4.654574874106632
1997Q4,110.5906854347826,4.705835867049639,3.807474100430972,5.5579856925446185,4.659623925925952
1998Q1,112.13617066666669,4.719713942321026,3.8362605630844255,5.548427366092061,4.664973986855461
1998Q2,109.7569610989011,4.698268476813141,3.8175037504460922,5.552184090505087,4.671419364138039
1998Q3,112.68453336956522,4.72459217444564,3.850874524667571,5.547128664610824,4.673411014832756
1998Q4,116.37124315217392,4.756785452817707,3.8859574628055427,5.548037932712699,4.677209942700535
1999Q1,112.79396211111111,4.72556281024755,3.858593267222047,5.547518452181536,4.680548909156033
1999Q2,113.84537043956044,4.734841127998816,3.869536979144061,5.554121700101795,4.688817551247039
1999Q3,111.89001076086956,4.7175163419932735,3.8559670437093114,5.553734478412542,4.69218518012858
1999Q4,111.8326316304348,4.717003393182375,3.8574253296411065,5.558499765297233,4.698921701755965
2000Q1,111.63462835164836,4.715231291706581,3.8659260070004677,5.5556690891919835,4.706363804485871
2000Q2,110.03563076923076,4.7008042294268435,3.8511387999390188,5.563881633746199,4.714216204258374
2000Q3,112.62743739130435,4.7240853573485255,3.880715851486837,5.563498173653304,4.720128667791616
2000Q4,116.41216467391304,4.757137037344652,3.9136722362133813,5.5706319618686955,4.727167160737425
2001Q1,118.34033277777776,4.773564649292742,3.9350031094106264,5.572027281432934,4.733465741550819
2001Q2,121.30992549450548,4.798348638608256,3.953974965476717,5.590862594665805,4.746488921534265
2001Q3,124.14252369565216,4.821430290210574,3.9782906771408237,5.591484369230387,4.748344756160637
2001Q4,124.85984869565218,4.8271918978408745,3.9826330817035993,5.595702214461203,4.751143398323927
2002Q1,121.42208933333332,4.799272817043397,3.955059622214736,5.598421958998375,4.754208764169714
2002Q2,120.2770356043956,4.789797712026756,3.9379429526197516,5.610326130990876,4.758471371583872
2002Q3,118.9523454347826,4.77872295437536,3.928690946879109,5.609715965617133,4.759683958120883
2002Q4,116.37550804347826,4.756822101160018,3.9032463363386816,5.617013492528987,4.76343772770765
2003Q1,114.81329355555556,4.743307274703711,3.884311677045708,5.627860893094735,4.768865295436732
2003Q2,112.22039494505496,4.720464749698695,3.8621353708521076,5.628819436182746,4.770490057336159
2003Q3,112.73872565217393,4.7250729791672805,3.870275655509958,5.625460507880731,4.770663184223407
2003Q4,109.6570845652174,4.697358083494612,3.8407647075064135,5.629777061345705,4.773183685357508
2004Q1,110.41257934065932,4.704224070655023,3.8522100903081347,5.6284600901885815,4.776446109841692
2004Q2,111.28446813186812,4.712089698964648,3.8602605369318272,5.632883024898668,4.781053862865847
2004Q3,111.02497597826088,4.709755184814809,3.860775405105559,5.631092300370718,4.782112520661468
2004Q4,108.10046836956522,4.68306105737921,3.8339205382394965,5.634551479581983,4.785410960442269
2005Q1,108.76199033333332,4.689161919829751,3.84559273882149,5.631092300370718,4.787523119362458
2005Q2,111.67698428571428,4.715610635477141,3.8719293550623215,5.635860458170742,4.792179177755922
2005Q3,114.76048260869564,4.742847196478107,3.901305608279894,5.636217155160435,4.794675566962223
2005Q4,116.77463402173912,4.760245872336925,3.9159123611428415,5.641788860641859,4.797455349447775
2006Q1,114.99357677777778,4.744876272697071,3.905909452180567,5.638805338822748,4.799838518306244
