quarter,house_price_index,house_price_nominal_log,cpi_log,house_price_real_log
1986Q1,111,4.709530201312334,5.068065275996532,-0.3585350746841982
1986Q2,113,4.727387818712341,5.073297055220967,-0.3459092365086258
1986Q3,116,4.7535901911063645,5.077878487640954,-0.3242882965345899
1986Q4,119,4.77912349311153,5.0878020753833,-0.3086785822717708
1987Q1,124,4.820281565605037,5.1029105702054265,-0.2826290046003894
1987Q2,127,4.844187086458591,5.1063494327022765,-0.2621623462436853
1987Q3,131,4.875197323201151,5.124162372420476,-0.24896504921932472
1987Q4,136,4.912654885736052,5.1387352967235715,-0.2260804109875192
1988Q1,143,4.962844630259907,5.151748979459899,-0.18890434919999244
1988Q2,149,5.003946305945459,5.169157357868315,-0.16521105192285557
1988Q3,158,5.062595033026967,5.180659323079804,-0.11806429005283725
1988Q4,162,5.087596335232384,5.195915432929955,-0.10831909769757164
1989Q1,172,5.147494476813453,5.214392131610276,-0.06689765479682297
1989Q2,180,5.19295685089021,5.232355610870277,-0.0393987599800667
1989Q3,187,5.231108616854587,5.2413942191484155,-0.010285602293828688
1989Q4,188,5.236441962829949,5.25888329730263,-0.022441334472680374
1990Q1,199,5.293304824724492,5.305458474699403,-0.012153649974910863
1990Q2,203,5.313205979041787,5.3275524918163715,-0.014346512774584319
1990Q3,207,5.332718793265369,5.3467900199988145,-0.01407122673344574
1990Q4,204,5.318119993844216,5.365040998590945,-0.046921004746728556
1991Q1,218,5.384495062789089,5.408217562247895,-0.023722499458806112
1991Q2,217,5.37989735354046,5.425537216558756,-0.04563986301829637
1991Q3,218,5.384495062789089,5.42788257090268,-0.04338750811359127
1991Q4,216,5.375278407684165,5.44097366694956,-0.06569525926539477
1992Q1,206,5.327876168789581,5.440684607834958,-0.11280843904537718
1992Q2,202,5.308267697401205,5.445874930905651,-0.13760723350444604
1992Q3,196,5.278114659230517,5.448316583824243,-0.17020192459372652
1992Q4,183,5.209486152841421,5.458166067489933,-0.2486799146485117
1993Q1,175,5.1647859739235145,5.487973073701257,-0.3231870997777424
1993Q2,175,5.1647859739235145,5.493198608144275,-0.3284126342207605
1993Q3,174,5.159055299214529,5.492649836008127,-0.33359453679359774
1993Q4,176,5.170483995038151,5.500986064672861,-0.3305020696347096
1994Q1,179,5.187385805840755,5.505060496494465,-0.31767469065371046
1994Q2,184,5.214935757608986,5.514100563455954,-0.29916480584696803
1994Q3,186,5.225746673713202,5.518255786913298,-0.2925091132000963
1994Q4,183,5.209486152841421,5.524389957368126,-0.31490380452670497
1995Q1,183,5.209486152841421,5.530618855647012,-0.32113270280559103
1995Q2,186,5.225746673713202,5.541786284323492,-0.3160396106102903
1995Q3,184,5.214935757608986,5.541916926429629,-0.32698116882064276
1995Q4,181,5.198497031265826,5.547388539872162,-0.3488915086063358
1996Q1,182,5.204006687076795,5.545698142226292,-0.3416914551494967
1996Q2,184,5.214935757608986,5.549335454628226,-0.33439969701924
1996Q3,187,5.231108616854587,5.542830943598439,-0.31172232674385203
1996Q4,187,5.231108616854587,5.542700420854666,-0.3115918040000789
1997Q1,190,5.247024072160486,5.539955500498411,-0.2929314283379245
1997Q2,197,5.2832037287379885,5.549594757106018,-0.2663910283680293
1997Q3,201,5.303304908059076,5.553605371188814,-0.2503004631297383
1997Q4,201,5.303304908059076,5.5579856925446185,-0.25468078448554277
1998Q1,207,5.332718793265369,5.548427366092061,-0.2157085728266921
1998Q2,214,5.365976015021851,5.552184090505087,-0.18620807548323626
1998Q3,220,5.393627546352362,5.547128664610824,-0.15350111825846202
1998Q4,223,5.407171771460119,5.548037932712699,-0.1408661612525801
1999Q1,226,5.420534999272286,5.547518452181536,-0.12698345290924973
1999Q2,235,5.459585514144159,5.554121700101795,-0.09453618595763569
1999Q3,242,5.488937726156687,5.553734478412542,-0.06479675225585524
1999Q4,242,5.488937726156687,5.558499765297233,-0.06956203914054626
2000Q1,249,5.517452896464707,5.5556690891919835,-0.038216192727276166
2000Q2,261,5.564520407322694,5.563881633746199,6.387735764947777e-4
2000Q3,270,5.598421958998375,5.563498173653304,0.03492378534507079
2000Q4,271,5.602118820879701,5.5706319618686955,0.031486859011005564
2001Q1,279,5.631211781821365,5.572027281432934,0.05918450038843126
2001Q2,283,5.645446897643238,5.590862594665805,0.054584302977432664
2001Q3,288,5.662960480135946,5.591484369230387,0.07147611090555905
2001Q4,284,5.648974238161206,5.595702214461203,0.0532720237000035
2002Q1,289,5.666426688112432,5.598421958998375,0.0680047291140573
2002Q2,298,5.697093486505405,5.610326130990876,0.08676735551452897
