quarter,cons_durable,cons_habitual,cons_total,cons_durable_log,cons_habitual_log,cons_total_log
1981Q1,7141,241025,248166,8.87360810154911,12.392655941532581,12.421853156067794
1981Q2,7613,244177,251790,8.937612591306213,12.405648651128862,12.436350685744983
1981Q3,6530,226922,233452,8.784162222270476,12.332361625080493,12.360731767507385
1981Q4,8722,254673,263395,9.073603848402712,12.447735648281265,12.48141008557508
1982Q1,7451,244824,252275,8.916103530553727,12.408294864030465,12.43827504133273
1982Q2,8152,245979,254131,9.00601857490256,12.413001445416969,12.445605161079865
1982Q3,6672,230144,236816,8.805674944038582,12.346460478951183,12.37503874727697
1982Q4,9562,260625,270187,9.165552189186048,12.470837871535203,12.50686959084154
1983Q1,6744,239464,246208,8.81640849968169,12.386158371382551,12.413931986111967
1983Q2,7313,239899,247212,8.89740886527095,12.387973280415597,12.418001547076786
1983Q3,6185,228624,234809,8.729882284826589,12.339834011708751,12.36652769669552
1983Q4,8663,255346,264009,9.06681636189014,12.450374767179257,12.483738472456462
1984Q1,6982,247301,254283,8.851090687664982,12.418361497172986,12.446203098998682
1984Q2,7437,247077,254514,8.9142228207033,12.417455307919708,12.447111123282912
1984Q3,6095,231507,237602,8.715224041915372,12.352365389632272,12.378352283943617
1984Q4,8403,257489,265892,9.036344063928219,12.458732279726867,12.49084549027982
1985Q1,7405,254667,262072,8.909910726701899,12.447712088380214,12.476374554150418
1985Q2,8380,253417,261797,9.033603193476129,12.442791632227427,12.475324673263174
1985Q3,6320,236147,242467,8.751474487140904,12.372209771453605,12.398620897625388
1985Q4,8337,263892,272229,9.028458718410613,12.483295207518848,12.514398902833925
1986Q1,7903,260393,268296,8.974997713204976,12.4699473072348,12.499846127618271
1986Q2,9162,263385,272547,9.122819774446688,12.481372119061541,12.515566355277198
1986Q3,7732,249977,257709,8.953122840328222,12.429124192612123,12.459586320361232
1986Q4,10625,277130,287755,9.270964993792617,12.532241989155489,12.569864702627779
1987Q1,9245,274789,284034,9.131838143821225,12.523758809417064,12.556849228287538
1987Q2,11657,279104,290761,9.363662136919832,12.539339751202439,12.580256902855279
1987Q3,8656,257575,266231,9.066008001086264,12.459066218813268,12.492119631957072
1987Q4,12353,287392,299745,9.421654227536814,12.568602416470677,12.610687392183499
1988Q1,10979,289950,300929,9.303739636234733,12.577463773304586,12.614629635508186
1988Q2,11960,282799,294759,9.389323027504624,12.55249167693041,12.593913352284599
1988Q3,9797,263606,273403,9.189831495344642,12.482210843111687,12.518702176145215
1988Q4,12728,290810,303538,9.451559570017622,12.580425411945711,12.623262087574888
1989Q1,10710,288602,299312,9.278933163441794,12.572803855304825,12.609241786588687
1989Q2,11887,290262,302149,9.383200644980624,12.578539242374763,12.618675552169798
1989Q3,9493,266580,276073,9.158309963881798,12.49342966515801,12.528420602480868
1989Q4,12720,295945,308665,9.450930836894113,12.59792890523042,12.640011825377595
1990Q1,10425,282870,293295,9.251962046667002,12.552742707127832,12.588934207428485
1990Q2,10901,288663,299564,9.296609807128359,12.573015196717268,12.610083363191766
1990Q3,8332,264335,272667,9.027858802380862,12.484972517099237,12.516006549409914
1990Q4,10533,285961,296494,9.262268464836541,12.56361071686726,12.599782261127475
1991Q1,8969,280378,289347,9.101529466118004,12.543893971720681,12.57538193888188
1991Q2,10912,283413,294325,9.297618380083243,12.554660476746282,12.592439877946397
1991Q3,8212,264048,272260,9.013351778138825,12.48388618378335,12.514512771066464
1991Q4,11029,289022,300051,9.308283446306147,12.574258088764715,12.611707739189976
1992Q1,8560,273899,282459,9.054855469135788,12.520514704276998,12.551288686292494
1992Q2,9026,283521,292547,9.107864580386947,12.555041473480669,12.58638061650648
1992Q3,6951,261319,268270,8.846640813100485,12.473497162221511,12.499749215029622
1992Q4,8745,288864,297609,9.076237387452702,12.573711268097881,12.60353582341928
1993Q1,7046,262868,269914,8.860215358901183,12.47940728402468,12.505858668724196
1993Q2,7267,275448,282715,8.891098830616636,12.526154142028615,12.552194602054747
1993Q3,6610,270179,276789,8.796338932845732,12.50683998128061,12.531010762051608
1993Q4,8690,308780,317470,9.069928218259438,12.640384328195918,12.668138604661618
1994Q1,7093,277801,284894,8.866863661202087,12.534660309007924,12.559872460243174
1994Q2,7963,279941,287904,8.982561092257445,12.542334145662299,12.570382370216846
1994Q3,6759,276499,283258,8.818630229100354,12.529962483301459,12.554113422092469
1994Q4,9356,308865,318221,9.143773127704069,12.640659567210356,12.670501388936955
1995Q1,8348,277180,285528,9.029777268197092,12.532422393622793,12.562095376824471
1995Q2,8619,286828,295447,9.061724347647399,12.566638011951964,12.596244742719898
1995Q3,7546,279928,287474,8.928772900524256,12.54228770622735,12.568887700347462
1995Q4,9858,312038,321896,9.196038587265322,12.65088025424702,12.68198379099037
1996Q1,7919,287865,295784,8.977020214210413,12.570246899220457,12.59738473719413
1996Q2,8912,291175,300087,9.095153962167066,12.581679739970852,12.611827711596465
1996Q3,8344,285215,293559,9.029297996680608,12.560998560809633,12.589833920194552
1996Q4,10757,314901,325658,9.283311984432006,12.66001358269538,12.693603029924914
1997Q1,9680,289874,299554,9.177817180270623,12.577201624789053,12.610049980786293
1997Q2,11745,301422,313167,9.371182897093012,12.616266555211425,12.654491873562936
1997Q3,9895,285727,295622,9.199784858036667,12.56279208847881,12.5968368901853
1997Q4,12899,322901,335800,9.464905067965136,12.685101053675606,12.724271023625578
1998Q1,11225,293072,304297,9.325898712610455,12.588173591599999,12.625759477144385
1998Q2,12748,308649,321397,9.453129675537227,12.639959987901031,12.680432398078949
1998Q3,11750,297739,309489,9.371608519572305,12.603972542790357,12.642677829279709
1998Q4,15159,336468,351627,9.626349693960018,12.726258326962487,12.770326233653693
1999Q1,13177,307530,320707,9.486228164545253,12.636327922445556,12.67828321269592
1999Q2,15580,317013,332593,9.65374331942474,12.666698061482276,12.714674799217624
1999Q3,12867,310275,323142,9.46242117318499,12.645214279997722,12.685847134079477
1999Q4,18742,352671,371413,9.838522273683768,12.773290889991378,12.825069929980677
2000Q1,15262,325952,341214,9.633121357849578,12.694505410244277,12.740265125410875
2000Q2,18019,335515,353534,9.799182035726814,12.72342194378341,12.77573494074034
2000Q3,15911,325205,341116,9.674765972907856,12.692211031691347,12.739977874372013
2000Q4,18935,361757,380692,9.848767340335895,12.798727994686612,12.84974592822807
2001Q1,15386,336956,352342,9.64121328401888,12.727707637012085,12.77235757380038
2001Q2,17228,344652,361880,9.754291246174,12.750290491285499,12.799067944139678
2001Q3,16013,333530,349543,9.681156171322476,12.717488095314593,12.764381865992224
2001Q4,18323,368434,386757,9.815912380280174,12.817016870092795,12.865551867819029
2002Q1,15812,341609,357421,9.668524424416576,12.741422087153701,12.78666963767576
2002Q2,18715,351286,370001,9.83708062033853,12.769355985481441,12.821260987319457
2002Q3,17176,342224,359400,9.751268339558617,12.74322077240524,12.792191253331596
2002Q4,20035,380282,400317,9.905236023070245,12.84866836174177,12.900012012227807
