quarter,kix_nominal_index,kix_nominal_log
1995Q1,120.8392559375,4.794461199080613
1995Q2,124.49403491525423,4.8242578024296545
1995Q3,120.68354384615385,4.793171779505653
1995Q4,112.0517665079365,4.71896096547685
1996Q1,110.8601746875,4.708269719739109
1996Q2,107.85092881355932,4.680749984884862
1996Q3,107.29805227272728,4.675610497307196
1996Q4,106.95927048387097,4.672448112312977
1997Q1,111.720484,4.7160000733268115
1997Q2,114.02522393442624,4.736419686502226
1997Q3,112.01312106060607,4.718616016760136
1997Q4,110.57815596774194,4.705722564769131
1998Q1,112.15874112903225,4.719915199338058
1998Q2,109.73136627118645,4.698035254134401
1998Q3,112.67759803030303,4.7245306260459925
1998Q4,116.33530079365079,4.756476545657645
1999Q1,112.60407,4.723877860700664
1999Q2,113.89259366666667,4.735255843463306
1999Q3,111.8704443939394,4.717341455264817
1999Q4,111.82558328125,4.716940365323641
2000Q1,111.6028340625,4.714946444450036
2000Q2,110.07917627118644,4.701199891155459
2000Q3,112.66117615384616,4.724384873265136
2000Q4,116.42530507936507,4.757249909258953
2001Q1,118.364590625,4.773769612053621
2001Q2,121.35336508474576,4.798706662193946
2001Q3,124.15090846153846,4.8214978293783775
2001Q4,124.87626193548387,4.827323342507117
2002Q1,121.44885290322581,4.799493210391027
2002Q2,120.27953233333334,4.7898184699628965
2002Q3,118.89360727272727,4.778229036672907
2002Q4,116.3967706451613,4.757004791314206
2003Q1,114.8050114516129,4.743235136692363
2003Q2,112.25855881355932,4.720804771497915
2003Q3,112.7707990909091,4.725357432242936
2003Q4,109.67934564516129,4.697561069200169
2004Q1,110.47271301587301,4.704768549430026
2004Q2,111.28819133333333,4.712123155018725
2004Q3,111.0107559090909,4.709627096699725
2004Q4,108.05755046875,4.682663959907557
2005Q1,108.79818950819673,4.6894946937337245
2005Q2,111.6967164516129,4.7157873095071166
2005Q3,114.78534363636363,4.743063807062336
2005Q4,116.78755609375,4.76035652442507
2006Q1,114.99801328125,4.744914852398804
2006Q2,113.08736610169491,4.728160671327239
2006Q3,111.64819984615384,4.715352854969029
2006Q4,110.39724206349206,4.704085152222008
2007Q1,110.63932609375,4.706275596355939
2007Q2,111.11430050847457,4.71055940581022
2007Q3,111.16414646153846,4.711007905919691
2007Q4,110.30183177419354,4.703220533321863
2008Q1,110.56542870967742,4.705607460746582
2008Q2,108.6406341935484,4.688045501362828
2008Q3,110.96362954545455,4.7092024858668315
2008Q4,120.50264838709677,4.791671731005346
2009Q1,126.99509645161291,4.844148475095961
2009Q2,124.9839665,4.8281854610752575
2009Q3,120.42345121212121,4.791014291417357
2009Q4,119.10195968253969,4.77997993031942
2010Q1,117.05309580645161,4.762627642168551
2010Q2,116.36867344262295,4.756763370575961
2010Q3,113.3386706060606,4.730380421416117
2010Q4,110.1544628125,4.701883588201555
2011Q1,106.25668142857143,4.665857689861022
2011Q2,106.80394483333333,4.670994862485651
2011Q3,108.81056318181818,4.689608417777283
2011Q4,108.52493750000001,4.686979985281322
2012Q1,107.25021078125,4.675164523132535
2012Q2,108.37647338983051,4.685611030300844
2012Q3,103.83416338461538,4.642795043600788
