"Model","Pct_Stable","Median_Rho","P95_Rho","Max_Rho"
"Model 1",23.475,1.00241497321562,1.02387971018368,1.08477258159036
"Model 2",8.325,1.00589631157597,1.02432432805988,1.06480265282549
"Model 3",15.75,1.00507887668082,1.02858772075348,1.09107743716518
"Model 4",13.575,1.00567021683254,1.02861027925127,1.06193052368445
"Model 5",6.6,1.00653890661406,1.02493739001088,1.0642285221836
