varaktighet,kvartal,"Fasta priser, referensår 2025, mnkr"
1110 varaktiga varor,1983K4,8663
1110 varaktiga varor,1984K1,6982
1110 varaktiga varor,1984K2,7437
1110 varaktiga varor,1984K3,6095
1110 varaktiga varor,1984K4,8403
1110 varaktiga varor,1985K1,7405
1110 varaktiga varor,1985K2,8380
1110 varaktiga varor,1985K3,6320
1110 varaktiga varor,1985K4,8337
1110 varaktiga varor,1986K1,7903
1110 varaktiga varor,1986K2,9162
1110 varaktiga varor,1986K3,7732
1110 varaktiga varor,1986K4,10625
1110 varaktiga varor,1987K1,9245
1110 varaktiga varor,1987K2,11657
1110 varaktiga varor,1987K3,8656
1110 varaktiga varor,1987K4,12353
1110 varaktiga varor,1988K1,10979
1110 varaktiga varor,1988K2,11960
1110 varaktiga varor,1988K3,9797
1110 varaktiga varor,1988K4,12728
1110 varaktiga varor,1989K1,10710
1110 varaktiga varor,1989K2,11887
1110 varaktiga varor,1989K3,9493
1110 varaktiga varor,1989K4,12720
1110 varaktiga varor,1990K1,10425
1110 varaktiga varor,1990K2,10901
1110 varaktiga varor,1990K3,8332
1110 varaktiga varor,1990K4,10533
1110 varaktiga varor,1991K1,8969
1110 varaktiga varor,1991K2,10912
1110 varaktiga varor,1991K3,8212
1110 varaktiga varor,1991K4,11029
1110 varaktiga varor,1992K1,8560
1110 varaktiga varor,1992K2,9026
1110 varaktiga varor,1992K3,6951
1110 varaktiga varor,1992K4,8745
1110 varaktiga varor,1993K1,7046
1110 varaktiga varor,1993K2,7267
1110 varaktiga varor,1993K3,6610
1110 varaktiga varor,1993K4,8690
1110 varaktiga varor,1994K1,7093
1110 varaktiga varor,1994K2,7963
1110 varaktiga varor,1994K3,6759
1110 varaktiga varor,1994K4,9356
1110 varaktiga varor,1995K1,8348
1110 varaktiga varor,1995K2,8619
1110 varaktiga varor,1995K3,7546
1110 varaktiga varor,1995K4,9858
1110 varaktiga varor,1996K1,7919
1110 varaktiga varor,1996K2,8912
1110 varaktiga varor,1996K3,8344
1110 varaktiga varor,1996K4,10757
1110 varaktiga varor,1997K1,9680
1110 varaktiga varor,1997K2,11745
1110 varaktiga varor,1997K3,9895
1110 varaktiga varor,1997K4,12899
1110 varaktiga varor,1998K1,11225
1110 varaktiga varor,1998K2,12748
1110 varaktiga varor,1998K3,11750
1110 varaktiga varor,1998K4,15159
1110 varaktiga varor,1999K1,13177
1110 varaktiga varor,1999K2,15580
1110 varaktiga varor,1999K3,12867
1110 varaktiga varor,1999K4,18742
1110 varaktiga varor,2000K1,15262
1110 varaktiga varor,2000K2,18019
1110 varaktiga varor,2000K3,15911
1110 varaktiga varor,2000K4,18935
1110 varaktiga varor,2001K1,15386
1110 varaktiga varor,2001K2,17228
1110 varaktiga varor,2001K3,16013
1110 varaktiga varor,2001K4,18323
1110 varaktiga varor,2002K1,15812
1110 varaktiga varor,2002K2,18715
1110 varaktiga varor,2002K3,17176
1110 varaktiga varor,2002K4,20035
1110 varaktiga varor,2003K1,16928
1110 varaktiga varor,2003K2,20186
1110 varaktiga varor,2003K3,19136
1110 varaktiga varor,2003K4,22113
1110 varaktiga varor,2004K1,19234
1110 varaktiga varor,2004K2,22502
1110 varaktiga varor,2004K3,21258
1110 varaktiga varor,2004K4,24118
1110 varaktiga varor,2005K1,20481
1110 varaktiga varor,2005K2,25501
1110 varaktiga varor,2005K3,24274
1110 varaktiga varor,2005K4,27799
1110 varaktiga varor,2006K1,21765
1110 varaktiga varor,2006K2,27175
1110 varaktiga varor,2006K3,25636
1110 varaktiga varor,2006K4,30153
1110 varaktiga varor,2007K1,24854
1110 varaktiga varor,2007K2,30145
1110 varaktiga varor,2007K3,28685
1110 varaktiga varor,2007K4,33448
1110 varaktiga varor,2008K1,25062
1110 varaktiga varor,2008K2,30698
1110 varaktiga varor,2008K3,27007
1110 varaktiga varor,2008K4,28657
1110 varaktiga varor,2009K1,22239
1110 varaktiga varor,2009K2,28009
1110 varaktiga varor,2009K3,27389
1110 varaktiga varor,2009K4,31038
1110 varaktiga varor,2010K1,24979
1110 varaktiga varor,2010K2,32449
1110 varaktiga varor,2010K3,31700
1110 varaktiga varor,2010K4,35758
1110 varaktiga varor,2011K1,28842
1110 varaktiga varor,2011K2,35598
1110 varaktiga varor,2011K3,32550
1110 varaktiga varor,2011K4,37627
1110 varaktiga varor,2012K1,29942
1110 varaktiga varor,2012K2,35534
1110 varaktiga varor,2012K3,33151
1110 varaktiga varor,2012K4,37603
1110 varaktiga varor,2013K1,29178
1110 varaktiga varor,2013K2,36433
1110 varaktiga varor,2013K3,34920
1110 varaktiga varor,2013K4,41488
1110 varaktiga varor,2014K1,33457
1110 varaktiga varor,2014K2,41814
1110 varaktiga varor,2014K3,38764
1110 varaktiga varor,2014K4,46080
1110 varaktiga varor,2015K1,37952
1110 varaktiga varor,2015K2,47391
1110 varaktiga varor,2015K3,44624
1110 varaktiga varor,2015K4,53497
1110 varaktiga varor,2016K1,41343
1110 varaktiga varor,2016K2,52890
1110 varaktiga varor,2016K3,46925
1110 varaktiga varor,2016K4,56401
1110 varaktiga varor,2017K1,45970
1110 varaktiga varor,2017K2,55353
1110 varaktiga varor,2017K3,49795
1110 varaktiga varor,2017K4,59303
1110 varaktiga varor,2018K1,46560
1110 varaktiga varor,2018K2,61802
1110 varaktiga varor,2018K3,50039
1110 varaktiga varor,2018K4,58679
1110 varaktiga varor,2019K1,45172
1110 varaktiga varor,2019K2,58165
1110 varaktiga varor,2019K3,54631
1110 varaktiga varor,2019K4,66711
1110 varaktiga varor,2020K1,47493
1110 varaktiga varor,2020K2,55637
1110 varaktiga varor,2020K3,59280
1110 varaktiga varor,2020K4,69887
1110 varaktiga varor,2021K1,61880
1110 varaktiga varor,2021K2,72074
1110 varaktiga varor,2021K3,65840
1110 varaktiga varor,2021K4,75683
1110 varaktiga varor,2022K1,61931
1110 varaktiga varor,2022K2,71476
1110 varaktiga varor,2022K3,63423
1110 varaktiga varor,2022K4,72628
1110 varaktiga varor,2023K1,51194
1110 varaktiga varor,2023K2,64696
1110 varaktiga varor,2023K3,58937
1110 varaktiga varor,2023K4,69392
1110 varaktiga varor,2024K1,49975
1110 varaktiga varor,2024K2,63653
