country,iso_code,19954,19961,19962,19963,19964,19971,19972,19973,19974,19981,19982,19983,19984,19991,19992,19993,19994,20001,20002,20003,20004,20011,20012,20013,20014,20021,20022,20023,20024,20031,20032,20033,20034,20041,20042,20043,20044,20051,20052,20053,20054,20061,20062,20063,20064,20071,20072,20073,20074,20081,20082,20083,20084,20091,20092,20093,20094,20101,20102,20103,20104,20111,20112,20113,20114,20121,20122,20123,20124,20131,20132,20133,20134,20141,20142,20143,20144,20151,20152,20153,20154,20161,20162,20163,20164,20171,20172,20173,20174,20181,20182,20183,20184,20191,20192,20193,20194,20201,20202,20203,20204,20211,20212,20213,20214,20221,20222,20223,20224,20231,20232,20233,20234,20241,20242,20243,20244
Danmark,DNK,68.41976,68.75595,69.45151,69.59062,70.04273,70.2514,70.8774,71.23678,71.53819,71.68889,72.28011,72.43082,72.74382,73.13797,73.92627,74.34361,74.95802,75.42929,76.29337,76.36961,76.8779,77.23333,78.23333,78.2,78.43333,79.16666,80,80,80.5,81.33334,81.83334,81.46667,81.66666,82.1,82.73333,82.43333,82.8,83.1,84.13333,84.3,84.53333,84.83334,85.83334,85.9,85.96667,86.43333,87.2,86.86667,87.83334,89.06667,90.26667,90.5,90.4,90.63333,91.36667,91.4,91.53333,92.53333,93.36667,93.56667,93.9,95.03333,96.2,96.1,96.33334,97.6,98.3,98.46667,98.5,98.73333,99.13333,98.96667,99.13333,99.33334,99.73333,99.53333,99.6,99.6,100.3333,100.1333,99.93333,99.9,100.4667,100.3,100.3333,100.8667,101.3,101.8333,101.6,101.4667,102.3,102.7333,102.4,102.6667,103.0667,103.1667,103.1,103.3,103.1667,103.7,103.5667,104.0333,104.8667,105.6667,106.8333,109.0667,112.6667,115.4,116.7,117.0667,116.6667,117.8667,117.2333,118.2,118.5,119.3333,119.2333
Spanien,ESP,63.33651,64.1092,64.81461,65.1148,65.43839,65.74039,65.83435,66.28908,66.72767,66.95367,67.161,67.60448,67.72582,68.20649,68.67664,69.22369,69.56325,70.19773,70.8587,71.73405,72.34477,72.85828,73.79041,74.34708,74.37537,74.68203,76.3178,76.12118,77.30519,77.48504,78.4999,78.33504,79.3574,79.18433,81.0135,80.9268,82.08618,81.76538,83.62239,83.70803,85.00338,85.04977,86.92141,86.66556,87.20795,87.11018,88.99646,88.71562,90.66042,90.92734,93.09088,93.06697,92.88463,91.35234,92.46248,92.07245,93.01773,92.35043,93.93232,93.8713,95.39074,95.5688,97.21314,96.74853,98.01711,97.43903,99.12475,99.41737,101.0464,99.99295,100.833,100.6181,101.1759,100.0044,101.0542,100.2866,100.6663,98.98558,100.7976,99.87412,100.3427,98.33434,99.84486,99.69035,101.3201,101.0321,101.8393,101.339,102.7878,101.9956,103.6741,103.6003,104.5452,103.1542,104.6255,103.9239,105.0062,103.7755,103.9368,103.4012,104.2515,104.3911,106.5974,106.9139,110.3104,112.597,116.2968,117.6688,117.5796,118.2873,119.8445,120.9846,121.4211,121.9995,123.9889,123.6021,124.2779
Finland,FIN,73.39349,73.74883,74.0723,74.06005,74.0282,74.12132,74.80014,75.13342,75.38338,75.51082,75.98624,76.03525,76.09651,76.02544,76.88071,76.90276,77.34878,78.1027,79.01795,79.40569,79.97541,80.30511,81.48677,81.41555,81.45512,81.88241,82.61831,82.5128,82.75019,83.20123,83.33311,82.98758,83.13528,83.1432,83.18539,83.31992,83.63116,83.56026,83.867679999999993,83.867679999999993,84.0633,84.28687,85.18116,85.34884,85.79598,86.27108,87.27715,87.47278,88.1435,89.56877,90.82637,91.46914,91.49709,91.022,91.022,90.77048,90.54691,91.16917,91.87082,91.74213,92.88194,94.10754,94.94707,95.25654,95.91529,97.00301,97.79353,97.90689,98.20103,98.63306,99.26424,99.22134,99.56451,99.93832,100.1804,100.3152,100.3795,99.81667,100.0567,99.97667,100.13,99.78333,100.3667,100.41,100.8467,100.7467,101.14,101.0933,101.4533,101.4867,102.13,102.4033,102.7967,102.66,103.3733,103.3733,103.5967,103.4933,103.1933,103.7033,103.8133,104.5767,105.3467,105.9867,107.3833,109.7033,112.5433,114.2967,116.9033,118.9067,120.42,121.0033,121.46,122.2367,122.29,122.2133,122.5933
Frankrike,FRA,75.81333,76.32667,76.91666,76.74667,77.05666,77.43667,77.62666,77.73,77.95,78.01667,78.39333,78.20333,78.15334,78.21667,78.69334,78.61,78.92667,79.36,79.81333,80.10667,80.43667,80.39667,81.45,81.53,81.56667,82.12666,82.77333,82.97667,83.31667,84.07,84.35667,84.58,85.13667,85.58334,86.37334,86.51334,86.91666,87.05666,87.84333,88.14,88.37666,88.61,89.52333,89.63333,89.53667,89.64,90.57333,90.77,91.63667,92.28333,93.56667,93.72,93.25,92.86,93.37334,93.32333,93.59,94.09,94.88,94.76334,95.12666,95.78,96.84,96.79,97.45,97.99667,98.77666,98.70333,98.94334,99.03667,99.57333,99.63,99.58667,99.75667,100.2,100.0267,99.86333,99.51667,100.4133,100.11,99.95667,99.47667,100.4067,100.39,100.4567,100.7033,101.2967,101.2633,101.6033,102.0733,103.2167,103.54,103.53,103.32,104.3767,104.58,104.6533,104.5533,104.6867,104.9433,104.7333,105.33,106.1333,106.7533,107.58,109.1833,111.7467,112.9967,114.1067,115.7233,117.53,118.2867,118.35,118.9567,120.1267,120.3467,119.8533
Storbritannien,GBR,67.2,67.7,68.5,68.7,69.2,69.3,70,70.2,70.6,70.6,71.4,71.4,71.8,72,72.7,72.6,72.9,72.8,73.5,73.5,73.9,73.7,74.8,74.8,74.9,75,75.7,75.8,76.2,76.1,76.8,76.8,77.1,77.2,77.8,77.8,78.3,78.5,79.3,79.7,80.1,80.2,81.2,81.7,82.3,82.4,83.3,83.3,84.1,84.5,86.1,87.1,87.2,87,87.8,88.2,88.6,89.1,90,90.3,91.1,92.2,93.4,93.9,94.7,95.1,95.8,96.1,97,97.4,98.1,98.4,98.9,99,99.7,99.8,100,99.4,100,100.2,100.4,100.1,100.8,101.2,101.9,102.3,103.4,103.9,104.7,104.8,105.8,106.3,106.9,106.7,107.8,108.2,108.4,108.5,108.7,109.1,109.3,109.5,110.9,112,114.1,115.5,119.7,121.8,124.8,125.9,128.9,129.5,130.3,130.8,132.7,133.3,134.7
Grekland,GRC,58.35469,59.43225,61.48615,61.13053,62.78377,63.25639,64.93122,64.37062,65.82841,66.04871,68.35679,67.6662,68.63024,68.42229,70.01154,69.03955,70.36598,70.40395,71.88553,71.08234,73.22277,72.73863,74.53498,73.76296,75.2276,75.61907,77.15078,76.32156,77.92527,78.53033,79.98159,78.92774,80.41671,80.66406,82.29213,81.15906,82.9553,83.35621,85.01805,84.30032,85.99086,86.0743,87.74995,87.19526,88.46949,88.37951,90.02705,89.51261,91.68755,92.14046,94.30495,93.74638,94.34866,93.5667,94.92738,94.38914,96.18944,96.40237,99.82884,99.61246,101.0946,100.9284,103.3408,101.9811,103.9055,102.9758,104.9242,103.331,105.0834,102.9977,104.4253,102.2677,102.7883,101.6344,102.8938,101.6459,100.8922,99.21585,100.6946,99.81238,100.2772,98.30192,99.74159,98.82722,99.82664,99.68154,101.0217,99.78164,100.6605,99.56464,101.5648,100.7509,101.7747,100.2305,101.8919,100.6844,101.8695,100.5918,100.4829,98.7712,99.78009,98.95838,100.7754,100.5644,104.2186,106.3252,112.0623,112.3058,112.8401,112.5772,114.8883,114.861,116.5745,116.0603,117.8432,118.1611,119.4172
Ungern,HUN,27.77021,30.01923,31.63319,32.35698,33.41355,35.67366,37.42073,38.19167,39.46176,41.7496,43.14726,43.28592,43.90156,45.7041,47.07957,47.87269,48.63253,50.20972,51.39403,52.57834,53.66395,55.36639,56.79744,57.14286,57.48828,58.79595,59.90624,59.75821,60.27634,61.53466,62.25019,62.57093,63.50851,65.72909,66.8147,66.93807,67.23415,68.07303,69.30669,69.38071,69.45473,69.80015,71.13249,72.24278,73.89588,75.74636,77.25142,77.76955,79.15125,80.97705,82.48211,82.6795,82.50678,83.41969,85.44288,86.82458,86.7999,88.42832,90.0074,90.13077,90.55021,92.15396,93.63435,93.19023,94.25117,97.31063,98.76634,98.91438,99.33382,100.1727,100.5428,100.3701,100.074,100.1974,100.3701,100.2961,99.38317,99.13644,100.6168,100.3454,99.90131,99.48186,100.5675,100.3948,101.135,102.0725,102.6598,102.8226,103.4542,104.0957,105.4528,106.3657,106.8098,107.3773,109.4004,109.6225,110.4367,112.0158,112.1145,113.6936,113.5455,115.544,117.9373,119.3684,121.5889,125.0678,130.4219,139.0328,149.2228,156.8468,158.8947,160.375,160.7451,162.645,164.9149,165.9758,166.9134
Indien,IND,26.45039,26.25691,27.22428,28.35747,28.88261,29.04844,29.32483,29.79469,30.48566,31.67413,32.3651,34.38274,35.93052,34.52094,34.65913,35.3501,36.09635,35.79232,36.48329,36.81496,37.17426,36.8426,37.47829,38.52857,38.94315,38.72204,39.16426,40.07634,40.35273,40.1869,41.01606,41.43065,41.70704,41.78995,42.12162,43.17189,43.44828,43.558839999999996,43.80759,44.77495,45.63176,45.5212,46.41377,47.56136,48.58145,48.70896,49.34651,50.74912,51.25916,51.76921,53.17182,55.3395,56.48709,56.6146,57.8897,61.842529999999996,64.0102,65.2853,65.79535,68.21804,69.87568,71.15078,71.66082,74.46605,75.74116,76.2512,78.92891,81.73414,83.39178,85.17692,87.3446,90.53236,92.18999,91.0424,93.33759,96.65285,96.78036,97.03539,98.82053,101.1157,103.0284,102.5183,104.941,106.4712,105.8336,104.941,106.4712,109.0214,109.7864,109.9139,110.679,115.1419,115.3969,117.6921,120.1148,122.5375,125.3427,125.4702,126.3628,129.3146,131.5501,131.036,133.0926,135.5532,138.0872,138.124,141.7231,143.743,145.9098,146.4606,148.8478,152.9243,152.8876,153.1446,154.5035,157.4048,158.9105
Irland,IRL,66.32404,66.61925,66.91446,67.20967,67.6086,67.61924,68.02174,68.14249,68.70598,68.86697,69.83296,70.15496,70.19521,69.87321,70.75871,71.12095,71.84544,72.89193,74.46166,75.50815,76.55464,76.75589,78.48662,79.00986,79.69411,80.37835,82.10908,82.47132,83.51781,84.36305,85.20829,85.00704,85.36929,85.73154,86.73778,87.22077,87.66351,87.62326,88.75025,89.47475,90.03824,90.44073,92.17146,93.2582,94.02294,94.94868,96.80016,97.68565,98.53089,99.41638,101.2276,101.9521,101.0264,98.00764,96.67941,95.75367,95.23043,94.70718,95.39143,95.91467,96.11592,96.84041,98.08815,98.24915,98.69189,98.93339,99.85912,99.97987,99.73838,99.89938,100.3824,100.3019,99.97987,99.97987,100.7446,100.6641,99.93963,99.37613,100.3019,100.4629,99.85912,99.25539,100.4629,100.5836,99.77863,99.81888,100.7044,100.7849,100.2214,100.0604,100.8654,101.5496,100.9459,100.9056,102.0326,102.2741,101.9924,101.9521,101.7509,101.3484,100.8251,101.7106,103.1998,104.3268,106.1381,107.587,111.451,113.383,115.476,116.1602,118.8569,120.4266,120.6681,120.1852,121.7951,122.2781,121.9159
Island,ISL,40.76532,40.946,41.22398,41.54366,41.65485,41.69654,41.98842,42.2386,42.44708,42.61386,42.87794,42.73896,42.93354,43.19762,43.80917,44.49021,45.19905,45.68551,46.32486,46.60284,47.15879,47.42287,48.92394,50.26456,51.05948,51.73613,51.90245,52.00089,52.30439,52.61801,52.98241,53.0102,53.60785,53.74684,54.65027,54.90045,55.62319,56.09575,56.47102,57.05477,58.02769,58.51415,60.44609,61.72861,62.18344,62.43362,63.23976,64.07368,65.39407,66.89526,71.00196,73.07423,76.55833,78.32351,79.4588,81.11773,83.14228,84.1553,85.13628,84.65028,85.48022,85.84425,88.09686,89.09985,89.96149,91.36514,93.16946,92.94028,93.83392,95.31745,96.27685,96.68162,97.41098,97.67833,98.52334,98.73718,98.63387,98.72462,100.0365,100.6913,100.5475,100.64,101.6597,102.01,102.478,102.4847,103.4283,103.6902,104.3457,105.0009,105.8009,106.4809,107.7722,108.2566,109.401,109.7537,110.4545,110.5187,112.1338,113.312,114.3714,115.1928,117.0812,118.179,119.8969,122.3135,126.3089,129.6031,131.2046,134.5226,138.1897,139.6714,141.5518,143.5193,146.5123,147.9107,148.4363
