region,quarter,Index
Greater Malmö,2005K4,579
Greater Malmö,2006K1,608
Greater Malmö,2006K2,627
Greater Malmö,2006K3,665
Greater Malmö,2006K4,675
Greater Malmö,2007K1,681
Greater Malmö,2007K2,701
Greater Malmö,2007K3,739
Greater Malmö,2007K4,736
Greater Malmö,2008K1,709
Greater Malmö,2008K2,709
Greater Malmö,2008K3,721
Greater Malmö,2008K4,689
Greater Malmö,2009K1,677
Greater Malmö,2009K2,704
Greater Malmö,2009K3,719
Greater Malmö,2009K4,749
Greater Malmö,2010K1,762
Greater Malmö,2010K2,772
Greater Malmö,2010K3,781
Greater Malmö,2010K4,784
Greater Malmö,2011K1,788
Greater Malmö,2011K2,780
Greater Malmö,2011K3,768
Greater Malmö,2011K4,745
Greater Malmö,2012K1,733
Greater Malmö,2012K2,715
Greater Malmö,2012K3,747
Greater Malmö,2012K4,735
Greater Malmö,2013K1,730
Greater Malmö,2013K2,740
Greater Malmö,2013K3,753
Greater Malmö,2013K4,756
Greater Malmö,2014K1,754
Greater Malmö,2014K2,767
Greater Malmö,2014K3,788
Greater Malmö,2014K4,791
Greater Malmö,2015K1,814
Greater Malmö,2015K2,848
Greater Malmö,2015K3,845
Greater Malmö,2015K4,876
Greater Malmö,2016K1,933
Greater Malmö,2016K2,947
Greater Malmö,2016K3,962
Greater Malmö,2016K4,980
Greater Malmö,2017K1,1002
Greater Malmö,2017K2,1030
Greater Malmö,2017K3,1080
Greater Malmö,2017K4,1083
Greater Malmö,2018K1,1078
Greater Malmö,2018K2,1069
Greater Malmö,2018K3,1092
Greater Malmö,2018K4,1092
Greater Malmö,2019K1,1090
Greater Malmö,2019K2,1117
Greater Malmö,2019K3,1143
Greater Malmö,2019K4,1148
Greater Malmö,2020K1,1174
Greater Malmö,2020K2,1188
Greater Malmö,2020K3,1239
Greater Malmö,2020K4,1281
Greater Malmö,2021K1,1338
Greater Malmö,2021K2,1423
Greater Malmö,2021K3,1515
Greater Malmö,2021K4,1513
Greater Malmö,2022K1,1504
Greater Malmö,2022K2,1555
Greater Malmö,2022K3,1516
Greater Malmö,2022K4,1428
Greater Malmö,2023K1,1334
Greater Malmö,2023K2,1311
Greater Malmö,2023K3,1326
Greater Malmö,2023K4,1312
Greater Malmö,2024K1,1315
Greater Malmö,2024K2,1335
Greater Malmö,2024K3,1365
Greater Malmö,2024K4,1403
Greater Malmö,2025K1,1365
Greater Malmö,2025K2,1343
Greater Malmö,2025K3,1426
Greater Malmö,2025K4,1402
Greater Malmö,2026K1,1447
Stockholm production county,1986K1,117
Stockholm production county,1986K2,118
Stockholm production county,1986K3,123
Stockholm production county,1986K4,131
Stockholm production county,1987K1,136
Stockholm production county,1987K2,142
Stockholm production county,1987K3,150
Stockholm production county,1987K4,158
Stockholm production county,1988K1,169
Stockholm production county,1988K2,182
Stockholm production county,1988K3,196
Stockholm production county,1988K4,197
Stockholm production county,1989K1,210
Stockholm production county,1989K2,222
Stockholm production county,1989K3,228
Stockholm production county,1989K4,227
Stockholm production county,1990K1,238
Stockholm production county,1990K2,249
Stockholm production county,1990K3,251
Stockholm production county,1990K4,249
Stockholm production county,1991K1,256
Stockholm production county,1991K2,256
Stockholm production county,1991K3,253
Stockholm production county,1991K4,246
Stockholm production county,1992K1,233
Stockholm production county,1992K2,233
Stockholm production county,1992K3,210
Stockholm production county,1992K4,194
Stockholm production county,1993K1,185
Stockholm production county,1993K2,181
Stockholm production county,1993K3,184
Stockholm production county,1993K4,184
Stockholm production county,1994K1,192
Stockholm production county,1994K2,203
Stockholm production county,1994K3,207
Stockholm production county,1994K4,203
Stockholm production county,1995K1,203
Stockholm production county,1995K2,206
Stockholm production county,1995K3,202
Stockholm production county,1995K4,203
Stockholm production county,1996K1,201
Stockholm production county,1996K2,202
Stockholm production county,1996K3,205
Stockholm production county,1996K4,209
Stockholm production county,1997K1,214
Stockholm production county,1997K2,228
Stockholm production county,1997K3,237
Stockholm production county,1997K4,237
Stockholm production county,1998K1,246
Stockholm production county,1998K2,263
Stockholm production county,1998K3,270
Stockholm production county,1998K4,276
Stockholm production county,1999K1,281
Stockholm production county,1999K2,299
Stockholm production county,1999K3,311
Stockholm production county,1999K4,315
Stockholm production county,2000K1,333
Stockholm production county,2000K2,359
Stockholm production county,2000K3,378
Stockholm production county,2000K4,388
Stockholm production county,2001K1,400
Stockholm production county,2001K2,406
Stockholm production county,2001K3,405
Stockholm production county,2001K4,398
Stockholm production county,2002K1,404
Stockholm production county,2002K2,426
Stockholm production county,2002K3,435
Stockholm production county,2002K4,435
Stockholm production county,2003K1,430
Stockholm production county,2003K2,437
Stockholm production county,2003K3,435
Stockholm production county,2003K4,439
Stockholm production county,2004K1,448
Stockholm production county,2004K2,467
Stockholm production county,2004K3,473
Stockholm production county,2004K4,477
Stockholm production county,2005K1,481
Stockholm production county,2005K2,492
Stockholm production county,2005K3,507
Stockholm production county,2005K4,520
Stockholm production county,2006K1,543
Stockholm production county,2006K2,559
Stockholm production county,2006K3,571
Stockholm production county,2006K4,580
