"","country","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"23","Slovakien",0,0,0.12,0.11,0.1,0.1,0.16,0.19,0.19,0.21,0.22,0.24,0.28,0.32,0.36,0.5,0.58,0.62,0.71,0.75,0.78,0.79,0.77,0.76,0.79,0.83,0.78,0.75,0.76,0.77,0.77,0.79
"24","Spanien",2.35,2.27,2.2,1.97,2.2,2.29,2.43,2.75,3.07,2.68,2.56,2.58,2.91,2.81,2.76,2.8,2.75,2.49,2.38,2.16,2.32,2.15,2.2,2.3,2.36,2.4,2.28,2.26,2.35,2.32,2.43,2.48
"25","Storbritannien",9.31,9.3,9.83,10.16,9.73,10.04,10.64,10.58,9.6,9.19,8.72,8.4,7.6,7.75,7.64,7.85,6.75,6.2,6.13,5.93,5.83,5.63,5.77,5.63,5.43,4.98,4.8,4.74,4.46,4.13,3.91,3.83
"26","Sydkorea",0.99,0.86,0.98,1.27,1.2,1.18,1.34,0.92,1.28,1.27,1.18,1.22,1.27,1.3,1.4,1.32,1.29,1.4,1.33,1.47,1.55,1.51,1.51,1.56,1.68,1.68,1.83,1.83,1.76,1.68,1.83,1.76
"27","Tjeckien",0,0,0.35,0.26,0.29,0.47,0.52,0.64,0.61,0.69,0.69,0.77,0.81,0.92,1.08,1.22,1.42,1.51,1.45,1.5,1.53,1.5,1.53,1.6,1.69,1.72,1.82,1.94,1.95,1.97,1.94,1.96
"28","Turkiet",0.39,0.44,0.58,0.4,0.51,0.64,0.76,0.8,0.98,0.88,0.56,0.66,0.83,0.89,0.91,1.05,1.1,1.18,1.36,1.09,1.14,1.16,1.16,1.18,1.2,1.19,1.22,1.17,1.2,1.25,1.25,1.29
"29","Tyskland",19.24,19.39,17.82,17.97,18.6,17.15,16.63,16.93,16.58,16.11,16.23,16.43,16.94,17.25,17.18,16.78,17.86,17.17,17.08,16.52,16.75,16.34,16.47,16.69,17.37,18.44,18.44,17.49,17.07,16.94,16.4,15.85
"30","Ungern",0.24,0.3,0.32,0.38,0.32,0.31,0.34,0.39,0.41,0.47,0.53,1.43,1.2,1.01,0.76,0.64,0.74,0.72,0.75,0.71,0.73,0.71,0.73,0.76,0.88,0.86,0.95,0.98,0.99,1.04,1,0.899999999999999
"31","USA",10.84,10.22,10.42,9.62,9.51,10.18,10.2,10.27,10.83,11.62,11.66,11.07,10.75,9.82,10.07,9.07,8.24,8.12,8.32,8.52,7.97,8.61,8.01,8.19,8.52,8.3,7.98,7.93,8.61,8.43,8.43,9.56999999999999
"32","Österrike",1.51,1.54,1.49,1.44,1.37,1.26,1.23,1.25,1.22,1.15,1.23,1.25,1.29,1.3,1.26,1.25,1.31,1.35,1.28,1.26,1.3,1.27,1.31,1.27,1.28,1.26,1.35,1.38,1.43,1.37,1.36,1.34
"33","Euroområdet**",53.19,52.94,50.79,50.59,52.08,50.58,49.76,51.44,51.19,49.28,49.44,49.04,49.83,50.29,49.35,49.63,50.95,49.57,48.64,46.99,47.44,46.3,47.35,47.03,47.63,49.09,48.94,47.7,46.57,46.41,46.11,45.68
