date,value
1995-12-01,108.31631
1995-12-04,108.31142
1995-12-05,108.33954
1995-12-06,108.92669
1995-12-07,109.06876
1995-12-08,110.09129
1995-12-11,110.88157
1995-12-12,111.31798
1995-12-13,111.06082
1995-12-14,110.43727
1995-12-15,109.9176
1995-12-18,109.31089
1995-12-19,110.13159
1995-12-20,109.91142
1995-12-21,110.37604
1995-12-22,110.21911
1995-12-27,110.34046
1995-12-28,110.95125
1995-12-29,110.88805
1996-01-02,110.22821
1996-01-03,109.77377
1996-01-04,109.6179
1996-01-05,109.65744
1996-01-08,109.82162
1996-01-09,109.46728
1996-01-10,109.23097
1996-01-11,109.47185
1996-01-12,109.28107
1996-01-15,108.93049
1996-01-16,108.88844
1996-01-17,109.20075
1996-01-18,109.31752
1996-01-19,109.62651
1996-01-22,110.09422000000001
1996-01-23,111.75022
1996-01-24,111.13348
1996-01-25,111.45357
1996-01-26,112.45861
1996-01-29,112.92954
1996-01-30,112.88378
1996-01-31,112.18751
1996-02-01,112.35464
1996-02-02,112.92997
1996-02-05,113.87107
1996-02-06,113.63375
1996-02-07,114.22723
1996-02-08,113.91616
1996-02-09,113.7663
1996-02-12,113.53139
1996-02-13,113.02094
1996-02-14,113.68764
1996-02-15,113.65977
1996-02-16,113.1132
1996-02-19,113.44103
1996-02-20,113.28425
1996-02-21,112.19893
1996-02-22,110.84218
1996-02-23,110.8625
1996-02-26,111.10331
1996-02-27,110.96113
1996-02-28,109.6947
1996-02-29,110.16808
1996-03-01,110.02281
1996-03-04,110.36503
1996-03-05,111.37159
1996-03-06,111.36772
1996-03-07,110.78315
1996-03-08,110.67307
1996-03-11,111.50961
1996-03-12,110.88216
1996-03-13,110.97361
1996-03-14,110.64202
1996-03-15,110.59968
1996-03-18,109.91578
1996-03-19,109.29194
1996-03-20,108.2498
1996-03-21,108.31441
1996-03-22,107.99858
1996-03-25,107.91078
1996-03-26,107.80011
1996-03-27,107.9342
1996-03-28,107.93608
1996-03-29,108.83613
1996-04-01,108.06784
1996-04-02,108.46992
1996-04-03,108.0551
1996-04-04,108.16305
1996-04-09,108.68386
1996-04-10,108.75302
1996-04-11,108.39277
1996-04-12,107.80851
1996-04-15,107.99864
1996-04-16,108.58294
1996-04-17,108.46384
1996-04-18,108.59564
1996-04-19,107.97895
1996-04-22,107.84876
1996-04-23,107.67123
1996-04-24,107.97947
1996-04-25,107.83876
1996-04-26,108.86624
1996-04-29,108.20703
1996-04-30,108.61292
1996-05-02,108.69496
1996-05-03,109.49069
1996-05-06,109.34844
1996-05-07,109.34078
1996-05-08,109.16136
1996-05-09,109.49066
1996-05-10,108.57877
1996-05-13,108.46473
1996-05-14,107.84597
1996-05-15,107.71242
1996-05-17,107.7834
1996-05-20,107.45918
1996-05-21,107.85906
1996-05-22,108.07058
1996-05-23,108.614
1996-05-24,108.71147
1996-05-28,108.0834
1996-05-29,108.00452
1996-05-30,108.14532
1996-05-31,107.75388
1996-06-03,107.82458
1996-06-04,107.13671
1996-06-05,106.98337
1996-06-06,107.76872
1996-06-07,107.42073
1996-06-10,107.51648
1996-06-11,107.73255
1996-06-12,106.79626
1996-06-13,107.02615
1996-06-14,107.07566
1996-06-17,107.01288
1996-06-18,107.0186
1996-06-19,106.08977
1996-06-20,106.3195
1996-06-24,106.16961
1996-06-25,105.95049
1996-06-26,105.63795
1996-06-27,105.79919
1996-06-28,106.27352
1996-07-01,106.40031
1996-07-02,106.53952
1996-07-03,107.33044
1996-07-04,106.31598
1996-07-05,106.55232
1996-07-08,106.82876
1996-07-09,107.13263
1996-07-10,106.8935
1996-07-11,106.65757
1996-07-12,107.40928
1996-07-15,107.6554
1996-07-16,108.08094
1996-07-17,108.08783
1996-07-18,107.74582
1996-07-19,107.42864
1996-07-22,107.42957
1996-07-23,107.342
1996-07-24,106.41699
1996-07-25,106.58614
1996-07-26,107.07631
1996-07-29,106.92731
1996-07-30,107.43518
1996-07-31,107.88562
1996-08-01,107.7908
1996-08-02,107.17699
1996-08-05,107.75358
1996-08-06,107.17166
1996-08-07,107.62395
1996-08-08,107.78603
1996-08-09,108.13388
1996-08-12,108.46308
1996-08-13,108.32489
1996-08-14,107.98389
1996-08-15,107.87888
1996-08-16,107.70388
1996-08-19,107.50331
1996-08-20,107.28989
1996-08-21,107.25436
1996-08-22,107.50726
1996-08-23,107.269
1996-08-26,107.3767
1996-08-27,107.4895
1996-08-28,107.63696
1996-08-29,108.09617
1996-08-30,107.66415
1996-09-02,107.79267
1996-09-03,107.81977
