quarter,gdp_growth,consumption_growth,debt_growth,asset_liability_ratio,saving_rate,debt_income,interest_burden,real_house_price_growth,cpi_growth,policy_rate
1996K2,-1.2,0.6,0.6156721956202205,2.2916361757986907,3.40843638874977,93.5,7.6,0.7291758130256731,0.363731240193399,6.696610169491525
1996K3,0.4,1.4,0.6138112017202602,2.3642411394718463,0.219960921886557,93.8,8.3,2.2677370275387965,-0.6504511029786997,5.483333333333333
1996K4,1.6,-0.4,1.0272207795987145,2.43755092933781,-0.211296431818296,95.2,8,0.01305227437731204,-0.01305227437731204,4.607258064516129
1997K1,0.2,1.7,1.2109510842842397,2.640516402663003,-2.35185177119286,96.5,8.1,1.8660375662154391,-0.2744920356255065,4.1
1997K2,1.7,1.3,1.3466997413393855,2.715885028624258,-3.06558700543191,98.2,6.7,2.654039996989521,0.9639256607607116,4.1
1997K3,0.5,-0.3,1.06950200849667,2.778055874857016,-1.95941777703024,98.8,7.4,1.6090565238291,0.4010614082796238,4.1
1997K4,2,0.8,1.945362494021552,2.7339344073411223,-2.61438973904106,100.1,7.4,-0.4380321355804462,0.4380321355804462,4.132258064516129
1998K1,0.2,0.6,1.1637728046636653,2.8841733788408885,-1.84249253178492,100.4,7.5,3.897221165885067,-0.9558326452557608,4.35
1998K2,1,1.6,1.377577330139168,2.942438097629494,-3.08493850472078,101.4,6.5,2.9500497343455834,0.37567244130265465,4.286440677966102
1998K3,1.1,0.8,1.7853094689751714,2.770726571819631,-2.17804904318915,102.7,7,3.2706957224774236,-0.5055425894263443,4.1
1998K4,1.6,1,1.672830488170618,2.8844026599557653,-1.66333451752913,103.3,6.8,1.2634957005881908,0.09092681018749715,3.821428571428571
1999K1,0.4,0.8,1.4502415628763643,2.9496216371927573,-3.27285403813622,103.9,6.7,1.3882708343330386,-0.05194805311630191,3.270967741935484
1999K2,0.6,0.7,2.4212881036863365,3.019489997981705,-1.7154432218068,104.8,5.6,3.244726695161404,0.6603247920258681,2.9
1999K3,1.5,1,1.771625944691202,3.042041439425546,-3.77723877817493,105.9,6.4,2.973943370178045,-0.03872216892526481,2.9
1999K4,1.3,3.4,2.549728605697865,3.2751597154447705,-5.15221633516052,107.8,6.5,-0.47652868846910224,0.47652868846910224,3.06953125
2000K1,0,1.8,1.8966605592023456,3.1809218741066103,-2.07558832046478,108.2,6.6,3.1345846413270095,-0.2830676105249452,3.546875
2000K2,3,1.2,2.5058651819287903,3.2248510005739117,-4.12778355241976,110,5.9,3.8854966303770944,0.8212544554215384,3.75
2000K3,1,0.5,2.001243088003335,3.1533734622717637,-1.25587993176332,110.4,6.4,3.4285011768576013,-0.03834600928946941,3.75
2000K4,0.1,0,2.164629829714748,3.010067135332362,-1.65456264849428,111.2,6.5,-0.3436926334065227,0.7133788215391235,3.7936507936507935
2001K1,-0.1,0.3,1.5525615174555083,2.9305980788187473,-0.20756376537827,111,6.4,2.7697641377425697,0.13953195642386618,4
2001K2,-0.4,-0.1,2.5702789259739234,2.983221674037471,0.770301026750488,111.4,5.7,-0.46001974109985966,1.883531323287091,4
2001K3,0.9,0.3,1.9430495266263392,2.7609247355230497,2.07303139967029,111.7,6.3,1.689180792812639,0.06217745645820116,4.161538461538462
2001K4,0.4,-0.3,2.253440446401278,2.8431067733348976,3.83714916570571,112.2,6.3,-1.8204087205555552,0.4217845230815698,3.75
2002K1,0.8,2,1.4680974645466804,2.840617303814771,3.09782972356795,112,6.3,1.4732705414053804,0.2719744537172275,3.778225806451613
