quarter,gdp_growth,consumption_growth,debt_growth,asset_liability_ratio,saving_rate,debt_income,interest_burden,real_house_price_growth,cpi_growth,policy_rate,exchange_rate_growth,export_growth
1996K2,-1.2,0.6,0.6156721956202205,229.16361757986908,3.40843638874977,93.5,7.6,0.7291758130256731,0.363731240193399,6.697802197802198,-2.7161713233835982,3.2
1996K3,0.4,1.4,0.6138112017202602,236.42411394718465,0.219960921886557,93.8,8.3,2.2677370275387965,-0.6504511029786997,5.47608695652174,-0.5358762962717201,-0.6
1996K4,1.6,-0.4,1.0272207795987145,243.755092933781,-0.211296431818296,95.2,8,0.01305227437731204,-0.01305227437731204,4.57554347826087,-0.17506637346089704,3.1
1997K1,0.2,1.7,1.2109510842842397,264.0516402663003,-2.35185177119286,96.5,8.1,1.8660375662154391,-0.2744920356255065,4.1,4.2103801420037,5.4
1997K2,1.7,1.3,1.3466997413393855,271.5885028624258,-3.06558700543191,98.2,6.7,2.654039996989521,0.9639256607607116,4.1,2.0566069294274847,4.9
1997K3,0.5,-0.3,1.06950200849667,277.8055874857016,-1.95941777703024,98.8,7.4,1.6090565238291,0.4010614082796238,4.1,-1.791845598359476,1.6
1997K4,2,0.8,1.945362494021552,273.39344073411223,-2.61438973904106,100.1,7.4,-0.4380321355804462,0.4380321355804462,4.143478260869565,-1.264794881380027,3.1
1998K1,0.2,0.6,1.1637728046636653,288.41733788408885,-1.84249253178492,100.4,7.5,3.897221165885067,-0.9558326452557608,4.35,1.3878075271387402,1.4
1998K2,1,1.6,1.377577330139168,294.2438097629494,-3.08493850472078,101.4,6.5,2.9500497343455834,0.37567244130265465,4.289560439560439,-2.144546550788551,1.1
1998K3,1.1,0.8,1.7853094689751714,277.07265718196317,-2.17804904318915,102.7,7,3.2706957224774236,-0.5055425894263443,4.1,2.6323697632498977,2.8
1998K4,1.6,1,1.672830488170618,288.4402659955765,-1.66333451752913,103.3,6.8,1.2634957005881908,0.09092681018749715,3.807065217391304,3.219327837206709,2.1
1999K1,0.4,0.8,1.4502415628763643,294.96216371927574,-3.27285403813622,103.9,6.7,1.3882708343330386,-0.05194805311630191,3.2777777777777777,-3.122264257015672,-0.1
1999K2,0.6,0.7,2.4212881036863365,301.9489997981705,-1.7154432218068,104.8,5.6,3.244726695161404,0.6603247920258681,2.9,0.9278317751266308,2.1
