"date","target_variable","shock_Shock_1_mean","shock_Shock_1_median","shock_Shock_1_lo90","shock_Shock_1_hi90","shock_Shock_1_lo68","shock_Shock_1_hi68","shock_Shock_2_mean","shock_Shock_2_median","shock_Shock_2_lo90","shock_Shock_2_hi90","shock_Shock_2_lo68","shock_Shock_2_hi68","shock_Shock_3_mean","shock_Shock_3_median","shock_Shock_3_lo90","shock_Shock_3_hi90","shock_Shock_3_lo68","shock_Shock_3_hi68","shock_Shock_4_mean","shock_Shock_4_median","shock_Shock_4_lo90","shock_Shock_4_hi90","shock_Shock_4_lo68","shock_Shock_4_hi68","shock_Shock_5_mean","shock_Shock_5_median","shock_Shock_5_lo90","shock_Shock_5_hi90","shock_Shock_5_lo68","shock_Shock_5_hi68","shock_Shock_6_mean","shock_Shock_6_median","shock_Shock_6_lo90","shock_Shock_6_hi90","shock_Shock_6_lo68","shock_Shock_6_hi68","shock_Shock_7_mean","shock_Shock_7_median","shock_Shock_7_lo90","shock_Shock_7_hi90","shock_Shock_7_lo68","shock_Shock_7_hi68","shock_Shock_8_mean","shock_Shock_8_median","shock_Shock_8_lo90","shock_Shock_8_hi90","shock_Shock_8_lo68","shock_Shock_8_hi68","shock_Shock_9_mean","shock_Shock_9_median","shock_Shock_9_lo90","shock_Shock_9_hi90","shock_Shock_9_lo68","shock_Shock_9_hi68","total_decomposed_mean","total_decomposed_median"
1,"Var_1",0.0273113878577049,0.00210780386635893,-0.511218046125841,0.643202006316284,-0.225472954548938,0.298341329809799,0.0236571786065908,0.00381127774429832,-0.554588320998687,0.603797742969793,-0.228638258057008,0.321660264443735,0.0282447987672667,0.0102467723671967,-0.564504721824762,0.641830600279934,-0.231937981054314,0.315921648802697,0.00474336650773866,-0.00347439651224388,-0.516572230642316,0.571521493323819,-0.263673824383928,0.249307660281436,0.0178581497626137,0.00446426369098646,-0.43077794810663,0.460620417112395,-0.181272899531802,0.232758924910334,0.0123980014870966,0.00178894465448099,-0.51971346446159,0.585031711187008,-0.257509109092672,0.269978175254299,0.011726897165222,-0.00190468207950467,-0.54197369083189,0.546598148690551,-0.232802544933751,0.273433077744426,0.0117436697518849,0.0014046155917105,-0.517092424008352,0.576894798871588,-0.247015752575614,0.292513259683525,0.0112370296302353,0.00750795455448809,-0.534174699216192,0.565480110422719,-0.264408890337589,0.258136022040406,0.148920479536354,0.0259525538777714
2,"Var_1",-0.14462319336635,-0.0710131939521164,-1.02424186905496,0.460085867677413,-0.538343339583281,0.218187612365159,-0.166929529079692,-0.0915277627528389,-1.07593875273292,0.43736347379479,-0.515292075406936,0.188382954908798,-0.173744485906227,-0.0931412789405106,-1.0371645590356,0.449318469165169,-0.567293141404059,0.192682736841129,-0.166803588144338,-0.0758086253048586,-1.02777609117579,0.438851468129207,-0.548851491980111,0.186624764613688,-0.172904958817263,-0.10806137042399,-0.885740589366845,0.350513752883612,-0.510502664365752,0.136855756924684,-0.153890177668666,-0.0952638105057784,-0.999652601042429,0.457827837024718,-0.494114579244591,0.212531666487748,-0.162670939333322,-0.0845187129642809,-1.04487260118009,0.433967335519975,-0.50415819405997,0.194453633260467,-0.157356269408499,-0.0790271068933521,-1.04011134816023,0.447922219144175,-0.555741723704232,0.215538201406571,-0.121162136819454,-0.0539057038888346,-0.969295420986817,0.485883685807511,-0.462990913629051,0.230174289975183,-1.42008527854381,-0.752267565626561
3,"Var_1",0.123256769590673,0.0743015380063474,-0.61023698724542,0.991351496819723,-0.289006097946213,0.545271435783546,0.125649433043716,0.0764117857401246,-0.597704132879491,0.965178052439618,-0.283594045610357,0.562107778789265,0.132054737166112,0.0975826362337924,-0.605758631725148,0.975410768656482,-0.273592126860036,0.54943192504392,0.133966416192972,0.0896849273592348,-0.561127983945083,0.964210381574174,-0.268924646980076,0.546588769560011,0.089802917010121,0.0625965583228321,-0.444960600389257,0.701227168616291,-0.20851635185543,0.40953569639259,0.106604967017706,0.074293156512606,-0.574608877591912,0.925340246251318,-0.284437955223487,0.499738594401574,0.129763663761414,0.0857838034128104,-0.54885113343664,0.990703940524494,-0.281848222547069,0.559253220888866,0.118886256596283,0.0930782414348867,-0.57519821828727,0.878765245807715,-0.26390387881073,0.501368772595146,0.129021699895055,0.0792957337080444,-0.56954252446806,1.01784454973563,-0.280289905716298,0.563475986053395,1.08900686027405,0.733028380730679
4,"Var_1",-0.118027671647741,-0.0842431476904253,-0.966157755082532,0.619472444536705,-0.530708040609627,0.288072525113532,-0.0933938757815341,-0.0705395040506433,-0.908486352608012,0.700481393962426,-0.510922517667575,0.314642158098638,-0.0959072474635473,-0.0779857280139864,-0.877833228508801,0.60520473130517,-0.521917313530279,0.30657090002932,-0.0876770787692847,-0.086552996968299,-0.869168257939518,0.661684017365775,-0.504815891960237,0.323539946880585,-0.0551073696122436,-0.0327524126654089,-0.75001835176539,0.556111644757059,-0.415025864872792,0.283734864325593,-0.0874656833507656,-0.0667976776416269,-0.931858419128516,0.663883503689502,-0.529328269261111,0.323611886900274,-0.072795490494879,-0.0586208970154601,-0.84840771667077,0.642642483368246,-0.448254587392006,0.302891370908478,-0.106371951735487,-0.0618222124102456,-0.903133601768586,0.649585523390198,-0.558264219873704,0.290270282482916,-0.134587931966248,-0.108051985734526,-0.990130554788323,0.597349139364483,-0.57466097868002,0.288663207276001,-0.851334300821729,-0.647366562190621
5,"Var_1",0.0091024386187897,0.00965392387273346,-0.878372908227284,0.784593760789373,-0.434339038482304,0.460039952241253,0.0150350654400153,0.027827767071461,-0.876530429817117,0.897462916729143,-0.449230481126936,0.473137984551448,0.0231054704125431,0.0313334257408226,-0.848122028821671,0.854591911580648,-0.426458401782622,0.460479385957871,-0.0146857724925414,0.00472162471101486,-0.941427662883349,0.800427254510648,-0.508767191963602,0.479361703736818,0.0397075455764458,0.0399652915292476,-0.658955734623471,0.686228080317365,-0.322465459707174,0.41384555984778,0.0187882991738611,0.0365343588954644,-0.829047910671597,0.794548274275665,-0.410224491817775,0.471236518452925,-0.032979865922881,0.00639709297930935,-1.00346261912948,0.750860894123617,-0.522208981869193,0.432726736363884,-0.0150085134825549,-6.10010419833034e-05,-0.926577855620854,0.840742120756116,-0.48967208498615,0.441963491432182,0.00196434032173953,0.028300714684224,-0.926774356019228,0.797687203463874,-0.442788835112515,0.45930304712622,0.0450290076454171,0.184673198442294
6,"Var_1",-0.00677394683879266,-0.0202463325691051,-0.722311947676096,0.815609649112828,-0.436135539341378,0.434541292672989,0.0108092579538029,-0.0174733453371049,-0.707268907202324,0.785868761332392,-0.369984928356565,0.410236174169898,0.00899425137382116,-0.00117161560281683,-0.700180355251951,0.75385783577293,-0.383207121153878,0.41400837926986,-0.0155756404006069,-0.0319989795001972,-0.671585570546359,0.774647904647047,-0.449595726717959,0.395507303659132,-0.0309816271785127,-0.0403359947392601,-0.633232708305246,0.629399883487459,-0.370000069383862,0.314709464030612,-0.0235701258246079,-0.0173822872352297,-0.723716726496924,0.779053462623502,-0.431609466770452,0.358373930242926,-0.0234136481138139,-0.0300753880425532,-0.726498360205208,0.732197791920836,-0.41843623756345,0.347509870005167,-0.0229578841980242,-0.0452051740637392,-0.800056677419982,0.806054873805065,-0.435846124078051,0.391565300719096,0.00838839713181672,-0.0182320699969717,-0.697185878797462,0.82176541006881,-0.417135388809636,0.410689566586413,-0.0950809660949175,-0.222121187086978
7,"Var_1",0.0949301242303252,0.0462752616777257,-0.560525863934152,0.960934846417675,-0.322519376240686,0.519310777357402,0.0867532699321528,0.0386757821777525,-0.611481990608782,0.92122259847429,-0.29715085177729,0.484324452517186,0.0609416266474063,0.0253717473498379,-0.598295842714209,0.892657762559395,-0.323611511885942,0.457107711181727,0.0775844453442005,0.0242791118856116,-0.573280372548973,0.937471759927027,-0.362472068487076,0.51357187751178,0.0773964154130915,0.0393032467005432,-0.491480103079408,0.78638696365245,-0.269488649322958,0.414230016043274,0.0962368741438434,0.0541003893517449,-0.590328047482552,0.884137381460535,-0.290727235367259,0.488956006618275,0.100653237467875,0.0580986243581082,-0.547357749610961,0.910343462922485,-0.289451084380105,0.511989079265957,0.0806355133325307,0.0479115226799026,-0.592953017052793,0.876298184941926,-0.291916844393413,0.492550810029973,0.0752330163141282,0.0492868410317038,-0.586248414687691,0.879595626707892,-0.314528658705698,0.462060534076839,0.750364522825554,0.38330252721293
8,"Var_1",-0.0609935171259688,-0.0363847937205689,-0.851128948397987,0.575809980266747,-0.43801858429301,0.314152804623905,-0.0847564473133994,-0.0276425737061397,-0.878932501599283,0.557420358036646,-0.477524754615298,0.30524707205875,-0.0577762549479572,-0.009286140731484,-0.903647036873683,0.604753390846141,-0.454085044727015,0.328901072325442,-0.0627175942063421,-0.0100972187637148,-0.888827320834679,0.604315023579205,-0.47848155704348,0.337606500372441,-0.0411225421278082,-0.00645463904835764,-0.807562991758408,0.574825826472375,-0.390516512133419,0.324060641896601,-0.0649696757669301,-0.0307675383266797,-0.874800475834661,0.59831424149639,-0.428180073178689,0.316017784274988,-0.0709674163590952,-0.0160738478502838,-0.845639789607328,0.551829110695446,-0.460201796568301,0.30201585966109,-0.0604117967969135,-0.0369041693649154,-0.844440178371363,0.559391463228359,-0.423352352255828,0.321700857711347,-0.0431528022045957,-0.0165743080176819,-0.762308898800238,0.631199720679891,-0.391964471026019,0.318423738975795,-0.54686804684901,-0.190185229529826
9,"Var_1",-0.0452743645836356,-0.0349482590922106,-0.826099635052607,0.75300399505099,-0.465007165420409,0.384836141517856,-0.0307840791370575,-0.0196780250068095,-0.823517818242257,0.702238423709549,-0.456414783173168,0.374589830367912,-0.0347002037754429,-0.0275197001011374,-0.853314534445226,0.744948330377939,-0.465018257164802,0.386107437038237,-0.0112734791135407,-0.00685894695232738,-0.853359610335001,0.819198946903928,-0.450256332420605,0.443644453159218,-0.0581888187823578,-0.0626171647807345,-0.921443938095224,0.723586056304422,-0.505452364397505,0.410244738223987,-0.035747570897221,-0.0376949552566109,-0.761767379913339,0.716374358730868,-0.446931965635799,0.375393506526593,0.0128534175823637,-0.00969202870586469,-0.734539663414244,0.781374505734284,-0.384485758035563,0.402013645174245,-0.0221701512739215,-0.0216853745048108,-0.810393811984501,0.736083761447402,-0.414764396599553,0.376816882903217,-0.0288719147476932,-0.0233017987423341,-0.765265559868843,0.653981074549494,-0.415545866170486,0.343254517104152,-0.254157164728507,-0.24399625314284
10,"Var_1",0.0668819401931388,0.0633847474597504,-0.640412367942694,0.759971705480734,-0.299998087326496,0.440767792380709,0.0291584362113472,0.0357383143166821,-0.694331757046041,0.713411862985744,-0.342446996052601,0.427595601091831,0.0395346688023111,0.0500888835502045,-0.633682795089413,0.683399934672759,-0.337871906337281,0.399524230981458,0.0178333688794681,0.0420949725406075,-0.757711905705065,0.707458641111438,-0.397960165749928,0.417856022751952,0.17287234435002,0.170114821404583,-0.661449045803564,1.0922813903326,-0.334662080409533,0.675494971974859,0.040851376768778,0.0421467564625792,-0.6694639469253,0.688070774755357,-0.324689860666505,0.449395648396087,0.0350504057918097,0.0402727448942759,-0.673051623770465,0.714480376988108,-0.326146982418621,0.412638312076543,0.0556815947540988,0.0669611874081929,-0.686153089880193,0.732616580592078,-0.323224499512698,0.424182005068192,0.0465255998915368,0.0446686233747434,-0.630720858664724,0.713645908264051,-0.337537599659942,0.445518733087553,0.504389735642508,0.555471051411619
