"Variable","Shock","Horizon","Mean","Median","Lower_90","Lower_68","Upper_68","Upper_90"
"gdp_growth","gdp_growth",1,0.113602861062408,0.0594208224661718,0.000522862310676696,0.00539163788134469,0.236650929784273,0.40760473607473
"gdp_growth","gdp_growth",2,0.113632039594658,0.069150639430182,0.00465282226380714,0.0151312717893877,0.222038404378054,0.375466404438162
"gdp_growth","gdp_growth",3,0.113808152067996,0.0720711151848758,0.00796492362534561,0.0200020071929107,0.217545287917153,0.364705293209508
"gdp_growth","gdp_growth",4,0.1138580177729,0.0736720985772679,0.00968607743970963,0.0216835709938721,0.215896862001586,0.358747097152115
"gdp_growth","gdp_growth",5,0.113825908285436,0.075119651832743,0.0116541390988051,0.0237324062673548,0.212277266965185,0.352873675603905
"gdp_growth","gdp_growth",6,0.113814854915093,0.0754024708425698,0.0123322081816842,0.0246376373530001,0.210953696568733,0.351325203803012
"gdp_growth","gdp_growth",7,0.113827763495399,0.0758415955726227,0.0129116213832098,0.0257435955236878,0.210429058214404,0.347499552223379
"gdp_growth","gdp_growth",8,0.113831784290372,0.0758860379440454,0.0132897289573879,0.0262273202700462,0.209967350530375,0.345686625395724
"gdp_growth","gdp_growth",9,0.113816311399869,0.0762218662092515,0.0138919936227407,0.0267772157141065,0.209206315026541,0.343243285978731
"gdp_growth","gdp_growth",10,0.113792874995153,0.0765224384559634,0.0141218407758684,0.0270464293512212,0.20853552391636,0.342299861790324
"gdp_growth","gdp_growth",11,0.113764798209292,0.0767877769318525,0.0142656737346841,0.0272311708479513,0.208725359813816,0.340620938280221
"gdp_growth","gdp_growth",12,0.113750007632656,0.0769324514313228,0.0146996914059185,0.0275706463538072,0.20861442216352,0.339587642804937
"gdp_growth","gdp_growth",13,0.113734060461158,0.0771818321510493,0.0149041475180909,0.0277649450484887,0.208306563760382,0.338939326752347
"gdp_growth","gdp_growth",14,0.113726456987675,0.0773776101209237,0.0150121167798776,0.0279596730399351,0.208160699720024,0.339065494158838
"gdp_growth","gdp_growth",15,0.113717395874104,0.0774994239124344,0.0151523344315347,0.0280736176817559,0.208037111995454,0.337963290398318
"gdp_growth","gdp_growth",16,0.113716058804082,0.0775700651688438,0.0152302516025016,0.0281107983427812,0.207954536442358,0.337748078799351
"gdp_growth","gdp_growth",17,0.113714364373384,0.077648480086851,0.0154101410994658,0.0281731233026425,0.207635744272107,0.336470887150926
"gdp_growth","gdp_growth",18,0.113717150851704,0.0777658263779653,0.0155544267789519,0.0284962836363179,0.207408833094344,0.335339194015564
"gdp_growth","gdp_growth",19,0.113718590946826,0.0778247813817788,0.0157405866336004,0.028586668623227,0.207205842826993,0.334952471958227
"gdp_growth","gdp_growth",20,0.113721295739616,0.0778641003485872,0.0158444132383645,0.028678200417126,0.207026235081204,0.334783904188903
"gdp_growth","gdp_growth",21,0.113722920627798,0.0779074926072556,0.0159485964840588,0.0287541027806042,0.207024717954653,0.334584847840826
"gdp_growth","consumption_growth",1,0.114636647730979,0.0618607674810337,0.000520648980496301,0.00549857451707717,0.234887435007497,0.410541358640457
"gdp_growth","consumption_growth",2,0.11449921106721,0.0722256917891294,0.00474923585913813,0.0156470903051781,0.220711115570188,0.372245802172723
"gdp_growth","consumption_growth",3,0.114468414732382,0.0746949828900216,0.00771438548356282,0.0206250161119332,0.215062983805068,0.36097390436199
"gdp_growth","consumption_growth",4,0.114383795268416,0.075557818165108,0.00957123490305064,0.0225450562166301,0.2123254305511,0.352781676732173
"gdp_growth","consumption_growth",5,0.114493932876271,0.0773310840782439,0.0115444116100777,0.0251512259473895,0.210150988498848,0.347226849027101
"gdp_growth","consumption_growth",6,0.114499883326063,0.0778298358967617,0.0123685903433413,0.0259995069436617,0.20803914395806,0.345497804750006
"gdp_growth","consumption_growth",7,0.114535452297018,0.0789143654844491,0.0131526238748492,0.0269645673278055,0.206307443911394,0.3435366695782
"gdp_growth","consumption_growth",8,0.114540479914599,0.0789924361347462,0.0134558887237102,0.0274386029234912,0.20565829215092,0.340758897253639
"gdp_growth","consumption_growth",9,0.114552175977835,0.0792121345754709,0.0137656338786671,0.0279354717758623,0.2047283949638,0.339874475375855
"gdp_growth","consumption_growth",10,0.114564287596569,0.0793467958859205,0.014098811181139,0.028471055198914,0.20446312235396,0.339264170695876
"gdp_growth","consumption_growth",11,0.114568642369001,0.0796872805645721,0.0143174952954932,0.0288945383968987,0.204208149615096,0.338508617424344
"gdp_growth","consumption_growth",12,0.114576446053778,0.0800960740641258,0.014635942445921,0.0292102501920307,0.203887790765031,0.337950008439198
"gdp_growth","consumption_growth",13,0.114579829494319,0.0803052910986195,0.0148054329640514,0.0293671512416401,0.203707804673896,0.337288896484915
"gdp_growth","consumption_growth",14,0.114590690138295,0.0805124071386036,0.0149415458939078,0.0295799642445976,0.203698144427664,0.336708918966415
"gdp_growth","consumption_growth",15,0.114599536678192,0.0806066492487461,0.014972706951831,0.0298037308208575,0.203699946769414,0.336278112516297
"gdp_growth","consumption_growth",16,0.114614540263832,0.0807608224947743,0.0151432350475347,0.0300569283549732,0.203505938675694,0.336131600749535
"gdp_growth","consumption_growth",17,0.114627537349077,0.0808530747585361,0.0152992533748578,0.030264063101214,0.203348146854133,0.335439069644765
"gdp_growth","consumption_growth",18,0.114642798884025,0.0808488901931578,0.0153623484838419,0.0303180748651624,0.203154140540795,0.335251230788624
"gdp_growth","consumption_growth",19,0.114657323213158,0.0808892147536292,0.0154322785633328,0.0304396270375023,0.20323826119139,0.335251308667417
"gdp_growth","consumption_growth",20,0.114672719041233,0.0809421056035944,0.0154531193215864,0.0304877514025613,0.203126286819806,0.334984869564705
"gdp_growth","consumption_growth",21,0.114687174557921,0.0809159990237567,0.0156600187564364,0.0305935319002483,0.203283511362728,0.334601718575309
"gdp_growth","cpi_growth",1,0.108703230028724,0.059218753016005,0.000449421657851462,0.0048222152761312,0.223552258401352,0.389897339581915
"gdp_growth","cpi_growth",2,0.109320625277278,0.0681589505070436,0.00443773393676254,0.0153317430965231,0.212122971629813,0.35614988866847
"gdp_growth","cpi_growth",3,0.109498248455075,0.0706177130031937,0.00742237943017742,0.0201094869435924,0.207566584977761,0.343876622933611
"gdp_growth","cpi_growth",4,0.109553388946461,0.0722573333076126,0.00902602274647217,0.0221155703128206,0.205670479082321,0.340694341192411
"gdp_growth","cpi_growth",5,0.109734131361778,0.0738576315679887,0.0109377474821837,0.0244530218894187,0.202959848758536,0.332784502258823
"gdp_growth","cpi_growth",6,0.109806652512078,0.0741706852044879,0.0117001511167966,0.0254236364341902,0.201758075359309,0.332021669802962
"gdp_growth","cpi_growth",7,0.109930750029378,0.0750528187761445,0.0123801351597202,0.0261340120792964,0.200948838654438,0.328883000204705
"gdp_growth","cpi_growth",8,0.109954383823985,0.075296241825021,0.012894831266539,0.0266126619385169,0.200951775600455,0.327797178377771
"gdp_growth","cpi_growth",9,0.109977185261892,0.0753973939014227,0.0133569530847343,0.0269234846977775,0.200308846139468,0.327248288077331
"gdp_growth","cpi_growth",10,0.109982150728425,0.0755088401195244,0.0135839424787101,0.0273635866194288,0.199783576849412,0.326726041134724
"gdp_growth","cpi_growth",11,0.109990093473743,0.0756084306913776,0.0138992612815938,0.027691374231034,0.199023856850037,0.325726769395418
"gdp_growth","cpi_growth",12,0.109993669586391,0.0757423581401736,0.0140706322128615,0.027960295638532,0.198792308948472,0.325337046760697
"gdp_growth","cpi_growth",13,0.110002489627856,0.0757335848736038,0.0141176873756833,0.0281684060294329,0.198629241523787,0.324739444501456
"gdp_growth","cpi_growth",14,0.110010843438107,0.075841687678782,0.0143858345767966,0.0283730737505227,0.19844391737555,0.32346664893348
"gdp_growth","cpi_growth",15,0.110021449028426,0.0759046676519389,0.0144802538121904,0.0286167694013693,0.198398278101589,0.322341076048111
"gdp_growth","cpi_growth",16,0.110033571116431,0.0761246857116024,0.0146306121762005,0.0288581937869753,0.198333108135498,0.321844339829508
"gdp_growth","cpi_growth",17,0.110046031429817,0.0762260752596742,0.0147423139729591,0.0290539279612308,0.197668663267711,0.321536507380651
"gdp_growth","cpi_growth",18,0.110056363044615,0.0764434263359147,0.0148895205943433,0.0292738579475445,0.19777414242965,0.321369736284896
"gdp_growth","cpi_growth",19,0.110065251831524,0.0765085589403511,0.0149950052977391,0.0294339302391388,0.197468447962228,0.321283676647168
"gdp_growth","cpi_growth",20,0.110072943178074,0.0765163301652262,0.015161163253775,0.0295290067309586,0.197327348985784,0.3211715709996
"gdp_growth","cpi_growth",21,0.11007966493729,0.0765310626473637,0.0152218607419869,0.0296736376970039,0.19689564539179,0.320984937332322
"gdp_growth","saving_rate",1,0.110930052675121,0.0584431775061746,0.000540890578716971,0.0052482210354961,0.230418343002947,0.401952140970208
"gdp_growth","saving_rate",2,0.110851901880884,0.0671899654737219,0.00404512524442078,0.0145319526534171,0.216474792849115,0.363378078777486
"gdp_growth","saving_rate",3,0.111063278264222,0.0701682365829756,0.0071182255008841,0.0192738516881417,0.213425440987891,0.354318927918606
"gdp_growth","saving_rate",4,0.111140211285288,0.0713834161888831,0.00927858574749007,0.0210762287605753,0.210450502555868,0.347739235861247
"gdp_growth","saving_rate",5,0.111292518434793,0.0727224439100906,0.0106763640535854,0.0233777807127729,0.208315142277454,0.342660322380531
"gdp_growth","saving_rate",6,0.11136119050398,0.0734055503554087,0.0115558405675623,0.0242060462105748,0.206950658832421,0.340148036082758
"gdp_growth","saving_rate",7,0.111424139551627,0.0743416622120052,0.0122835912120848,0.0251920178189731,0.20526812605202,0.336942564101373
"gdp_growth","saving_rate",8,0.111473716122114,0.0746354793790119,0.0128516289274495,0.02582747765365,0.204664644729495,0.335965436196111
"gdp_growth","saving_rate",9,0.111518185950601,0.0750242656266008,0.0132103173598033,0.0265573467721077,0.204033393126392,0.335420131399114
"gdp_growth","saving_rate",10,0.111555605441864,0.075400847214648,0.013541122145274,0.0268830151164204,0.203841290199865,0.334112550194618
"gdp_growth","saving_rate",11,0.11157536986497,0.0754810406961612,0.0138372808578821,0.0270945772579811,0.203423801971966,0.332679327238056
"gdp_growth","saving_rate",12,0.111606861937894,0.0757358011976688,0.0139215646682252,0.0274170846634376,0.203061233819775,0.331798364468996
"gdp_growth","saving_rate",13,0.111624053538064,0.0758525298845136,0.0139954521593398,0.0276524951597775,0.202938502929255,0.331273834266208
"gdp_growth","saving_rate",14,0.111647767908358,0.0762416809844652,0.0142603154865077,0.0280206004375301,0.202648096817053,0.330950357684484
"gdp_growth","saving_rate",15,0.111652305867044,0.0764513140190608,0.0143762406659849,0.0283167184333084,0.202742072631164,0.330035517912096
"gdp_growth","saving_rate",16,0.111661164607324,0.0765138746562508,0.0143700445613972,0.0285459442402172,0.202411268885231,0.328795008296019
"gdp_growth","saving_rate",17,0.111660210738125,0.0766683090000817,0.0145263999271339,0.0286556506782053,0.202211928574495,0.3283927908559
"gdp_growth","saving_rate",18,0.111661435830257,0.0767072906019828,0.0146451010737151,0.0287477560932942,0.201992045338013,0.327484733588232
"gdp_growth","saving_rate",19,0.111656148357745,0.0767642580897712,0.0147053628693686,0.0287813021766662,0.201911396294382,0.326911943694445
"gdp_growth","saving_rate",20,0.111652247457651,0.076837372683527,0.0147300808496929,0.02887689981097,0.201846565052268,0.326651920781388
"gdp_growth","saving_rate",21,0.111646307837091,0.076997920202108,0.0147643345983467,0.0290293408423658,0.201766160367403,0.32629794266608
"gdp_growth","policy_rate",1,0.0978949474964604,0.0474998937637435,0.000432035724474781,0.00477818094991739,0.205347282823039,0.360578102129074
"gdp_growth","policy_rate",2,0.098467402519867,0.0577732505235549,0.00361619409660803,0.0126848252592186,0.193831265861264,0.333501269870403
"gdp_growth","policy_rate",3,0.0980207592165526,0.0592139120942547,0.00612429430018552,0.0160580737086871,0.188694974160526,0.324026992514312
"gdp_growth","policy_rate",4,0.0979989318697169,0.0609634592763557,0.00796555986868634,0.0180850200892115,0.186319174262992,0.3180152636303
"gdp_growth","policy_rate",5,0.0972293019417154,0.0609815484513527,0.00863997612244803,0.0190588980941446,0.183824353905588,0.312559066458477
"gdp_growth","policy_rate",6,0.0969794221757325,0.0611102365625997,0.00933465520162944,0.0196947726194485,0.181944203947294,0.310620839380271
"gdp_growth","policy_rate",7,0.0966394978186433,0.0612268110967209,0.00997352199836849,0.0202406191532789,0.179891907195819,0.308299908167309
"gdp_growth","policy_rate",8,0.0965294584507555,0.0613077749491126,0.0103188869409214,0.020533549170991,0.179351370908701,0.306258262533744
