"Variable","Shock","Impact_Q0","Peak_Response","Peak_Horizon","Peak_68_Significant"
"Unemployment (pp)","Monetary Policy Shock",0.0707745615318734,0.0858181654005795,6,"*"
"Interest (pp)","Monetary Policy Shock",0.0687212753622138,0.0885518320104947,2,"*"
"Real House Price (Log)","Monetary Policy Shock",-0.000618676234011312,-0.0051405828312911,30,""
"DTA (pp)","Monetary Policy Shock",-0.0190889595925607,0.0661481731462452,30,""
"DSR (pp)","Monetary Policy Shock",0.0191915707841581,0.0373614750285511,3,""
"LAI (pp)","Monetary Policy Shock",-0.229708306024925,0.288788665345978,7,""
"Savings (pp)","Monetary Policy Shock",0.0537767624592077,0.123838900718857,3,""
"Habituals (Log)","Monetary Policy Shock",-0.0017608243925766,-0.00205843813311069,2,""
"Unemployment (pp)","Adverse Macro Shock",0.0764880409924638,0.103471293683855,3,"*"
"Interest (pp)","Adverse Macro Shock",-0.0802670924993642,-0.132249533166957,3,"*"
"Real House Price (Log)","Adverse Macro Shock",0.000691701640090211,0.00673408935733195,7,""
"DTA (pp)","Adverse Macro Shock",0.0182020438086993,-0.102505097081468,7,""
"DSR (pp)","Adverse Macro Shock",-0.0203109323139876,-0.0432088669870754,4,""
"LAI (pp)","Adverse Macro Shock",-0.0172197585682537,1.40751410824366,6,""
"Savings (pp)","Adverse Macro Shock",0.0644012516999029,0.0644012516999029,0,""
"Habituals (Log)","Adverse Macro Shock",-0.00140556010838221,-0.00140556010838221,0,""
"Unemployment (pp)","Asset Shock",-0.0143788410170679,-0.0277178707954458,21,""
"Interest (pp)","Asset Shock",0.0168185755670441,0.0318636947476909,4,""
"Real House Price (Log)","Asset Shock",-0.00407884606584295,-0.00756009639716266,4,"*"
"DTA (pp)","Asset Shock",0.148886961277638,0.251685366681777,5,"*"
"DSR (pp)","Asset Shock",0.00605810031196856,-0.0185495893268665,13,""
"LAI (pp)","Asset Shock",-0.650502338134154,-0.758023304079662,1,""
"Savings (pp)","Asset Shock",0.0111092984312083,-0.0689516347147524,16,""
"Habituals (Log)","Asset Shock",4.60653253655926e-05,-0.00103560031605198,4,""
