"Variable","Shock","Impact_Q0","Peak_Response","Peak_Horizon","Peak_68_Significant"
"Unemployment (pp)","Monetary Policy Shock",0.0559116145569665,0.0721576501641548,8,"*"
"Interest (pp)","Monetary Policy Shock",0.0817572980594231,0.0817572980594231,0,"*"
"Real House Price (Log)","Monetary Policy Shock",-0.000970412062213758,-0.00322968500511712,15,""
"DTA (pp)","Monetary Policy Shock",-0.0138884917489373,0.0297841561285884,10,""
"DSR (pp)","Monetary Policy Shock",0.0183965959332902,0.0183965959332902,0,""
"LAI (pp)","Monetary Policy Shock",-0.155350949787102,0.499417419774648,21,""
"Savings (pp)","Monetary Policy Shock",-0.0133314900690771,-0.0633374600864014,27,""
"Habituals (Log)","Monetary Policy Shock",0.000310642964909567,-0.000753700000755768,15,""
"Unemployment (pp)","Adverse Macro Shock",0.0863250185799238,0.0863250185799238,0,"*"
"Interest (pp)","Adverse Macro Shock",-0.102836029745756,-0.102836029745756,0,"*"
"Real House Price (Log)","Adverse Macro Shock",0.000819745153198457,0.00492685338228613,14,"*"
"DTA (pp)","Adverse Macro Shock",-0.0180684875241797,-0.12559362717866,15,""
"DSR (pp)","Adverse Macro Shock",-0.0424126874076758,-0.0424126874076758,0,""
"LAI (pp)","Adverse Macro Shock",-0.258246006631766,0.741760573244296,9,""
"Savings (pp)","Adverse Macro Shock",0.0607135136394691,0.0607135136394691,0,""
"Habituals (Log)","Adverse Macro Shock",8.23936230750555e-05,0.00159406110762204,18,""
"Unemployment (pp)","Asset Shock",-0.0145564483138299,-0.0187976951965568,27,""
"Interest (pp)","Asset Shock",0.0370197524546012,0.0370197524546012,0,""
"Real House Price (Log)","Asset Shock",-0.00461333713132296,-0.00470637006644957,4,"*"
"DTA (pp)","Asset Shock",0.160366368342846,0.163740383827322,3,"*"
"DSR (pp)","Asset Shock",0.0166484625915617,0.0166484625915617,0,""
"LAI (pp)","Asset Shock",-0.364280083402332,-0.364280083402332,0,""
"Savings (pp)","Asset Shock",0.0732259693354533,0.0732259693354533,0,""
"Habituals (Log)","Asset Shock",-0.00084713371316302,-0.000921026422587582,3,""
