"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"Standard deviation",1.49813393675186,1.38420424354878,1.12303687557068,1.01524305499396,0.929427130624569,0.91919833806343,0.804908232279987,0.703280735465063,0.632077383202235,0.544866759515723
"Proportion of Variance",0.22444,0.1916,0.12612,0.10307,0.08638,0.08449,0.06479,0.04946,0.03995,0.02969
"Cumulative Proportion",0.22444,0.41604,0.54216,0.64524,0.73162,0.81611,0.8809,0.93036,0.97031,1
