"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"Standard deviation",1.49769154548715,1.47070233657706,1.17800793527148,1.01487601574795,0.965943170864514,0.813716436638759,0.793312397266651,0.647550430989128,0.561673794764738,0.465783671040128
"Proportion of Variance",0.22431,0.2163,0.13877,0.103,0.0933,0.06621,0.06293,0.04193,0.03155,0.0217
"Cumulative Proportion",0.22431,0.4406,0.57937,0.68237,0.77568,0.84189,0.90482,0.94676,0.9783,1
