"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13"
"Standard deviation",1.72158935051044,1.52091967377429,1.1953660967101,1.06945405787268,1.02451693294879,0.943408148841954,0.877524225922103,0.820368027568679,0.753508467435158,0.670928487620712,0.57412797518417,0.48477779176001,0.430165703960087
"Proportion of Variance",0.22799,0.17794,0.10992,0.08798,0.08074,0.06846,0.05923,0.05177,0.04368,0.03463,0.02536,0.01808,0.01423
"Cumulative Proportion",0.22799,0.40593,0.51584,0.60382,0.68456,0.75303,0.81226,0.86403,0.90771,0.94233,0.96769,0.98577,1
