"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"d_gdp_se_log",0.054856848969888,-0.545322199615608,0.355441207165223,0.109744696793291,0.20666911303757,0.00572901114984978,-0.0596792941277916,0.360646902713382,0.574640276840668,-0.233768852283209
"d_unemployment_rate",-0.274400103588224,0.346917472017527,-0.245906015723815,0.408859784964926,0.0105224105833642,0.31479410950538,0.540180567804679,0.232964890721248,0.357333014635937,0.0612873268619945
"d_cpi_log",0.509655511315575,0.0375422342828684,-0.0421734115928599,0.168687015320983,0.359661491644539,-0.106103135082304,0.399969098250929,-0.430457095103008,-0.0274187823291421,-0.471140415265519
"d_policy_rate",0.572591366439683,-0.108373588244022,-0.131313368808406,0.00366448199265405,-0.134469561602244,0.00396865733776201,0.0531179882434159,-0.155977906462902,0.354335517951614,0.687266733294712
"d_cons_durable_log",-0.164433699376583,-0.420554407163283,0.16068773138204,0.0480890889559739,0.00253381777266179,0.735821478703615,0.0896410618778012,-0.415767501830919,-0.191421411003204,0.0947759501862551
"d_debt_to_asset_ratio",0.18479919036393,0.348744191360627,-0.0958274142390663,-0.220172636300181,0.64424138679903,0.429138924798987,-0.385463189521105,0.183360710245977,0.0459837001902544,0.0551648681199582
"d_dsr_value",0.394260259849664,-0.126246125410039,-0.291873990469795,-0.340488373964868,-0.411433178286448,0.332133816420757,0.16950140531365,0.440521182927368,-0.155361429295106,-0.317775170954989
"d_liquid_asset_to_income_ratio",-0.247974286974452,-0.182609697321958,-0.674401167726553,-0.181815882439259,-0.0367003175789264,-0.0296172324675725,-0.257300310913892,-0.350837225259938,0.415265789742099,-0.230929692290423
"d_saving_rate",0.177609385107616,0.414669299761723,0.314529168353414,0.231613015327182,-0.472764014959731,0.229796233135715,-0.39546593782923,-0.219547589248151,0.286485538580056,-0.284518106972538
"d_kix_real_log",-0.156265865469439,0.222248009973876,0.346742819365203,-0.73409710063769,-0.0235655040034135,-0.00289741346309266,0.365925758801879,-0.184954514419855,0.313660244604453,-0.00116405227262644
