"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13"
"Standard deviation",1.7998913628862,1.53042838768207,1.22098445073202,1.04876426054944,1.02573014615446,0.941663569901619,0.87675645296954,0.806646656319831,0.694957691223697,0.59462789707538,0.486873039273725,0.475636797884697,0.411598059785073
"Proportion of Variance",0.2492,0.18017,0.11468,0.08461,0.08093,0.06821,0.05913,0.05005,0.03715,0.0272,0.01823,0.0174,0.01303
"Cumulative Proportion",0.2492,0.42937,0.54405,0.62866,0.70959,0.7778,0.83693,0.88698,0.92413,0.95133,0.96957,0.98697,1
