"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13"
"d_fed_funds_rate",0.340954581660306,-0.0324008065305565,0.150362912206888,-0.263964318120246,-0.00979181168762155,0.0975033289184925,0.725990921026595,0.342762094703786,0.00607036973873102,0.174755766139296,0.311628251493825,-0.0573016825074437,-0.0727356001757621
"d_kix_gdp_log",0.38824701508386,-0.315939152006501,-0.195192784772261,0.122342361313807,0.13274026322365,0.180904527277047,-0.000575827495124248,-0.0371187907682107,-0.19456557433352,-0.431973328018882,0.0400550092344352,0.612643221720593,-0.207993820853128
"d_kix_cpi",0.34974932917834,0.175399761208862,-0.297954006270245,-0.413927743153778,-0.0547720627607578,-0.104469851512673,-0.375444922012676,0.0617294425342309,0.250764020770635,-0.158576256922769,0.187109092683661,-0.299355315158282,-0.46417860913269
"d_gdp_se_log",0.381401835346038,-0.353195123479953,-0.159668241448609,0.155798168696628,0.0223720826632256,0.0438210510043359,0.0485186225188524,-0.21755011940087,-0.305514837993827,-0.161986871782462,-0.0809033843040441,-0.638690130650545,0.30637627001017
"d_unemployment_rate",-0.336395329576708,0.00705066805894142,0.00085330239686016,-0.115687463366607,0.515338352961718,0.244719857765177,-0.123536600988557,0.521668248600639,-0.407974136858577,-0.172537473472125,-0.0419690772047133,-0.207925231725721,-0.1390585894028
"d_cpi_log",0.355575977557376,0.389659983784465,-0.031788235770505,-0.24872922868313,0.160276751521688,0.0956256065369511,-0.215571350578309,0.202909729296574,0.0500738329324594,-0.0322714007047999,-0.0729428481857267,0.199310434859637,0.698415134684129
"d_policy_rate",0.351389437197298,0.330358742619828,0.294613410442468,0.214572701872851,0.0207934490296308,-0.0656461373058693,0.0993625026794803,0.0954520154970354,-0.0513022591491601,-0.00296440577192245,-0.708870705731344,-0.0609928402677518,-0.319320791726722
"d_cons_durable_log",0.120751512214956,-0.404886979483121,-0.0091680925476943,0.303002946053777,0.0452163389072858,0.376278123680118,-0.223243276436559,0.372615929993237,0.55032395034074,0.284659491015675,-0.0975284982138676,-0.0607753788977046,0.0137076873829868
"d_debt_to_asset_ratio",-0.058755047003593,0.32376338489651,-0.01927303744043,-0.0439991755742726,-0.0678607869128257,0.835608495357907,0.0783351256048348,-0.404057645593197,0.0117056373848315,0.00320006965106327,0.0284693248558018,-0.079310964967874,-0.0996199118336838
"d_dsr_value",0.17537154417977,0.2088836410176,0.464143656179133,0.436770671557215,-0.251534777370534,0.0311654695976846,-0.307879169886036,0.168769378607484,-0.23283245137917,-0.0747135757640449,0.516969542016852,-0.0599702978440176,-0.0354085153699482
"d_liquid_asset_to_income_ratio",-0.118257146725327,-0.237875180440473,0.580046042113918,-0.310848780512087,-0.0866233603370617,0.0561335577958956,0.00957405816651038,-0.0454685478337621,0.31637415378357,-0.598167231802074,-0.0935536247723847,-0.0824806204295709,0.100422409469212
"d_saving_rate",-0.109733819811854,0.335605490052082,-0.27372527552727,0.466153671686418,0.243700051334353,-0.114245544773614,0.318192198609925,0.0595796308357804,0.399864385325239,-0.448445932177085,0.153851149973336,-0.129552634740908,0.0664496975563118
"d_kix_real_log",-0.165339406633291,0.0315442120369245,-0.3315843447086,-0.00362414427810398,-0.741806148437273,0.120788437110936,0.0769235037382289,0.413969950020902,-0.130823224810961,-0.234782246927283,-0.20036527671127,0.00108810803243278,0.0846589048121159
