"","d_unemployment_rate","d_policy_rate","d_house_price_real_log","d_debt_to_asset_ratio","d_dsr_value","d_liquid_asset_to_income_ratio","d_saving_rate","d_cons_habitual_log"
"d_unemployment_rate",1,-0.318864321381577,-0.100190608993248,0.0687269102074791,-0.212975350380254,0.0802740973961547,0.0951530823074207,-0.231882551951834
"d_policy_rate",-0.318864321381577,1,-0.252288923660635,0.0970722616424428,0.513864066748987,-0.135712431156345,0.13244952795363,-0.0148618895666057
"d_house_price_real_log",-0.100190608993248,-0.252288923660635,1,-0.713089203370645,-0.0842984264209514,0.1768467180119,-0.133279214681857,0.239918603150031
"d_debt_to_asset_ratio",0.0687269102074791,0.0970722616424428,-0.713089203370645,1,0.0727330134524354,-0.0969808102503714,0.159847256787914,-0.154380148800135
"d_dsr_value",-0.212975350380254,0.513864066748987,-0.0842984264209514,0.0727330134524354,1,0.0328544359627613,0.0100992757709091,-0.120863273184805
"d_liquid_asset_to_income_ratio",0.0802740973961547,-0.135712431156345,0.1768467180119,-0.0969808102503714,0.0328544359627613,1,-0.374572163700475,-0.169587320878369
"d_saving_rate",0.0951530823074207,0.13244952795363,-0.133279214681857,0.159847256787914,0.0100992757709091,-0.374572163700475,1,-0.393318946900852
"d_cons_habitual_log",-0.231882551951834,-0.0148618895666057,0.239918603150031,-0.154380148800135,-0.120863273184805,-0.169587320878369,-0.393318946900852,1
