"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"Standard deviation",1.4709084878368,1.27694496211889,1.11048871409704,0.943791352759452,0.904881209128536,0.756454478896121,0.674680990268627,0.485473647629462
"Proportion of Variance",0.27045,0.20382,0.15415,0.11134,0.10235,0.07153,0.0569,0.02946
"Cumulative Proportion",0.27045,0.47427,0.62842,0.73976,0.84211,0.91364,0.97054,1
