type of use,quarter,"Constant prices, reference year 2025, SEK million"
"-- household consumption expenditure, incl. NPISH",1997K2,417231
"-- household consumption expenditure, incl. NPISH",1997K3,398745
"-- household consumption expenditure, incl. NPISH",1997K4,437238
"-- household consumption expenditure, incl. NPISH",1998K1,401993
"-- household consumption expenditure, incl. NPISH",1998K2,428178
"-- household consumption expenditure, incl. NPISH",1998K3,414243
"-- household consumption expenditure, incl. NPISH",1998K4,455200
"-- household consumption expenditure, incl. NPISH",1999K1,419225
"-- household consumption expenditure, incl. NPISH",1999K2,443179
"-- household consumption expenditure, incl. NPISH",1999K3,429560
"-- household consumption expenditure, incl. NPISH",1999K4,482584
"-- household consumption expenditure, incl. NPISH",2000K1,450335
"-- household consumption expenditure, incl. NPISH",2000K2,475923
"-- household consumption expenditure, incl. NPISH",2000K3,459138
"-- household consumption expenditure, incl. NPISH",2000K4,497145
"-- household consumption expenditure, incl. NPISH",2001K1,459567
"-- household consumption expenditure, incl. NPISH",2001K2,479499
"-- household consumption expenditure, incl. NPISH",2001K3,462180
"-- household consumption expenditure, incl. NPISH",2001K4,496449
"-- household consumption expenditure, incl. NPISH",2002K1,466784
"-- household consumption expenditure, incl. NPISH",2002K2,490450
"-- household consumption expenditure, incl. NPISH",2002K3,472884
"-- household consumption expenditure, incl. NPISH",2002K4,509748
"-- household consumption expenditure, incl. NPISH",2003K1,470440
"-- household consumption expenditure, incl. NPISH",2003K2,495208
"-- household consumption expenditure, incl. NPISH",2003K3,483227
"-- household consumption expenditure, incl. NPISH",2003K4,521636
"-- household consumption expenditure, incl. NPISH",2004K1,486361
"-- household consumption expenditure, incl. NPISH",2004K2,508387
"-- household consumption expenditure, incl. NPISH",2004K3,496014
"-- household consumption expenditure, incl. NPISH",2004K4,535871
"-- household consumption expenditure, incl. NPISH",2005K1,492928
"-- household consumption expenditure, incl. NPISH",2005K2,526433
"-- household consumption expenditure, incl. NPISH",2005K3,516962
"-- household consumption expenditure, incl. NPISH",2005K4,554378
"-- household consumption expenditure, incl. NPISH",2006K1,507938
"-- household consumption expenditure, incl. NPISH",2006K2,542458
"-- household consumption expenditure, incl. NPISH",2006K3,527612
"-- household consumption expenditure, incl. NPISH",2006K4,572186
"-- household consumption expenditure, incl. NPISH",2007K1,530370
"-- household consumption expenditure, incl. NPISH",2007K2,565050
"-- household consumption expenditure, incl. NPISH",2007K3,555232
"-- household consumption expenditure, incl. NPISH",2007K4,594694
"-- household consumption expenditure, incl. NPISH",2008K1,543491
"-- household consumption expenditure, incl. NPISH",2008K2,578364
"-- household consumption expenditure, incl. NPISH",2008K3,548721
"-- household consumption expenditure, incl. NPISH",2008K4,574532
"-- household consumption expenditure, incl. NPISH",2009K1,536717
"-- household consumption expenditure, incl. NPISH",2009K2,580928
"-- household consumption expenditure, incl. NPISH",2009K3,559528
"-- household consumption expenditure, incl. NPISH",2009K4,591778
"-- household consumption expenditure, incl. NPISH",2010K1,560968
"-- household consumption expenditure, incl. NPISH",2010K2,602313
"-- household consumption expenditure, incl. NPISH",2010K3,581821
"-- household consumption expenditure, incl. NPISH",2010K4,614038
"-- household consumption expenditure, incl. NPISH",2011K1,575880
"-- household consumption expenditure, incl. NPISH",2011K2,618953
"-- household consumption expenditure, incl. NPISH",2011K3,588116
"-- household consumption expenditure, incl. NPISH",2011K4,619906
"-- household consumption expenditure, incl. NPISH",2012K1,584098
"-- household consumption expenditure, incl. NPISH",2012K2,620443
"-- household consumption expenditure, incl. NPISH",2012K3,595818
"-- household consumption expenditure, incl. NPISH",2012K4,629646
"-- household consumption expenditure, incl. NPISH",2013K1,590160
"-- household consumption expenditure, incl. NPISH",2013K2,631454
"-- household consumption expenditure, incl. NPISH",2013K3,608857
"-- household consumption expenditure, incl. NPISH",2013K4,643956
"-- household consumption expenditure, incl. NPISH",2014K1,605649
"-- household consumption expenditure, incl. NPISH",2014K2,651794
"-- household consumption expenditure, incl. NPISH",2014K3,622936
"-- household consumption expenditure, incl. NPISH",2014K4,665648
"-- household consumption expenditure, incl. NPISH",2015K1,632165
"-- household consumption expenditure, incl. NPISH",2015K2,677721
"-- household consumption expenditure, incl. NPISH",2015K3,649346
"-- household consumption expenditure, incl. NPISH",2015K4,693261
"-- household consumption expenditure, incl. NPISH",2016K1,649203
"-- household consumption expenditure, incl. NPISH",2016K2,692101
"-- household consumption expenditure, incl. NPISH",2016K3,662465
"-- household consumption expenditure, incl. NPISH",2016K4,705986
"-- household consumption expenditure, incl. NPISH",2017K1,676080
"-- household consumption expenditure, incl. NPISH",2017K2,706890
"-- household consumption expenditure, incl. NPISH",2017K3,675078
"-- household consumption expenditure, incl. NPISH",2017K4,719538
"-- household consumption expenditure, incl. NPISH",2018K1,683101
"-- household consumption expenditure, incl. NPISH",2018K2,728045
"-- household consumption expenditure, incl. NPISH",2018K3,688777
"-- household consumption expenditure, incl. NPISH",2018K4,730079
"-- household consumption expenditure, incl. NPISH",2019K1,683329
"-- household consumption expenditure, incl. NPISH",2019K2,727904
"-- household consumption expenditure, incl. NPISH",2019K3,702960
"-- household consumption expenditure, incl. NPISH",2019K4,738045
"-- household consumption expenditure, incl. NPISH",2020K1,700370
"-- household consumption expenditure, incl. NPISH",2020K2,671723
"-- household consumption expenditure, incl. NPISH",2020K3,681167
"-- household consumption expenditure, incl. NPISH",2020K4,713478
"-- household consumption expenditure, incl. NPISH",2021K1,679729
"-- household consumption expenditure, incl. NPISH",2021K2,738067
"-- household consumption expenditure, incl. NPISH",2021K3,729827
"-- household consumption expenditure, incl. NPISH",2021K4,775518
"-- household consumption expenditure, incl. NPISH",2022K1,718119
"-- household consumption expenditure, incl. NPISH",2022K2,781897
"-- household consumption expenditure, incl. NPISH",2022K3,735902
"-- household consumption expenditure, incl. NPISH",2022K4,768412
"-- household consumption expenditure, incl. NPISH",2023K1,705564
"-- household consumption expenditure, incl. NPISH",2023K2,758200
"-- household consumption expenditure, incl. NPISH",2023K3,724194
"-- household consumption expenditure, incl. NPISH",2023K4,768037
"-- household consumption expenditure, incl. NPISH",2024K1,714639
"-- household consumption expenditure, incl. NPISH",2024K2,767130
"-- household consumption expenditure, incl. NPISH",2024K3,736910
"-- household consumption expenditure, incl. NPISH",2024K4,778178
"-- household consumption expenditure, incl. NPISH",2025K1,724939
"-- household consumption expenditure, incl. NPISH",2025K2,780022
"-- household consumption expenditure, incl. NPISH",2025K3,754557
"-- household consumption expenditure, incl. NPISH",2025K4,794665
"-- household consumption expenditure, incl. NPISH",2026K1,742941
"--- household final consumption expenditure, excl. NPISH",1980K1,NA
"--- household final consumption expenditure, excl. NPISH",1980K2,NA
"--- household final consumption expenditure, excl. NPISH",1980K3,NA
"--- household final consumption expenditure, excl. NPISH",1980K4,NA
"--- household final consumption expenditure, excl. NPISH",1981K1,324665
"--- household final consumption expenditure, excl. NPISH",1981K2,332471
"--- household final consumption expenditure, excl. NPISH",1981K3,309727
"--- household final consumption expenditure, excl. NPISH",1981K4,347771
"--- household final consumption expenditure, excl. NPISH",1982K1,329173
"--- household final consumption expenditure, excl. NPISH",1982K2,334989
"--- household final consumption expenditure, excl. NPISH",1982K3,311161
"--- household final consumption expenditure, excl. NPISH",1982K4,353386
"--- household final consumption expenditure, excl. NPISH",1983K1,319904
"--- household final consumption expenditure, excl. NPISH",1983K2,324163
"--- household final consumption expenditure, excl. NPISH",1983K3,304792
"--- household final consumption expenditure, excl. NPISH",1983K4,344906
"--- household final consumption expenditure, excl. NPISH",1984K1,329274
"--- household final consumption expenditure, excl. NPISH",1984K2,332330
"--- household final consumption expenditure, excl. NPISH",1984K3,309232
"--- household final consumption expenditure, excl. NPISH",1984K4,346915
"--- household final consumption expenditure, excl. NPISH",1985K1,339257
"--- household final consumption expenditure, excl. NPISH",1985K2,343250
"--- household final consumption expenditure, excl. NPISH",1985K3,316350
"--- household final consumption expenditure, excl. NPISH",1985K4,355441
"--- household final consumption expenditure, excl. NPISH",1986K1,347933
"--- household final consumption expenditure, excl. NPISH",1986K2,358713
"--- household final consumption expenditure, excl. NPISH",1986K3,338545
"--- household final consumption expenditure, excl. NPISH",1986K4,379234
"--- household final consumption expenditure, excl. NPISH",1987K1,369327
"--- household final consumption expenditure, excl. NPISH",1987K2,384858
"--- household final consumption expenditure, excl. NPISH",1987K3,350223
"--- household final consumption expenditure, excl. NPISH",1987K4,397431
"--- household final consumption expenditure, excl. NPISH",1988K1,391291
"--- household final consumption expenditure, excl. NPISH",1988K2,391190
"--- household final consumption expenditure, excl. NPISH",1988K3,362657
"--- household final consumption expenditure, excl. NPISH",1988K4,402675
"--- household final consumption expenditure, excl. NPISH",1989K1,390068
"--- household final consumption expenditure, excl. NPISH",1989K2,398235
"--- household final consumption expenditure, excl. NPISH",1989K3,365025
"--- household final consumption expenditure, excl. NPISH",1989K4,409610
"--- household final consumption expenditure, excl. NPISH",1990K1,387058
"--- household final consumption expenditure, excl. NPISH",1990K2,396491
"--- household final consumption expenditure, excl. NPISH",1990K3,361835
"--- household final consumption expenditure, excl. NPISH",1990K4,391954
"--- household final consumption expenditure, excl. NPISH",1991K1,381150
"--- household final consumption expenditure, excl. NPISH",1991K2,392762
"--- household final consumption expenditure, excl. NPISH",1991K3,363491
"--- household final consumption expenditure, excl. NPISH",1991K4,400848
"--- household final consumption expenditure, excl. NPISH",1992K1,375186
"--- household final consumption expenditure, excl. NPISH",1992K2,386674
"--- household final consumption expenditure, excl. NPISH",1992K3,360963
"--- household final consumption expenditure, excl. NPISH",1992K4,389174
"--- household final consumption expenditure, excl. NPISH",1993K1,347624
"--- household final consumption expenditure, excl. NPISH",1993K2,364224
"--- household final consumption expenditure, excl. NPISH",1993K3,357557
"--- household final consumption expenditure, excl. NPISH",1993K4,394014
"--- household final consumption expenditure, excl. NPISH",1994K1,359841
"--- household final consumption expenditure, excl. NPISH",1994K2,369738
"--- household final consumption expenditure, excl. NPISH",1994K3,362977
"--- household final consumption expenditure, excl. NPISH",1994K4,398496
"--- household final consumption expenditure, excl. NPISH",1995K1,363011
"--- household final consumption expenditure, excl. NPISH",1995K2,376787
"--- household final consumption expenditure, excl. NPISH",1995K3,369311
"--- household final consumption expenditure, excl. NPISH",1995K4,401403
"--- household final consumption expenditure, excl. NPISH",1996K1,369694
"--- household final consumption expenditure, excl. NPISH",1996K2,384972
"--- household final consumption expenditure, excl. NPISH",1996K3,379707
"--- household final consumption expenditure, excl. NPISH",1996K4,410393
"--- household final consumption expenditure, excl. NPISH",1997K1,380150
"--- household final consumption expenditure, excl. NPISH",1997K2,403729
"--- household final consumption expenditure, excl. NPISH",1997K3,387233
"--- household final consumption expenditure, excl. NPISH",1997K4,424612
"--- household final consumption expenditure, excl. NPISH",1998K1,390851
"--- household final consumption expenditure, excl. NPISH",1998K2,414669
"--- household final consumption expenditure, excl. NPISH",1998K3,402442
"--- household final consumption expenditure, excl. NPISH",1998K4,442337
"--- household final consumption expenditure, excl. NPISH",1999K1,408505
"--- household final consumption expenditure, excl. NPISH",1999K2,430521
"--- household final consumption expenditure, excl. NPISH",1999K3,418426
"--- household final consumption expenditure, excl. NPISH",1999K4,470374
"--- household final consumption expenditure, excl. NPISH",2000K1,436543
"--- household final consumption expenditure, excl. NPISH",2000K2,459737
"--- household final consumption expenditure, excl. NPISH",2000K3,445140
"--- household final consumption expenditure, excl. NPISH",2000K4,481467
"--- household final consumption expenditure, excl. NPISH",2001K1,445644
"--- household final consumption expenditure, excl. NPISH",2001K2,462691
"--- household final consumption expenditure, excl. NPISH",2001K3,447969
"--- household final consumption expenditure, excl. NPISH",2001K4,480439
"--- household final consumption expenditure, excl. NPISH",2002K1,452328
"--- household final consumption expenditure, excl. NPISH",2002K2,473035
"--- household final consumption expenditure, excl. NPISH",2002K3,458068
"--- household final consumption expenditure, excl. NPISH",2002K4,493177
"--- household final consumption expenditure, excl. NPISH",2003K1,455089
"--- household final consumption expenditure, excl. NPISH",2003K2,476910
"--- household final consumption expenditure, excl. NPISH",2003K3,467614
"--- household final consumption expenditure, excl. NPISH",2003K4,504214
"--- household final consumption expenditure, excl. NPISH",2004K1,470948
"--- household final consumption expenditure, excl. NPISH",2004K2,490128
"--- household final consumption expenditure, excl. NPISH",2004K3,480438
"--- household final consumption expenditure, excl. NPISH",2004K4,518491
"--- household final consumption expenditure, excl. NPISH",2005K1,477070
"--- household final consumption expenditure, excl. NPISH",2005K2,507478
"--- household final consumption expenditure, excl. NPISH",2005K3,500805
"--- household final consumption expenditure, excl. NPISH",2005K4,535785
"--- household final consumption expenditure, excl. NPISH",2006K1,491950
"--- household final consumption expenditure, excl. NPISH",2006K2,523158
"--- household final consumption expenditure, excl. NPISH",2006K3,511203
"--- household final consumption expenditure, excl. NPISH",2006K4,553692
"--- household final consumption expenditure, excl. NPISH",2007K1,514191
"--- household final consumption expenditure, excl. NPISH",2007K2,545681
"--- household final consumption expenditure, excl. NPISH",2007K3,538709
"--- household final consumption expenditure, excl. NPISH",2007K4,576371
"--- household final consumption expenditure, excl. NPISH",2008K1,526972
"--- household final consumption expenditure, excl. NPISH",2008K2,558816
"--- household final consumption expenditure, excl. NPISH",2008K3,532121
"--- household final consumption expenditure, excl. NPISH",2008K4,555929
"--- household final consumption expenditure, excl. NPISH",2009K1,520644
"--- household final consumption expenditure, excl. NPISH",2009K2,561630
"--- household final consumption expenditure, excl. NPISH",2009K3,543383
"--- household final consumption expenditure, excl. NPISH",2009K4,573886
"--- household final consumption expenditure, excl. NPISH",2010K1,544919
"--- household final consumption expenditure, excl. NPISH",2010K2,582918
"--- household final consumption expenditure, excl. NPISH",2010K3,565511
"--- household final consumption expenditure, excl. NPISH",2010K4,596310
"--- household final consumption expenditure, excl. NPISH",2011K1,560565
"--- household final consumption expenditure, excl. NPISH",2011K2,600531
"--- household final consumption expenditure, excl. NPISH",2011K3,572521
"--- household final consumption expenditure, excl. NPISH",2011K4,602662
"--- household final consumption expenditure, excl. NPISH",2012K1,568788
"--- household final consumption expenditure, excl. NPISH",2012K2,602098
"--- household final consumption expenditure, excl. NPISH",2012K3,580240
"--- household final consumption expenditure, excl. NPISH",2012K4,612722
"--- household final consumption expenditure, excl. NPISH",2013K1,575516
"--- household final consumption expenditure, excl. NPISH",2013K2,614262
"--- household final consumption expenditure, excl. NPISH",2013K3,593889
"--- household final consumption expenditure, excl. NPISH",2013K4,627766
"--- household final consumption expenditure, excl. NPISH",2014K1,590079
"--- household final consumption expenditure, excl. NPISH",2014K2,633781
"--- household final consumption expenditure, excl. NPISH",2014K3,606965
"--- household final consumption expenditure, excl. NPISH",2014K4,648340
"--- household final consumption expenditure, excl. NPISH",2015K1,616063
"--- household final consumption expenditure, excl. NPISH",2015K2,659086
"--- household final consumption expenditure, excl. NPISH",2015K3,632816
"--- household final consumption expenditure, excl. NPISH",2015K4,675378
"--- household final consumption expenditure, excl. NPISH",2016K1,633406
"--- household final consumption expenditure, excl. NPISH",2016K2,673793
"--- household final consumption expenditure, excl. NPISH",2016K3,646136
"--- household final consumption expenditure, excl. NPISH",2016K4,688241
"--- household final consumption expenditure, excl. NPISH",2017K1,659088
"--- household final consumption expenditure, excl. NPISH",2017K2,687484
"--- household final consumption expenditure, excl. NPISH",2017K3,657656
"--- household final consumption expenditure, excl. NPISH",2017K4,700591
"--- household final consumption expenditure, excl. NPISH",2018K1,666354
"--- household final consumption expenditure, excl. NPISH",2018K2,708908
"--- household final consumption expenditure, excl. NPISH",2018K3,671355
"--- household final consumption expenditure, excl. NPISH",2018K4,711540
"--- household final consumption expenditure, excl. NPISH",2019K1,666418
"--- household final consumption expenditure, excl. NPISH",2019K2,708454
"--- household final consumption expenditure, excl. NPISH",2019K3,685513
"--- household final consumption expenditure, excl. NPISH",2019K4,719478
"--- household final consumption expenditure, excl. NPISH",2020K1,682770
"--- household final consumption expenditure, excl. NPISH",2020K2,653008
"--- household final consumption expenditure, excl. NPISH",2020K3,663945
"--- household final consumption expenditure, excl. NPISH",2020K4,694964
"--- household final consumption expenditure, excl. NPISH",2021K1,662348
"--- household final consumption expenditure, excl. NPISH",2021K2,718099
"--- household final consumption expenditure, excl. NPISH",2021K3,711755
"--- household final consumption expenditure, excl. NPISH",2021K4,756331
"--- household final consumption expenditure, excl. NPISH",2022K1,700813
"--- household final consumption expenditure, excl. NPISH",2022K2,762242
"--- household final consumption expenditure, excl. NPISH",2022K3,718145
"--- household final consumption expenditure, excl. NPISH",2022K4,749759
"--- household final consumption expenditure, excl. NPISH",2023K1,688113
"--- household final consumption expenditure, excl. NPISH",2023K2,737490
"--- household final consumption expenditure, excl. NPISH",2023K3,705823
"--- household final consumption expenditure, excl. NPISH",2023K4,747405
"--- household final consumption expenditure, excl. NPISH",2024K1,696004
"--- household final consumption expenditure, excl. NPISH",2024K2,745909
"--- household final consumption expenditure, excl. NPISH",2024K3,717986
"--- household final consumption expenditure, excl. NPISH",2024K4,756585
"--- household final consumption expenditure, excl. NPISH",2025K1,705715
"--- household final consumption expenditure, excl. NPISH",2025K2,757581
"--- household final consumption expenditure, excl. NPISH",2025K3,734638
"--- household final consumption expenditure, excl. NPISH",2025K4,773593
"--- household final consumption expenditure, excl. NPISH",2026K1,723053
--- NPISH final consumption expenditure,1980K1,NA
--- NPISH final consumption expenditure,1980K2,NA
--- NPISH final consumption expenditure,1980K3,NA
--- NPISH final consumption expenditure,1980K4,NA
--- NPISH final consumption expenditure,1981K1,8391
--- NPISH final consumption expenditure,1981K2,7691
--- NPISH final consumption expenditure,1981K3,8487
--- NPISH final consumption expenditure,1981K4,8252
--- NPISH final consumption expenditure,1982K1,8849
--- NPISH final consumption expenditure,1982K2,8134
--- NPISH final consumption expenditure,1982K3,8924
--- NPISH final consumption expenditure,1982K4,8823
--- NPISH final consumption expenditure,1983K1,8993
--- NPISH final consumption expenditure,1983K2,8270
--- NPISH final consumption expenditure,1983K3,9108
--- NPISH final consumption expenditure,1983K4,8863
--- NPISH final consumption expenditure,1984K1,9202
--- NPISH final consumption expenditure,1984K2,8278
--- NPISH final consumption expenditure,1984K3,9107
--- NPISH final consumption expenditure,1984K4,8851
--- NPISH final consumption expenditure,1985K1,9155
--- NPISH final consumption expenditure,1985K2,8322
--- NPISH final consumption expenditure,1985K3,9210
--- NPISH final consumption expenditure,1985K4,8894
--- NPISH final consumption expenditure,1986K1,9885
--- NPISH final consumption expenditure,1986K2,8998
--- NPISH final consumption expenditure,1986K3,9885
--- NPISH final consumption expenditure,1986K4,9657
--- NPISH final consumption expenditure,1987K1,10407
--- NPISH final consumption expenditure,1987K2,9610
--- NPISH final consumption expenditure,1987K3,10490
--- NPISH final consumption expenditure,1987K4,10194
--- NPISH final consumption expenditure,1988K1,10838
--- NPISH final consumption expenditure,1988K2,10004
--- NPISH final consumption expenditure,1988K3,10895
--- NPISH final consumption expenditure,1988K4,10685
--- NPISH final consumption expenditure,1989K1,11204
--- NPISH final consumption expenditure,1989K2,10357
--- NPISH final consumption expenditure,1989K3,11326
--- NPISH final consumption expenditure,1989K4,11058
--- NPISH final consumption expenditure,1990K1,12657
--- NPISH final consumption expenditure,1990K2,11912
--- NPISH final consumption expenditure,1990K3,12820
--- NPISH final consumption expenditure,1990K4,12707
--- NPISH final consumption expenditure,1991K1,13415
--- NPISH final consumption expenditure,1991K2,12697
--- NPISH final consumption expenditure,1991K3,13596
--- NPISH final consumption expenditure,1991K4,13304
--- NPISH final consumption expenditure,1992K1,13510
--- NPISH final consumption expenditure,1992K2,12552
--- NPISH final consumption expenditure,1992K3,13402
--- NPISH final consumption expenditure,1992K4,13025
--- NPISH final consumption expenditure,1993K1,11420
--- NPISH final consumption expenditure,1993K2,15552
--- NPISH final consumption expenditure,1993K3,12116
--- NPISH final consumption expenditure,1993K4,14572
--- NPISH final consumption expenditure,1994K1,11116
--- NPISH final consumption expenditure,1994K2,15762
--- NPISH final consumption expenditure,1994K3,11729
--- NPISH final consumption expenditure,1994K4,13766
--- NPISH final consumption expenditure,1995K1,9634
--- NPISH final consumption expenditure,1995K2,16430
--- NPISH final consumption expenditure,1995K3,9862
--- NPISH final consumption expenditure,1995K4,11122
--- NPISH final consumption expenditure,1996K1,10556
--- NPISH final consumption expenditure,1996K2,13560
--- NPISH final consumption expenditure,1996K3,11085
--- NPISH final consumption expenditure,1996K4,12230
--- NPISH final consumption expenditure,1997K1,10987
--- NPISH final consumption expenditure,1997K2,13935
--- NPISH final consumption expenditure,1997K3,11380
--- NPISH final consumption expenditure,1997K4,12484
--- NPISH final consumption expenditure,1998K1,10851
--- NPISH final consumption expenditure,1998K2,13793
--- NPISH final consumption expenditure,1998K3,11617
--- NPISH final consumption expenditure,1998K4,12624
--- NPISH final consumption expenditure,1999K1,10151
--- NPISH final consumption expenditure,1999K2,12482
--- NPISH final consumption expenditure,1999K3,10598
--- NPISH final consumption expenditure,1999K4,11513
--- NPISH final consumption expenditure,2000K1,13865
--- NPISH final consumption expenditure,2000K2,16742
--- NPISH final consumption expenditure,2000K3,14055
--- NPISH final consumption expenditure,2000K4,15892
--- NPISH final consumption expenditure,2001K1,13991
--- NPISH final consumption expenditure,2001K2,17419
--- NPISH final consumption expenditure,2001K3,14329
--- NPISH final consumption expenditure,2001K4,16314
--- NPISH final consumption expenditure,2002K1,14608
--- NPISH final consumption expenditure,2002K2,18065
--- NPISH final consumption expenditure,2002K3,15008
--- NPISH final consumption expenditure,2002K4,16911
--- NPISH final consumption expenditure,2003K1,15677
--- NPISH final consumption expenditure,2003K2,19067
--- NPISH final consumption expenditure,2003K3,15916
--- NPISH final consumption expenditure,2003K4,17862
--- NPISH final consumption expenditure,2004K1,15653
--- NPISH final consumption expenditure,2004K2,18948
--- NPISH final consumption expenditure,2004K3,15792
--- NPISH final consumption expenditure,2004K4,17726
--- NPISH final consumption expenditure,2005K1,16158
--- NPISH final consumption expenditure,2005K2,19635
--- NPISH final consumption expenditure,2005K3,16388
--- NPISH final consumption expenditure,2005K4,19067
--- NPISH final consumption expenditure,2006K1,16249
--- NPISH final consumption expenditure,2006K2,19940
--- NPISH final consumption expenditure,2006K3,16649
--- NPISH final consumption expenditure,2006K4,18867
--- NPISH final consumption expenditure,2007K1,16390
--- NPISH final consumption expenditure,2007K2,19900
--- NPISH final consumption expenditure,2007K3,16683
--- NPISH final consumption expenditure,2007K4,18584
--- NPISH final consumption expenditure,2008K1,16730
--- NPISH final consumption expenditure,2008K2,20039
--- NPISH final consumption expenditure,2008K3,16803
--- NPISH final consumption expenditure,2008K4,18980
--- NPISH final consumption expenditure,2009K1,16267
--- NPISH final consumption expenditure,2009K2,19729
--- NPISH final consumption expenditure,2009K3,16275
--- NPISH final consumption expenditure,2009K4,18126
--- NPISH final consumption expenditure,2010K1,16187
--- NPISH final consumption expenditure,2010K2,19751
--- NPISH final consumption expenditure,2010K3,16421
--- NPISH final consumption expenditure,2010K4,17893
--- NPISH final consumption expenditure,2011K1,15353
--- NPISH final consumption expenditure,2011K2,18642
--- NPISH final consumption expenditure,2011K3,15630
--- NPISH final consumption expenditure,2011K4,17355
--- NPISH final consumption expenditure,2012K1,15342
--- NPISH final consumption expenditure,2012K2,18537
--- NPISH final consumption expenditure,2012K3,15607
--- NPISH final consumption expenditure,2012K4,16990
--- NPISH final consumption expenditure,2013K1,14634
--- NPISH final consumption expenditure,2013K2,17276
--- NPISH final consumption expenditure,2013K3,14949
--- NPISH final consumption expenditure,2013K4,16193
--- NPISH final consumption expenditure,2014K1,15589
--- NPISH final consumption expenditure,2014K2,18071
--- NPISH final consumption expenditure,2014K3,15988
--- NPISH final consumption expenditure,2014K4,17335
--- NPISH final consumption expenditure,2015K1,16119
--- NPISH final consumption expenditure,2015K2,18688
--- NPISH final consumption expenditure,2015K3,16548
--- NPISH final consumption expenditure,2015K4,17908
--- NPISH final consumption expenditure,2016K1,15808
--- NPISH final consumption expenditure,2016K2,18342
--- NPISH final consumption expenditure,2016K3,16343
--- NPISH final consumption expenditure,2016K4,17764
--- NPISH final consumption expenditure,2017K1,17012
--- NPISH final consumption expenditure,2017K2,19445
--- NPISH final consumption expenditure,2017K3,17447
--- NPISH final consumption expenditure,2017K4,18977
--- NPISH final consumption expenditure,2018K1,16772
--- NPISH final consumption expenditure,2018K2,19168
--- NPISH final consumption expenditure,2018K3,17449
--- NPISH final consumption expenditure,2018K4,18566
--- NPISH final consumption expenditure,2019K1,16944
--- NPISH final consumption expenditure,2019K2,19462
--- NPISH final consumption expenditure,2019K3,17481
--- NPISH final consumption expenditure,2019K4,18599
--- NPISH final consumption expenditure,2020K1,17631
--- NPISH final consumption expenditure,2020K2,18708
--- NPISH final consumption expenditure,2020K3,17250
--- NPISH final consumption expenditure,2020K4,18533
--- NPISH final consumption expenditure,2021K1,17407
--- NPISH final consumption expenditure,2021K2,19969
--- NPISH final consumption expenditure,2021K3,18113
--- NPISH final consumption expenditure,2021K4,19230
--- NPISH final consumption expenditure,2022K1,17372
--- NPISH final consumption expenditure,2022K2,19696
--- NPISH final consumption expenditure,2022K3,17824
--- NPISH final consumption expenditure,2022K4,18720
--- NPISH final consumption expenditure,2023K1,17499
--- NPISH final consumption expenditure,2023K2,20691
--- NPISH final consumption expenditure,2023K3,18404
--- NPISH final consumption expenditure,2023K4,20628
--- NPISH final consumption expenditure,2024K1,18649
--- NPISH final consumption expenditure,2024K2,21211
--- NPISH final consumption expenditure,2024K3,18946
--- NPISH final consumption expenditure,2024K4,21582
--- NPISH final consumption expenditure,2025K1,19224
--- NPISH final consumption expenditure,2025K2,22441
--- NPISH final consumption expenditure,2025K3,19919
--- NPISH final consumption expenditure,2025K4,21072
--- NPISH final consumption expenditure,2026K1,19888
-- general government final consumption expenditure,1980K1,NA
-- general government final consumption expenditure,1980K2,NA
-- general government final consumption expenditure,1980K3,NA
-- general government final consumption expenditure,1980K4,NA
-- general government final consumption expenditure,1981K1,271628
-- general government final consumption expenditure,1981K2,279496
-- general government final consumption expenditure,1981K3,241413
-- general government final consumption expenditure,1981K4,259995
-- general government final consumption expenditure,1982K1,273763
-- general government final consumption expenditure,1982K2,281231
-- general government final consumption expenditure,1982K3,243204
-- general government final consumption expenditure,1982K4,265681
-- general government final consumption expenditure,1983K1,276136
-- general government final consumption expenditure,1983K2,282396
-- general government final consumption expenditure,1983K3,243787
-- general government final consumption expenditure,1983K4,269162
-- general government final consumption expenditure,1984K1,279971
-- general government final consumption expenditure,1984K2,286583
-- general government final consumption expenditure,1984K3,249383
-- general government final consumption expenditure,1984K4,275502
-- general government final consumption expenditure,1985K1,285019
-- general government final consumption expenditure,1985K2,293411
-- general government final consumption expenditure,1985K3,250991
-- general government final consumption expenditure,1985K4,277450
-- general government final consumption expenditure,1986K1,294021
-- general government final consumption expenditure,1986K2,298156
-- general government final consumption expenditure,1986K3,255488
-- general government final consumption expenditure,1986K4,281698
-- general government final consumption expenditure,1987K1,296920
-- general government final consumption expenditure,1987K2,299680
-- general government final consumption expenditure,1987K3,255197
-- general government final consumption expenditure,1987K4,288904
-- general government final consumption expenditure,1988K1,300117
-- general government final consumption expenditure,1988K2,303324
-- general government final consumption expenditure,1988K3,255828
-- general government final consumption expenditure,1988K4,289432
-- general government final consumption expenditure,1989K1,305651
-- general government final consumption expenditure,1989K2,308531
-- general government final consumption expenditure,1989K3,263172
-- general government final consumption expenditure,1989K4,293327
-- general government final consumption expenditure,1990K1,308736
-- general government final consumption expenditure,1990K2,317642
-- general government final consumption expenditure,1990K3,272153
-- general government final consumption expenditure,1990K4,307262
-- general government final consumption expenditure,1991K1,318815
-- general government final consumption expenditure,1991K2,325134
-- general government final consumption expenditure,1991K3,284545
-- general government final consumption expenditure,1991K4,327191
-- general government final consumption expenditure,1992K1,339682
-- general government final consumption expenditure,1992K2,343474
-- general government final consumption expenditure,1992K3,287687
-- general government final consumption expenditure,1992K4,317531
