type of use,quarter,"Constant prices, reference year 2025, SEK million"
- GDP at market prices,2025K1,1602084
- GDP at market prices,2025K2,1700138
- GDP at market prices,2025K3,1558876
- GDP at market prices,2025K4,1792414
- GDP at market prices,2026K1,1634416
- Imports of goods and services,1980K1,NA
- Imports of goods and services,1980K2,NA
- Imports of goods and services,1980K3,NA
- Imports of goods and services,1980K4,NA
- Imports of goods and services,1981K1,128703
- Imports of goods and services,1981K2,131845
- Imports of goods and services,1981K3,131640
- Imports of goods and services,1981K4,138848
- Imports of goods and services,1982K1,129992
- Imports of goods and services,1982K2,136976
- Imports of goods and services,1982K3,137841
- Imports of goods and services,1982K4,151699
- Imports of goods and services,1983K1,133186
- Imports of goods and services,1983K2,138356
- Imports of goods and services,1983K3,138026
- Imports of goods and services,1983K4,152043
- Imports of goods and services,1984K1,140887
- Imports of goods and services,1984K2,147143
- Imports of goods and services,1984K3,143804
- Imports of goods and services,1984K4,159114
- Imports of goods and services,1985K1,156291
- Imports of goods and services,1985K2,161769
- Imports of goods and services,1985K3,155133
- Imports of goods and services,1985K4,163665
- Imports of goods and services,1986K1,147927
- Imports of goods and services,1986K2,172185
- Imports of goods and services,1986K3,164988
- Imports of goods and services,1986K4,174776
- Imports of goods and services,1987K1,160387
- Imports of goods and services,1987K2,175428
- Imports of goods and services,1987K3,177051
- Imports of goods and services,1987K4,196297
- Imports of goods and services,1988K1,174841
- Imports of goods and services,1988K2,185844
- Imports of goods and services,1988K3,182294
- Imports of goods and services,1988K4,202172
- Imports of goods and services,1989K1,187818
- Imports of goods and services,1989K2,202680
- Imports of goods and services,1989K3,194695
- Imports of goods and services,1989K4,216633
- Imports of goods and services,1990K1,201167
- Imports of goods and services,1990K2,206455
- Imports of goods and services,1990K3,195426
- Imports of goods and services,1990K4,206532
- Imports of goods and services,1991K1,184034
- Imports of goods and services,1991K2,192406
- Imports of goods and services,1991K3,192771
- Imports of goods and services,1991K4,200300
- Imports of goods and services,1992K1,193761
- Imports of goods and services,1992K2,194628
- Imports of goods and services,1992K3,197117
- Imports of goods and services,1992K4,196050
- Imports of goods and services,1993K1,181829
- Imports of goods and services,1993K2,184844
- Imports of goods and services,1993K3,183794
- Imports of goods and services,1993K4,208032
- Imports of goods and services,1994K1,199058
- Imports of goods and services,1994K2,212650
- Imports of goods and services,1994K3,204570
- Imports of goods and services,1994K4,239794
- Imports of goods and services,1995K1,224896
- Imports of goods and services,1995K2,227069
- Imports of goods and services,1995K3,221435
- Imports of goods and services,1995K4,244666
- Imports of goods and services,1996K1,231156
- Imports of goods and services,1996K2,233246
- Imports of goods and services,1996K3,228434
- Imports of goods and services,1996K4,258022
- Imports of goods and services,1997K1,246252
- Imports of goods and services,1997K2,270168
- Imports of goods and services,1997K3,261086
- Imports of goods and services,1997K4,291488
- Imports of goods and services,1998K1,287634
- Imports of goods and services,1998K2,294345
- Imports of goods and services,1998K3,286533
- Imports of goods and services,1998K4,317768
- Imports of goods and services,1999K1,300157
- Imports of goods and services,1999K2,308051
- Imports of goods and services,1999K3,304681
- Imports of goods and services,1999K4,339567
- Imports of goods and services,2000K1,336270
- Imports of goods and services,2000K2,350201
- Imports of goods and services,2000K3,347710
- Imports of goods and services,2000K4,375543
- Imports of goods and services,2001K1,361837
- Imports of goods and services,2001K2,346289
- Imports of goods and services,2001K3,325806
- Imports of goods and services,2001K4,356500
- Imports of goods and services,2002K1,343648
- Imports of goods and services,2002K2,347932
- Imports of goods and services,2002K3,324488
- Imports of goods and services,2002K4,361113
- Imports of goods and services,2003K1,351575
- Imports of goods and services,2003K2,351769
- Imports of goods and services,2003K3,339691
- Imports of goods and services,2003K4,378921
- Imports of goods and services,2004K1,360412
- Imports of goods and services,2004K2,380879
- Imports of goods and services,2004K3,365600
- Imports of goods and services,2004K4,413073
- Imports of goods and services,2005K1,377346
- Imports of goods and services,2005K2,407447
- Imports of goods and services,2005K3,391317
- Imports of goods and services,2005K4,447797
- Imports of goods and services,2006K1,421410
- Imports of goods and services,2006K2,432923
- Imports of goods and services,2006K3,422773
- Imports of goods and services,2006K4,479459
- Imports of goods and services,2007K1,460703
- Imports of goods and services,2007K2,468375
- Imports of goods and services,2007K3,469055
- Imports of goods and services,2007K4,514150
- Imports of goods and services,2008K1,489709
- Imports of goods and services,2008K2,512032
- Imports of goods and services,2008K3,477668
- Imports of goods and services,2008K4,487011
- Imports of goods and services,2009K1,419932
- Imports of goods and services,2009K2,405349
- Imports of goods and services,2009K3,412080
- Imports of goods and services,2009K4,453360
- Imports of goods and services,2010K1,439281
- Imports of goods and services,2010K2,474044
- Imports of goods and services,2010K3,472312
- Imports of goods and services,2010K4,510953
- Imports of goods and services,2011K1,494249
- Imports of goods and services,2011K2,510603
- Imports of goods and services,2011K3,494112
- Imports of goods and services,2011K4,524881
- Imports of goods and services,2012K1,508800
- Imports of goods and services,2012K2,512291
- Imports of goods and services,2012K3,493855
- Imports of goods and services,2012K4,520052
- Imports of goods and services,2013K1,492242
- Imports of goods and services,2013K2,519558
- Imports of goods and services,2013K3,502085
- Imports of goods and services,2013K4,538920
- Imports of goods and services,2014K1,518512
- Imports of goods and services,2014K2,544644
- Imports of goods and services,2014K3,534179
- Imports of goods and services,2014K4,588958
- Imports of goods and services,2015K1,555318
- Imports of goods and services,2015K2,562861
- Imports of goods and services,2015K3,568237
- Imports of goods and services,2015K4,626504
- Imports of goods and services,2016K1,592794
- Imports of goods and services,2016K2,617306
- Imports of goods and services,2016K3,590191
- Imports of goods and services,2016K4,642851
- Imports of goods and services,2017K1,609222
- Imports of goods and services,2017K2,633305
- Imports of goods and services,2017K3,625525
- Imports of goods and services,2017K4,682402
- Imports of goods and services,2018K1,648512
- Imports of goods and services,2018K2,666359
- Imports of goods and services,2018K3,632222
- Imports of goods and services,2018K4,710020
- Imports of goods and services,2019K1,669413
- Imports of goods and services,2019K2,680601
- Imports of goods and services,2019K3,661477
- Imports of goods and services,2019K4,698345
- Imports of goods and services,2020K1,652924
- Imports of goods and services,2020K2,581929
- Imports of goods and services,2020K3,609347
- Imports of goods and services,2020K4,694864
- Imports of goods and services,2021K1,682872
- Imports of goods and services,2021K2,701056
- Imports of goods and services,2021K3,700742
- Imports of goods and services,2021K4,794226
- Imports of goods and services,2022K1,755410
- Imports of goods and services,2022K2,791438
- Imports of goods and services,2022K3,779376
- Imports of goods and services,2022K4,834840
- Imports of goods and services,2023K1,779288
- Imports of goods and services,2023K2,790336
- Imports of goods and services,2023K3,743392
- Imports of goods and services,2023K4,829101
- Imports of goods and services,2024K1,769637
- Imports of goods and services,2024K2,792588
- Imports of goods and services,2024K3,778373
- Imports of goods and services,2024K4,844261
- Imports of goods and services,2025K1,793738
- Imports of goods and services,2025K2,838210
- Imports of goods and services,2025K3,817510
- Imports of goods and services,2025K4,872133
- Imports of goods and services,2026K1,842096
-- imports of goods,1980K1,NA
-- imports of goods,1980K2,NA
-- imports of goods,1980K3,NA
-- imports of goods,1980K4,NA
-- imports of goods,1981K1,87503
-- imports of goods,1981K2,87170
-- imports of goods,1981K3,85121
-- imports of goods,1981K4,96371
-- imports of goods,1982K1,88009
-- imports of goods,1982K2,90557
-- imports of goods,1982K3,89229
-- imports of goods,1982K4,106548
-- imports of goods,1983K1,91620
-- imports of goods,1983K2,92245
-- imports of goods,1983K3,91120
-- imports of goods,1983K4,105325
-- imports of goods,1984K1,98121
-- imports of goods,1984K2,99824
-- imports of goods,1984K3,92938
-- imports of goods,1984K4,108725
-- imports of goods,1985K1,108948
-- imports of goods,1985K2,110572
-- imports of goods,1985K3,101819
-- imports of goods,1985K4,111688
-- imports of goods,1986K1,102867
-- imports of goods,1986K2,117174
-- imports of goods,1986K3,110321
-- imports of goods,1986K4,121022
-- imports of goods,1987K1,113794
-- imports of goods,1987K2,120389
-- imports of goods,1987K3,115563
-- imports of goods,1987K4,134818
-- imports of goods,1988K1,121496
-- imports of goods,1988K2,126142
-- imports of goods,1988K3,118758
-- imports of goods,1988K4,140478
-- imports of goods,1989K1,128888
-- imports of goods,1989K2,137080
-- imports of goods,1989K3,126175
-- imports of goods,1989K4,148604
-- imports of goods,1990K1,138400
-- imports of goods,1990K2,137338
-- imports of goods,1990K3,124307
-- imports of goods,1990K4,137386
-- imports of goods,1991K1,126517
-- imports of goods,1991K2,129958
-- imports of goods,1991K3,121460
-- imports of goods,1991K4,132635
-- imports of goods,1992K1,129714
-- imports of goods,1992K2,127657
-- imports of goods,1992K3,119065
-- imports of goods,1992K4,128837
-- imports of goods,1993K1,125474
-- imports of goods,1993K2,127945
-- imports of goods,1993K3,120763
-- imports of goods,1993K4,143720
-- imports of goods,1994K1,137875
-- imports of goods,1994K2,148088
-- imports of goods,1994K3,136028
-- imports of goods,1994K4,172206
-- imports of goods,1995K1,159116
