"Variable","Shock","Horizon","Mean","Median","Lower_90","Lower_68","Upper_68","Upper_90"
"gdp_growth","gdp_growth",1,0.113654581050046,0.0599787437605556,0.000417257425501946,0.00551443610420771,0.233028175439313,0.400806871294374
"gdp_growth","gdp_growth",2,0.113080080819961,0.0733842984711194,0.00502069912347973,0.0199875845032699,0.216317007584942,0.361318527324183
"gdp_growth","gdp_growth",3,0.112804616816115,0.0751429085336003,0.0103147064182755,0.0242102541869998,0.211653311148818,0.346237206300267
"gdp_growth","gdp_growth",4,0.112389876060308,0.0761043847411782,0.012445703781383,0.0270047088869087,0.205579112434682,0.339622158469633
"gdp_growth","gdp_growth",5,0.112790269968224,0.0774422834777119,0.0155212582390632,0.0290692597787954,0.204490954008445,0.328518196115698
"gdp_growth","gdp_growth",6,0.112840967460508,0.0780696310480015,0.0163600621643586,0.0302117191213695,0.202458259144689,0.325441798041799
"gdp_growth","gdp_growth",7,0.112942792876722,0.0792650748231838,0.0185377283982005,0.0312708324681053,0.199777947630892,0.320343792237329
"gdp_growth","gdp_growth",8,0.112970591632302,0.0798975359667479,0.018751029886127,0.0318147098093403,0.200201181819981,0.31874380473337
"gdp_growth","gdp_growth",9,0.113095549991524,0.0807367085955928,0.019386997509865,0.0328031206157943,0.203878706978765,0.317860314003018
"gdp_growth","gdp_growth",10,0.113095375381505,0.0811299800423733,0.0197223725794268,0.033614413592884,0.202026902204895,0.316746260934838
"gdp_growth","gdp_growth",11,0.113119694960003,0.0812280765405654,0.0198642712376262,0.0341550110293074,0.200500799875462,0.314893741698998
"gdp_growth","gdp_growth",12,0.113156596659548,0.0818575305601767,0.020343858524145,0.0348240464812182,0.199947500888355,0.314688385957661
"gdp_growth","gdp_growth",13,0.113152830259012,0.0816352476215102,0.0212686697781822,0.0352067350758207,0.200407184719799,0.314247473358441
"gdp_growth","gdp_growth",14,0.11315823230292,0.0817037279353664,0.0215046814685482,0.0353098944765706,0.201621182417308,0.313976690875514
"gdp_growth","gdp_growth",15,0.113158214470676,0.0817988372129863,0.0217447407281184,0.0354879099037149,0.201117199353685,0.313535774093454
"gdp_growth","gdp_growth",16,0.113186528340739,0.0817435818522713,0.0217900585244757,0.0356065471930653,0.200962780408299,0.313227493169797
"gdp_growth","gdp_growth",17,0.11319374891001,0.0816785027519455,0.0218577241392005,0.0356703387058452,0.200668437860347,0.312992280154334
"gdp_growth","gdp_growth",18,0.113210240512314,0.0817606572956365,0.0218469560194499,0.0356882743099426,0.200414219208945,0.312766702914781
"gdp_growth","gdp_growth",19,0.113211991949518,0.0818003124510042,0.0219046863931261,0.0360443514242768,0.200153383118752,0.312293037929368
"gdp_growth","gdp_growth",20,0.113229700003747,0.0818599154844433,0.0218938055470333,0.0360803455317455,0.200026494135587,0.312139823173625
"gdp_growth","gdp_growth",21,0.113229269835538,0.0822068791367148,0.0219321144476875,0.0360730772808458,0.199874930017928,0.31194855776935
"gdp_growth","consumption_growth",1,0.117219993913834,0.0615977081428636,0.000529822512023605,0.00696596136178664,0.245867348146525,0.424389006011745
"gdp_growth","consumption_growth",2,0.114853289829891,0.0761968238255964,0.00595548991410362,0.0169844407178116,0.220251274350926,0.36378679378221
"gdp_growth","consumption_growth",3,0.115116424501931,0.0809810096548906,0.0107112692978778,0.0208413828795087,0.217031410941283,0.356271141991324
"gdp_growth","consumption_growth",4,0.114865516086174,0.0821741860851893,0.0129998459081169,0.0253317747042462,0.212366897627678,0.348037822732477
"gdp_growth","consumption_growth",5,0.114722029435736,0.0842319817507448,0.0152250300852506,0.0283571333962322,0.206313556824865,0.342491374154716
"gdp_growth","consumption_growth",6,0.11459662072468,0.084497294738343,0.0161040100975421,0.0287986221522662,0.206604816449476,0.338264577727848
"gdp_growth","consumption_growth",7,0.114505763212354,0.0848579456221581,0.0177367797070092,0.0298189885777741,0.204513971941705,0.335826307007274
"gdp_growth","consumption_growth",8,0.114453467419207,0.0852080836900495,0.0186603129014251,0.0301999455050026,0.203053922627564,0.336049427304425
"gdp_growth","consumption_growth",9,0.114449334128557,0.0852816057418618,0.0186825546343229,0.0313260364012673,0.203646287664672,0.336305599221946
"gdp_growth","consumption_growth",10,0.114457180143814,0.0852282901646788,0.0189002578082734,0.0322606048960999,0.20258206136283,0.335062554884894
"gdp_growth","consumption_growth",11,0.114443908283436,0.0853254909457693,0.0193260811958483,0.0327444053763546,0.201978682584167,0.334323776714846
"gdp_growth","consumption_growth",12,0.114473595794846,0.0859103880947464,0.0192857750256181,0.0332673003080837,0.201646969962985,0.333623523652231
"gdp_growth","consumption_growth",13,0.114490890364961,0.0858190575838439,0.0193091210146788,0.0335613011203129,0.200465543147027,0.333163814888431
"gdp_growth","consumption_growth",14,0.114514554279568,0.0858810749878188,0.019946701530918,0.0335574203269468,0.199677476082978,0.332721910060285
"gdp_growth","consumption_growth",15,0.114528613857838,0.0862832358967988,0.0201192377313824,0.0335521091948326,0.19908643899085,0.331690964335808
