"Variable","Shock","Horizon","Mean","Median","Lower_90","Lower_68","Upper_68","Upper_90"
"gdp_growth","gdp_growth",1,-0.0065887724592094,-0.00277348816552898,-0.707090593639691,-0.451323438642409,0.439731863527387,0.694760399816116
"gdp_growth","gdp_growth",2,0.00260845941537197,0.003203628189381,-0.32881503960132,-0.203443358981379,0.20709538728032,0.334414231956807
"gdp_growth","gdp_growth",3,-0.000893358007035042,-0.00141684390459369,-0.213652598095744,-0.130356650197253,0.127521976171569,0.215186045797951
"gdp_growth","gdp_growth",4,0.00109063509962363,0.00148166566901038,-0.162387953807859,-0.0978713429685606,0.0994994199608052,0.165711331629184
"gdp_growth","gdp_growth",5,-7.55861962166143e-05,-0.000396635790429752,-0.166593048589091,-0.101248445062429,0.102283810886572,0.166284218395465
"gdp_growth","gdp_growth",6,0.00012954339050432,0.000349590991341424,-0.115178056212046,-0.069423441399708,0.0693512709263335,0.113730911899388
"gdp_growth","gdp_growth",7,0.000144278914637242,0.00012670900769267,-0.11462800590017,-0.0687572945027372,0.0690692368696135,0.116184662304703
"gdp_growth","gdp_growth",8,-0.000222454815819859,-0.000208613929835781,-0.0865874885665524,-0.0515948739123841,0.0509198785516502,0.0861323229373529
"gdp_growth","gdp_growth",9,4.30338241803719e-05,0.000324226845312746,-0.0846094471076173,-0.0489396963125485,0.0493878902686529,0.0831033299099663
"gdp_growth","gdp_growth",10,0.000609486661925975,0.000519620067524509,-0.0705266499496111,-0.0404223346065408,0.0418799524877068,0.0716156736178347
"gdp_growth","gdp_growth",11,0.000176688507729506,0.000216388946329407,-0.0733909952600998,-0.0406003785074217,0.0419003536008378,0.072903712083434
"gdp_growth","gdp_growth",12,0.000425601235068502,0.000639656887469347,-0.058604258935507,-0.0332555579866443,0.0337856942857361,0.0600931915518178
"gdp_growth","gdp_growth",13,0.000173706673996483,0.000462023799975605,-0.0571247448263007,-0.0322867699708185,0.0323988694914678,0.0572087725810671
"gdp_growth","gdp_growth",14,0.000595186595937414,0.000543775813299002,-0.0513064783320507,-0.028286689215857,0.0299629953172817,0.0527868943496793
"gdp_growth","gdp_growth",15,0.00021080245823652,0.000357040303460903,-0.0527789747254355,-0.0294020696033916,0.0295617134390064,0.0533872677110767
