"Variable","Shock","Impact_Q0","Peak_Response","Peak_Horizon","Peak_95_Significant"
"Unemployment","Monetary Policy Shock",0.0671043358831732,0.105810790198683,12,""
"Interest","Monetary Policy Shock",0.0718956479988516,0.116062365683627,3,""
"House Price","Monetary Policy Shock",-0.000822432468769776,-0.00522483839957999,9,""
"DTA","Monetary Policy Shock",-0.0116128366184867,0.105356846616787,7,""
"DSR","Monetary Policy Shock",0.0455144284687456,0.0515940806811427,2,"*"
"LAI","Monetary Policy Shock",-0.450712078425532,-0.610177051179374,4,""
"Savings","Monetary Policy Shock",0.045391286978104,0.127589697306222,3,""
"Durables","Monetary Policy Shock",-5.68016146065167e-05,-0.00476508541428307,5,""
"Unemployment","Adverse Macro Shock",0.0709812366829366,0.117761769668646,3,"*"
"Interest","Adverse Macro Shock",-0.073417888650763,-0.170200461158121,4,"*"
"House Price","Adverse Macro Shock",5.12482428111197e-07,0.00441744657287137,8,""
"DTA","Adverse Macro Shock",0.0170636427898362,-0.0798862180796505,8,""
"DSR","Adverse Macro Shock",-0.0200712381820101,-0.0505420144838196,4,""
"LAI","Adverse Macro Shock",-0.285870126271149,0.92710455219078,7,""
"Savings","Adverse Macro Shock",0.00280052945656351,-0.0717402247732052,5,""
"Durables","Adverse Macro Shock",-0.00278397323340095,-0.00278397323340095,0,""
"Unemployment","Asset Shock",-0.00512499586598788,0.0290156058790147,7,""
"Interest","Asset Shock",0.00621599097759542,-0.0147852704353523,10,""
"House Price","Asset Shock",-0.00378084804742858,-0.00839804948731481,6,""
"DTA","Asset Shock",0.139057358346048,0.270634017345893,5,""
"DSR","Asset Shock",0.00255603053408682,-0.00621231877986159,10,""
"LAI","Asset Shock",-0.421216265253609,-0.719584833927204,2,""
"Savings","Asset Shock",0.022152927721909,0.0974023142490793,3,""
"Durables","Asset Shock",-0.00165626511525298,-0.00502243182980584,3,""
