"Variable","Shock","Impact_Q0","Peak_Response","Peak_Horizon","Peak_68_Significant"
"Unemployment (pp)","Monetary Policy Shock",0.0565113189662084,0.0737775813599968,7,"*"
"Interest (pp)","Monetary Policy Shock",0.0851960108534904,0.0851960108534904,0,"*"
"Real House Price (Log)","Monetary Policy Shock",-0.0010577092534697,-0.00329254532278199,13,""
"DTA (pp)","Monetary Policy Shock",-0.0101637571893185,0.0342412299935993,11,""
"DSR (pp)","Monetary Policy Shock",0.0166872505391516,0.0166872505391516,0,""
"LAI (pp)","Monetary Policy Shock",-0.232748767480427,0.551837527706138,20,""
"Savings (pp)","Monetary Policy Shock",0.0118962209274383,-0.0659191271022796,24,""
"Durables (Log)","Monetary Policy Shock",-0.000847402268263605,0.00284331400430267,29,""
"Unemployment (pp)","Adverse Macro Shock",0.085810017203435,0.085810017203435,0,"*"
"Interest (pp)","Adverse Macro Shock",-0.102709532833561,-0.102709532833561,0,"*"
"Real House Price (Log)","Adverse Macro Shock",0.00075394503201522,0.00489573234015491,13,"*"
"DTA (pp)","Adverse Macro Shock",-0.0107431418152295,-0.130138932111835,13,""
"DSR (pp)","Adverse Macro Shock",-0.0390579922256356,-0.0390579922256356,0,""
"LAI (pp)","Adverse Macro Shock",-0.278917206281399,0.77974402100532,9,""
"Savings (pp)","Adverse Macro Shock",0.0711373748745746,0.0711373748745746,0,""
"Durables (Log)","Adverse Macro Shock",-0.000143584208771956,0.00730126877165873,12,""
"Unemployment (pp)","Asset Shock",-0.0192909800454435,-0.0200345687817819,25,""
"Interest (pp)","Asset Shock",0.0381070358925747,0.0381070358925747,0,""
"Real House Price (Log)","Asset Shock",-0.00465962140251815,-0.0048061255872603,4,"*"
"DTA (pp)","Asset Shock",0.156068975510614,0.16293948070762,3,"*"
"DSR (pp)","Asset Shock",0.0185724088645905,0.0185724088645905,0,""
"LAI (pp)","Asset Shock",-0.383809880202878,-0.394901268784056,1,""
"Savings (pp)","Asset Shock",0.0769466516133239,0.0769466516133239,0,""
"Durables (Log)","Asset Shock",-0.00165209297093467,0.00258328325959992,26,""
