"Variable","Shock","Impact_Q0","Peak_Response","Peak_Horizon","Peak_68_Significant"
"Unemployment (pp)","Monetary Policy Shock",0.0630353219736028,0.107563284295634,7,"*"
"Interest (pp)","Monetary Policy Shock",0.0655438855101735,0.091913854562257,2,"*"
"Real House Price (Log)","Monetary Policy Shock",-0.000400802966228873,-0.00273636395611508,3,""
"DTA (pp)","Monetary Policy Shock",-0.0324001616076827,0.042422391095218,4,""
"DSR (pp)","Monetary Policy Shock",0.015188241150974,0.0374001159886053,2,""
"LAI (pp)","Monetary Policy Shock",-0.889025879193808,-0.889025879193808,0,""
"Savings (pp)","Monetary Policy Shock",0.0774976538454771,0.160699350872214,3,""
"Durables (Log)","Monetary Policy Shock",-0.00167401604334569,-0.00439081523920348,5,""
"Unemployment (pp)","Adverse Macro Shock",0.0614393609209904,0.103757520433994,3,"*"
"Interest (pp)","Adverse Macro Shock",-0.0756987902177141,-0.153163976816419,4,"*"
"Real House Price (Log)","Adverse Macro Shock",0.00053067499804984,0.00527346617434963,8,""
"DTA (pp)","Adverse Macro Shock",0.0100488188210194,-0.0973328031634669,7,""
"DSR (pp)","Adverse Macro Shock",-0.0189580356226399,-0.0509950433261633,4,""
"LAI (pp)","Adverse Macro Shock",-0.397867945673309,0.951211466108274,7,""
"Savings (pp)","Adverse Macro Shock",0.0163438396177217,-0.0612610935275635,5,""
"Durables (Log)","Adverse Macro Shock",-0.00210026465972828,0.00375184171319648,7,""
"Unemployment (pp)","Asset Shock",-0.0119398232150513,-0.0286372823685839,30,""
"Interest (pp)","Asset Shock",0.0187355969474184,0.0395659414679688,3,""
"Real House Price (Log)","Asset Shock",-0.00364061549647871,-0.00776779551935847,6,"*"
"DTA (pp)","Asset Shock",0.135632489999387,0.256232859261227,6,"*"
"DSR (pp)","Asset Shock",0.0054380381938585,-0.0159764343443219,14,""
"LAI (pp)","Asset Shock",-0.689559619320745,-0.852306268383937,1,""
"Savings (pp)","Asset Shock",0.0273043456624386,0.0893124370799313,4,""
"Durables (Log)","Asset Shock",-0.00172505919445718,-0.00528667867143899,5,""
