"","x"
"1",0.981031592326273
"2",0.981031592326273
"3",0.851935694626136
"4",0.831674646956221
"5",0.831674646956221
"6",0.785004015216389
"7",0.785004015216389
"8",0.753145443412992
"9",0.65994432496563
"10",0.65994432496563
"11",0.643547139848287
"12",0.610235034964549
"13",0.610235034964549
"14",0.534661992089875
"15",0.534661992089875
"16",0.497853418714141
"17",0.497853418714141
"18",0.493011203115192
"19",0.493011203115192
"20",0.449376198587496
"21",0.449376198587496
"22",0.412178191190906
"23",0.401315902084499
"24",0.401315902084499
"25",0.383793608434975
"26",0.383793608434975
"27",0.356749735532289
"28",0.356749735532289
"29",0.294140703708941
"30",0.294140703708941
"31",0.0828749590308241
"32",0.0828749590308241
