"","n","mean","sd","median","min","max","skew","kurtosis"
"quarter*",120,60.5,34.7850542618522,60.5,1,120,0,-1.23003891184573
"oil_price_log",120,3.93923448303028,0.615924506582778,4.11978028213307,2.44229684275504,4.80581160121048,-0.619694548706707,-0.645996498389367
"fed_funds_rate",120,2.44280555555556,2.1977023480899,1.745,0.06,6.52,0.331316955224223,-1.54284781009863
"kix_gdp_log",120,4.96194665555588,0.178403543630088,4.96130396762774,4.61083144022454,5.26735286250323,-0.103069509514541,-0.979746985443952
"kix_cpi",120,4.8593075432107,0.123014404540912,4.86458439656641,4.61492970628562,5.08667752257525,-0.0346904555553101,-0.799382163070309
"gdp_se_log",120,5.25790645939125,0.179388315172444,5.27657017799367,4.88859856323384,5.53391423200619,-0.337967011885999,-0.947106707755214
"cons_total_log",120,13.0117553259415,0.204914221680104,13.033221954665,12.6119974842555,13.3051231683292,-0.29640571612841,-1.10545281576565
"cons_durable_log",120,10.3449341199741,0.579388409551563,10.3972723514499,9.03892631179989,11.1822948857087,-0.367705253019556,-0.908734756777103
"cons_habitual_log",120,12.9340111860028,0.177808994982297,12.9588913476401,12.5836624857343,13.1845290928419,-0.352178039215629,-1.05805696065378
"unemployment_rate",120,7.58388894166667,1.10708601522255,7.566667,5.1,10.3,0.164053911714563,-0.573909567920962
"consumer_confidence",120,100.111944444444,9.98516060103426,101.766666666667,64.7333333333333,119.466666666667,-1.33095837061016,2.37108015212076
"house_price_real_log",120,0.47649259012225,0.389508757320351,0.541651727491915,-0.335538749402904,1.07866264985678,-0.499804602183349,-0.857399041447716
"debt_income",120,151.596666666667,32.1256721692314,161.45,93.5,198,-0.35988536913977,-1.23063331438902
"debt_to_asset_ratio",120,48.0560944830014,6.24907495751639,46.4553330899142,38.2332139603289,63.228649279065,0.746916390571261,-0.360842961056795
"dsr_value",120,10.6558333333333,1.17629212581999,11.1,8.7,12.8,-0.159098792968895,-1.33210223582762
"liquid_asset_to_income_ratio",120,155.112337424597,33.9841183087638,145.871259004789,96.4339607510369,236.984206573988,0.507159215520272,-0.688918891373779
"saving_rate",120,-0.270800041673255,5.97373449593246,1.28697616018641,-13.2827227806979,9.77401821724379,-0.421692670513816,-1.11353589323274
"cpi_log",120,5.72700706048506,0.137256965834899,5.72918738891148,5.54144089575742,6.03680656123834,0.693448457743813,-0.137135300669767
"policy_rate",120,1.99616592897843,1.85706109765844,1.99320652173913,-0.5,8.27472527472528,0.361064738321712,-0.42030774581001
"kix_real_log",120,3.87166453785207,0.0513945027771602,3.87291202859996,3.75600834536621,3.98622950682244,-0.0674830964266763,-0.419161959465699
