"","oil_price_log","fed_funds_rate","kix_gdp_log","kix_cpi","gdp_se_log","cons_total_log","cons_durable_log","cons_habitual_log","unemployment_rate","consumer_confidence","house_price_real_log","debt_income","debt_to_asset_ratio","dsr_value","liquid_asset_to_income_ratio","saving_rate","cpi_log","policy_rate","kix_real_log"
"oil_price_log",1,-0.480043182612538,0.744279978453303,0.745373917817291,0.763039308503602,0.754745041172224,0.736249207013056,0.768385778683214,0.0343787244408009,-0.22592706885399,0.763196574591475,0.761853796099176,-0.770254794567511,0.762234321757113,0.378333134387399,0.727135641986121,0.694393068245937,-0.503181306093955,-0.0670524779640744
"fed_funds_rate",-0.480043182612538,1,-0.411539692016659,-0.431143203004753,-0.456296422216559,-0.48930945855883,-0.495066223427712,-0.495661073731628,-0.119056609342396,0.0270417565575817,-0.553692654914919,-0.556712737098443,0.47525684994079,-0.389845482101088,-0.0168152561050992,-0.585403154044735,-0.286124005073834,0.718648638033884,-0.0722516214219558
"kix_gdp_log",0.744279978453303,-0.411539692016659,1,0.991542914506673,0.994889135066558,0.992631230468836,0.98697949799613,0.990344554078815,-0.0165196348256668,-0.380377774097961,0.970211059438331,0.963192027279488,-0.939762653728809,0.923102645362374,0.797634131244187,0.879705773786178,0.952181423971541,-0.64309986350001,0.306905598195312
"kix_cpi",0.745373917817291,-0.431143203004753,0.991542914506673,1,0.983907439234488,0.983429624398528,0.974780636395542,0.982499007102973,0.0232625854299899,-0.427162417656237,0.953914528310554,0.948537825003027,-0.920185882989892,0.922318639606384,0.771964854834046,0.891371786246826,0.971236025875479,-0.616242279769141,0.296188528560595
"gdp_se_log",0.763039308503602,-0.456296422216559,0.994889135066558,0.983907439234488,1,0.994898000506368,0.993658075742337,0.993300372551613,-0.0405866869256727,-0.331006868987128,0.982895736270594,0.973610007324969,-0.953281583017638,0.914925841339709,0.774278273506987,0.879961081270842,0.926934283124227,-0.680661891798008,0.298158211530872
"cons_total_log",0.754745041172224,-0.48930945855883,0.992631230468836,0.983429624398528,0.994898000506368,1,0.99286088096938,0.999142868022148,-0.0153681362431264,-0.339932207912974,0.984778284343429,0.979921019244428,-0.939689045468631,0.916883915068515,0.766920033972736,0.894870826805511,0.925409693099218,-0.707762901704655,0.304735190128976
"cons_durable_log",0.736249207013056,-0.495066223427712,0.98697949799613,0.974780636395542,0.993658075742337,0.99286088096938,1,0.988890579356096,-0.0289701789570132,-0.298327507836074,0.989151434624335,0.981812392333365,-0.951155552412063,0.899949743021114,0.78941780864573,0.873952379526773,0.904661345944756,-0.732581132272278,0.312710996193503
"cons_habitual_log",0.768385778683214,-0.495661073731628,0.990344554078815,0.982499007102973,0.993300372551613,0.999142868022148,0.988890579356096,1,-0.0257876635304741,-0.337837981182587,0.982594485963275,0.976678158222375,-0.938729378728488,0.914194674865456,0.747271183730792,0.89404128401505,0.923772423186842,-0.706088926009791,0.303292137404399
"unemployment_rate",0.0343787244408009,-0.119056609342396,-0.0165196348256668,0.0232625854299899,-0.0405866869256727,-0.0153681362431264,-0.0289701789570132,-0.0257876635304741,1,-0.23611735911137,-0.0229089047868113,0.0660935233567073,0.0795309615402938,0.169219279020308,0.084410339984746,0.243268123919758,0.117792818404465,-0.047411293767837,-0.39742528422148
"consumer_confidence",-0.22592706885399,0.0270417565575817,-0.380377774097961,-0.427162417656237,-0.331006868987128,-0.339932207912974,-0.298327507836074,-0.337837981182587,-0.23611735911137,1,-0.282676625890218,-0.310862216699333,0.269090566276745,-0.477468184146948,-0.222080654999327,-0.458947640343777,-0.550134282713919,-0.109336288333526,-0.090731508644746
"house_price_real_log",0.763196574591475,-0.553692654914919,0.970211059438331,0.953914528310554,0.982895736270594,0.984778284343429,0.989151434624335,0.982594485963275,-0.0229089047868113,-0.282676625890218,1,0.990254747591767,-0.967869129681975,0.892321900250288,0.743203202033496,0.882265036489462,0.870019437198808,-0.76301712951702,0.321908166984427
